experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,259.23310000166566,0.09480270844981636,371.75109999907363,0.06610874856876345
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,205.67740000387857,0.11948809154305022,292.39950000032877,0.08404939132923404
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,180.66580000208887,0.1360301728368947,337.5222999977723,0.0728129667289012
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,180.43769999849246,0.13620213514251917,360.17009999795846,0.06823442590081548
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,182.18999999817242,0.13489214556367818,354.5157000019117,0.06932274085426253
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,185.81900000071983,0.13225773467678115,380.81679999777407,0.06453496799548668
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,179.4463999999607,0.13695454464400167,319.6971000022586,0.07687276487596033
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,187.78589999897122,0.13087244569552156,332.7441999999792,0.07385853757932231
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,187.60269999802404,0.13100024679953354,304.152400002522,0.0808015981455225
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,184.63900000256217,0.1331029739094068,293.87050000195813,0.08362867317351094
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,199.21950000139077,0.12336141793262424,284.7004000045672,0.0863223233954211
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,171.95899999933317,0.14291778854317191,289.3372000016825,0.08493895703648577
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,174.0712000014355,0.14118360762605953,290.42830000207687,0.08461985281676838
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,171.3918999996622,0.14339067365522198,305.48920000228463,0.08044801583760149
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,171.12099999962993,0.14361767404382367,309.0474999964954,0.07952175636521472
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,168.0448999991313,0.14624662813407038,299.87970000320274,0.08195286309722706
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,171.73479999996744,0.14310436789750625,348.8895999964825,0.07044062075868061
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,170.57410000234086,0.14407814550780415,293.21439999989707,0.08381580167961951
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,176.76810000466503,0.13902960997686473,319.36440000208677,0.07695284759302984
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,184.375200001341,0.1332934147315976,285.11219999813875,0.0861976442963873
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,169.19800000323448,0.14524994384998755,302.0745000014813,0.08135741348534711
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,170.45850000272367,0.14417585511785752,302.4834000029841,0.08124743374267002
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,170.2749000003223,0.14433131365781732,313.8467999974637,0.07830572113591283
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,179.49979999798416,0.13691380157680397,301.4945000018088,0.08151392479747578
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,173.1832000018585,0.14190752913525254,283.23390000082327,0.08676927444041327
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,172.597499999938,0.1423890844305904,306.53050000069015,0.08017472975754343
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,175.18199999813078,0.14028838579455782,292.69830000089314,0.0839635898121889
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,178.69539999537665,0.13753012109229365,293.90099999773156,0.08361999448858523
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,171.59160000232987,0.143223794169798,322.6178000033997,0.07617682595238398
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,167.85980000122436,0.14640789515905978,296.4482000038515,0.08290149847319261
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,174.45010000187722,0.14087696137597824,334.1003000002729,0.07355874867511321
bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,171.47010000257978,0.14332527944889661,293.24019999990014,0.08380842735753273
