experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,529.5959999784827,0.061873579108096266,1478.5929997742642,0.022161609046575135
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,449.5230004977202,0.07289504644638575,905.5700002136291,0.03618494428069596
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,380.77499993960373,0.08605606987117712,733.2579998546862,0.04468822707218171
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,388.3910003423807,0.08436858725128497,674.373000038031,0.04859032019098045
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,402.0260003017029,0.08150716614201334,688.140999955067,0.04761814802800535
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,372.01400027697673,0.08808270649922621,708.3989994498552,0.04625641767626398
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,380.3310000876081,0.08615653205353228,905.3910007423838,0.03619209819087176
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,456.7949999909615,0.07173458553760083,902.8009999383357,0.03629592789799542
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,371.77099966356764,0.0881402799832511,749.2530003219144,0.04373422593692827
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allgather,393.6749999411404,0.08323617198170889,795.5689998198068,0.0411881307685717
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,464.3339998438023,0.14113978304850755,798.9380001163227,0.08202889334398687
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,407.27699979470344,0.16091259764984225,811.6330000120797,0.08074585434429676
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,453.0950000116718,0.14464074862514878,739.4570002361434,0.08862719533261741
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,453.2849998213351,0.14458012073161786,741.0319994960446,0.08843882591381914
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,465.1139997804421,0.14090309049165664,866.1790006954107,0.07566103536034066
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,474.40099933737656,0.13814473428921512,763.0090003658552,0.0858915163105234
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,539.4259997046902,0.12149210463692482,781.2450003257254,0.08388661683937305
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,404.9159997521201,0.1618508531155093,829.1740005006432,0.07903769288524522
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,797.9649999469984,0.08212891543407663,931.960000343679,0.07032061459272101
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allgather,449.8979997151764,0.14566857385782966,859.31499961589,0.07626539747274784
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,455.90399986394914,0.2874991227081019,812.8429999487707,0.16125131176409316
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,381.50100044731516,0.3435692169779798,659.9419994017808,0.19861139330246166
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,468.44799999234965,0.2798005328278498,809.0250003078836,0.16201229869301823
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,390.220000554109,0.33589257294315744,809.0540004559443,0.16200649144078647
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,460.3279994626064,0.28473610154719103,740.995999876759,0.17688624502939237
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,451.952000730671,0.29001309826728466,759.0920004076906,0.17266945235834955
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,391.5590004908154,0.33474393344477466,870.2889999767649,0.15060744189975903
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,459.636999948998,0.2851641621856899,806.0230002229218,0.16261570695097957
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,452.44199918670347,0.28969901166472434,879.979999808711,0.1489488397787362
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allgather,498.27499969978817,0.2630515279292984,870.6199996595387,0.15055018268734524
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,401.8540003016824,0.6523364202003752,762.6820006407797,0.3437133691102654
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,503.6040001868969,0.5205359764869093,839.8689997193287,0.3121248671966753
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,508.22100001823856,0.5158070996487599,830.058000246936,0.3158140755489546
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,466.1050006689038,0.562414047529632,875.4950004004058,0.29942375442476427
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,408.9680005563423,0.6409890251642932,905.0010003193165,0.2896615582828155
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,579.7349995191325,0.4521790131998899,857.7600001444807,0.30561462408581025
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,485.81800001556985,0.5395930162974584,832.4600003106752,0.31490281803590264
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,464.1310006263666,0.5648060561484244,883.7430004859925,0.29662922349126436
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,380.77699991845293,0.6884449429879973,841.4210005867062,0.3115491529415265
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allgather,483.27300009987084,0.5424346072423384,726.8910003404017,0.36063728932843914
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,533.5910000212607,0.9825652981011861,846.8660007565632,0.6190920399822614
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,437.53299996751593,1.198282186804024,762.6460001119995,0.6874591880413783
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,425.8270000718767,1.2312230081969997,936.5550004076795,0.5598048163447732
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,490.4769994027447,1.0689349360692286,793.1360005386523,0.66103165112154
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,471.85200037347386,1.1111280647004202,811.3969997793902,0.646154718519477
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,446.97700013784925,1.1729641566306717,888.5369998097303,0.5900575891744182
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,467.31699967494933,1.1219108236265274,844.4590002909536,0.6208566665988041
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,411.1560001547332,1.275155901416229,703.4079999357346,0.7453540477900458
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,473.4430003736634,1.1073941310489486,692.2099992152653,0.7574117689637065
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allgather,452.65399967320263,1.1582533245669189,893.5670002756524,0.5867360811648873
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,544.8449992400128,1.9245400094754026,887.0520005075377,1.182090789942466
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,471.0240000349586,2.2261625732917567,891.265999598545,1.1765017407511478
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,457.7079998853151,2.2909278410312575,1009.480999528023,1.0387278220097809
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,490.2239998045843,2.138973204938944,762.5440002811956,1.375102288672296
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,518.8989998714533,2.020770901966979,899.8769999379874,1.1652436944963143
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,530.2119998304988,1.9776542219625635,882.0379998724093,1.18881045958528
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,502.9819994888385,2.0847187395684696,1007.5750005853479,1.040692751795978
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,458.9519994624425,2.2847182302902427,793.6689999041846,1.3211754523946242
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,549.4720007845899,1.9083338159228143,800.496000010753,1.3099078571109843
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allgather,482.1309994440526,2.1748777846873937,984.1789997153683,1.0654322031899237
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,540.1550006354228,3.882500388838335,1022.7309994661482,2.050541150209278
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,549.0169996846817,3.819830717818324,1001.0380001403973,2.09497741315102
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,525.0679996606777,3.99405791508009,828.7170003313804,2.5306009158270055
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,559.5109996647807,3.74818725861773,930.8469998359215,2.2529502704200164
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,442.49300026422134,4.739401524425808,975.4650000104448,2.1498997913585263
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,539.6590004238533,3.8860687922426513,887.4630002537742,2.3630866857551354
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,548.0740001075901,3.826403003222771,832.1309996972559,2.5202185722716512
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,526.1010001049726,3.9862155737806173,992.5479998855735,2.1128973110033686
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,3,6,64,1024,Allgather,491.18900005851174,4.269541866267733,952.5250006845454,2.2016765948325268
