experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,519.6660004003206,0.015763971461841563,580.3300000479794,0.01411610635211469
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,506.31999965844443,0.016179491241756588,575.3750001531444,0.014237671080286042
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,332.6719997858163,0.024624855729590236,571.1130006602616,0.0143439214140271
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,480.8569992746925,0.017036249887922024,593.74000011303,0.013797285004278797
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,481.93399925366975,0.016998178200098468,487.508999867714,0.016803792344803697
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,401.06699998432305,0.020425514939698877,639.3749999915599,0.012812512219132965
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,446.547000137798,0.018345213376133006,593.290999859164,0.013807726734342211
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,443.69299939717166,0.01846321670869306,611.8050005170517,0.013389887289376087
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,414.75800026091747,0.01975127663564427,580.0420003652107,0.014123115213798462
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Gather,504.6760006734985,0.01623219647668532,686.7620004413766,0.011928440995184744
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,506.5790001026471,0.03234243819163475,681.5540000388864,0.02403918104664517
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,473.82899992953753,0.03457787514575183,640.2769995474955,0.02558892481157234
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,451.0389999268227,0.03632501846327738,564.1019997710828,0.029044392692542772
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,386.76700023643207,0.042361421708636986,493.4389999107225,0.03320369894346483
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,514.0940002092975,0.03186965806511992,615.4510001579183,0.02662112823895978
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,417.1529999439372,0.0392757573413158,621.5270004759077,0.026360882129746018
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,393.8019999623066,0.04160466427689098,557.1089996010414,0.02940896666852081
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,487.4079995715874,0.03361454882644703,754.4749996668543,0.021715762625977686
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,447.46499952452723,0.03661515429678189,529.4479997246526,0.030945437528370576
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Gather,536.868999915896,0.030517686814784725,507.30499970086385,0.032296153220766496
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,467.9359999499866,0.0700266703213736,678.0889998481143,0.04832404007046233
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,440.2029999255319,0.07443838412174221,575.8080005762167,0.05690785811799895
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,445.96399948204635,0.0734767829646733,620.11799946049,0.05284155600790261
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,423.8130004523555,0.07731711855234544,564.8950000249897,0.05800724028102641
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,493.2040001222049,0.06643903940738685,730.607000150485,0.04485037782727334
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,423.68300000816816,0.07734084209035592,505.98200050444575,0.06476119697406527
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,399.7370004071854,0.08197389775432704,695.8990006751264,0.0470872927942275
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,425.51599926810013,0.0770076802196907,621.3690003278316,0.05273517021723283
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,529.9619997458649,0.061830848279147164,732.7180001084344,0.04472116147706306
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Gather,449.6199999266537,0.07287932032682139,507.13699965854175,0.06461370403276212
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,540.4090006777551,0.1212711111728485,604.5529999028076,0.10840406053817622
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,542.4339997261995,0.12081838533919358,797.4870004545664,0.08217814204199514
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,447.7239999687299,0.14637589230100953,524.9969999567838,0.12483118952183483
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,486.71599961380707,0.13464936441785483,747.8080005967058,0.08763746837116775
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,485.37400016357424,0.135021653359912,609.9209995227284,0.10744998131115804
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,502.0559992772178,0.1305352392847582,735.6850001087878,0.08908160420602433
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,455.03900037147105,0.14402281990444707,566.1209997924743,0.11576323793680829
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,508.4220001663198,0.12890079496670334,603.1789998814929,0.10865099748644418
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,454.35599986376474,0.14423931899138667,597.3890001769178,0.10970406214475226
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Gather,461.64800005499274,0.14196097457845194,560.9559993899893,0.11682912754523887
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Gather,566.2339999616961,0.2314802714228863,738.2460007647751,0.1775451541413267
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Gather,465.8010002458468,0.2813905507519757,703.4550008029328,0.18632606186663353
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Gather,469.1559997809236,0.27937828794943514,697.4199995966046,0.1879384016457995
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Gather,565.5739996655029,0.23175039884704712,654.1499997183564,0.2003699458173705
u280_dual_path_gather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Gather,448.84299950354034,0.2920219322680249,728.5779993253527,0.17990112262704858
