experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,482.2109999622626,0.06795365514798375,961.3569999942229,0.034085152550194064
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,267.07400002123904,0.1226925870634885,397.2459999772582,0.08248792939859917
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,196.7649999983223,0.1665336823128066,307.23899999429705,0.10665312672091837
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,178.24000002519824,0.1838420107460026,322.766000010688,0.10152246518813918
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,197.90300001432115,0.16557606502998318,306.2279999994644,0.10700523792748316
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,253.0959999944571,0.12946866011599406,333.19899995376545,0.09834363249753714
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,189.38700003445774,0.17302137947186488,302.42499997257255,0.10835083079431855
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,196.20599999825572,0.16700814450267223,320.5189999562208,0.10223418893880154
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,191.71100001358354,0.1709239427976394,302.5880000109282,0.10829246367607623
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Reduce,232.106999987991,0.141176267849291,305.5640000297899,0.10723776360044181
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,287.5249999760854,0.22793148423772158,326.61000000189233,0.20065521569952022
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,236.37700002154816,0.27725201687992374,280.62000001227716,0.23354001852017958
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,193.13399997145098,0.3393291704706966,287.3629999839977,0.22805997989876733
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,173.06300003383512,0.37868290730651394,274.5550000327057,0.23869898560285982
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Reduce,193.43400003890565,0.33880289911193817,280.5990000069869,0.23355749663529862
