experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,180.7839999855787,0.09062748916556203,264.7545999934664,0.06188372175744755
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,187.64080004984862,0.08731576499166188,255.74340006642163,0.06406421434822854
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,168.53549996085349,0.0972139401123537,237.12539996267878,0.06909424297261567
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,175.00800004199846,0.09361857741399345,227.04949997205404,0.07216047602842814
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,178.06539999583038,0.09201113748310256,232.5598999959766,0.070450666689672
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,178.14249995353748,0.09197131512285513,248.66789999578032,0.0658870726791758
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,172.97580006925273,0.09471845190737946,254.63029996899425,0.06434426697056495
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,178.84079998111702,0.09161220483094412,251.90129999828056,0.06504134754410491
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,182.62890007463284,0.0897119787355919,233.94770005324972,0.07003274661931182
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,184.3966000706132,0.08885196361389461,233.40520001511322,0.07019552263162568
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,188.06460002451786,0.08711900058737279,232.47399994943407,0.0704766984848358
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,172.95510006078985,0.09472978821810626,230.98510000636452,0.07093098212633005
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,179.35390005732188,0.09135011836800672,227.2433000143792,0.07209893536558955
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,178.30799997682334,0.09188595016561012,230.25860000416287,0.07115477988532802
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,175.8927999617299,0.09314764449462837,222.3830999355414,0.0736746632489113
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,180.97729998771683,0.09053069087179444,230.8772999640496,0.07096410085595764
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,180.41319999611005,0.09081375420619589,224.11340005419333,0.07310584728997976
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,174.79839998486568,0.09373083507296721,233.05579998122994,0.07030076059604416
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,177.9436000106216,0.092074117861064,229.12220001671812,0.07150769326937557
bcast,xilinx_u280_xdma_201920_3,3,1,6,1,1024,Broadcast,172.23230006493395,0.09512733670643082,229.15560002729762,0.0714972708415081
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,184.7111999268236,0.1774012621485951,233.37100001299405,0.14041161925935736
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,174.93180002929876,0.18731871503358336,228.16269993199967,0.14361681383401403
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,175.13599996163975,0.18710031065673086,227.8803999615775,0.14379472743388616
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,185.67170000096667,0.17648354595681193,224.23620002882672,0.14613162368871532
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,175.12820004412788,0.1871086437920523,224.6666999781155,0.14585161042198017
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,181.54139997932361,0.1804987733031257,249.85479994938942,0.13114817088419947
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,176.29920002946164,0.1858658462121444,234.42109995812643,0.13978263904509106
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,178.87690000861767,0.183187432242069,228.85140006110305,0.14318461670433733
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,182.64239997733966,0.17941069545771138,220.62199996071286,0.14852553238496227
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,182.08000001322944,0.17996485060203848,230.73579995980253,0.14201523996583387
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,181.93100004282314,0.18011224031246476,227.49829995518667,0.14403624117830657
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,185.11309999666992,0.17701610529232928,222.03790003914037,0.14757840888525664
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,176.1189999342605,0.18605601901118693,236.58709997107508,0.13850290233071114
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,170.78210003091954,0.19187022524062805,225.47369999301736,0.14532958833342774
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,176.01130002731225,0.18616986520135514,226.87979999318486,0.14442890024138025
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,179.57070003831177,0.1824796583908671,226.28310007348773,0.1448097537525262
bcast,xilinx_u280_xdma_201920_3,3,1,6,2,1024,Broadcast,182.07399998573237,0.17997078112507967,222.2279999841703,0.14745216625418095
