experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,276.451399997768,5.68947742718141,399.6911000001546,3.9351989573933257
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,243.56220000072426,6.457750833238174,387.3102999989442,4.060991923024737
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,223.65830000126152,7.032441899053728,375.1353000012614,4.192791240906177
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,227.33789999733744,6.918617617293119,373.5721999987618,4.210334709074212
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,230.27580000132275,6.830348651447373,363.57429999895885,4.326114359580708
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,221.91209999959938,7.087779350485347,378.0636000016102,4.160315883341588
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,216.21500000037486,7.274536919257558,385.3203999995003,4.081963996720754
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,226.10810000003312,6.956247918583056,378.5630999999512,4.1548265005231695
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,222.22489999990103,7.077802712480468,383.9197000019112,4.096856712464013
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,226.32090000058724,6.949707251941463,372.50169999936134,4.2224344211118945
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,222.6190000016004,7.065272955087808,370.6325999985438,4.243728155607951
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,216.32629999999153,7.270794166035574,366.33969999968485,4.293457684224104
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,224.37490000015714,7.009981954304597,381.13579999787817,4.126781058113031
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,223.8720000008243,7.02572898796727,371.6353999976718,4.232277118944679
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,233.54799999992792,6.734649836438271,366.65140000025076,4.289807702899605
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,223.0201999992687,7.052562951719878,374.17800000127954,4.203518111686474
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,225.2319000007219,6.983309202626088,373.90640000012354,4.206571484198934
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,222.26439999997183,7.0765448717842325,374.8384999994414,4.196111125197501
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,222.04599999895436,7.0835052196725306,380.979499999512,4.128474104254992
gather,xilinx_u280_xdma_201920_3,3,1,6,192,1024,Gather,229.0392000020347,6.867226221476617,391.3873999977113,4.018688389072304
