experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,165.4441000027873,0.04951521389920817,289.6926000175881,0.028278250806208508
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,154.05659996758914,0.053175261570899635,231.38359997574298,0.03540441068796062
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,159.9363999957859,0.051220360094486606,245.05920000592593,0.03342865723793232
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,150.0872999713465,0.05458156687184027,241.59119998330425,0.03390851984909272
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,151.96570002444787,0.05390690135130553,240.96799998005736,0.03399621526791099
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,150.53980000629963,0.05441750287735994,240.99469997054257,0.03399244880074678
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,151.64639999056817,0.054020405367417305,241.23399998643436,0.033958728870974536
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,147.07629998156335,0.05569898074011178,242.26520004049235,0.033814183789627174
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,152.4979999885545,0.05371873729894711,246.7035999870859,0.03320583891126365
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,145.58270004272345,0.05627042222459079,240.8564000234037,0.03401196729339139
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,150.81189999364142,0.05431932095773207,244.0202000343561,0.03357099124927621
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,148.7654000356997,0.055066567884966125,244.1382999677444,0.03355475155304321
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,152.48879999489873,0.05372197827167668,243.18460000358755,0.03368634362488064
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,150.74739999363373,0.054342562461083634,246.66119998073555,0.03321154685309162
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,153.37770000769524,0.053410632703378605,242.0027999960439,0.033850848007270645
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,151.0260000031849,0.05424231589148388,251.68080001094498,0.032549165449425425
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,147.67659999961325,0.05547256640538484,258.65489997158875,0.0316715438249955
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,147.1487999879173,0.05567153793080652,235.9610999974393,0.03471758692466216
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,150.08569998826715,0.0545821487366245,239.13859999993292,0.03425628484904695
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,148.86339999975462,0.05503031638410451,236.22310000064317,0.034679080919595484
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,171.01050002565898,0.09580698259780358,264.0142000018386,0.06205726813135771
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,157.83290000399575,0.10380598721549954,259.8233000298933,0.06305823995813686
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,166.42079999655834,0.09844923230953599,230.15679998934502,0.07118625215834809
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,157.30640002402652,0.10415342285817714,262.28780002384156,0.062465734199267826
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,165.0523000080284,0.09926550553493078,236.81140000917367,0.06918585844839105
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,167.4373999776435,0.09785149555707158,239.4921000359318,0.06841144237134275
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,164.00009999415488,0.09990237811186664,246.88240000614314,0.06636358039128071
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,167.79899997345638,0.09764062957819615,246.30809998598124,0.06651831588539923
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,163.46910001630022,0.1002268930236129,251.82310000673172,0.06506154518613275
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,160.87720000541594,0.10184165313324965,241.9958999780647,0.06770362638988967
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,160.44409999267373,0.10211656272027538,242.97979998664232,0.06742947356488359
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,159.90060001058737,0.10246365553922361,247.88400000943514,0.06609543173168247
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,162.27590003836667,0.10096385227952119,242.69079999612586,0.06750976963387793
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,160.2976999947714,0.10220982584612515,239.9896000042645,0.06826962501587096
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,159.4818999819836,0.10273266121014908,240.41849997047393,0.0681478338897054
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,158.88359998825763,0.10311951643348255,240.58889998741506,0.06809956735683578
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,159.69000000950473,0.10259878514011414,250.43390000973886,0.0654224527883919
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,157.2947000113345,0.10416117007641952,249.42680001913683,0.06568660624577217
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,157.81679999236076,0.10381657720086251,243.0360000289511,0.06741388106308652
measures,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Send/recv,162.304800005586,0.10094587467182804,237.93039999873145,0.06886047348336889
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,198.64189998770598,0.1649601619901341,240.15180001697445,0.13644703057684301
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,152.77259999493253,0.21448872377040723,239.5249000073818,0.1368041485415092
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,155.24850000474544,0.21106806184277715,231.06180001377652,0.14181487376124605
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,151.62119998421986,0.21611753503738504,232.2329999969952,0.1410996714524808
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,148.82610003041918,0.22017643406164922,234.38700000042445,0.1398029754207386
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,147.70160000807664,0.22185270842162966,228.14239996478136,0.14362959276775575
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,148.4040999912395,0.22080252501065903,228.07539999121218,0.14367178573955175
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,149.35080002942414,0.21940290908079674,238.99180000626075,0.13710930667554952
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,153.55880000242905,0.2133905709049671,235.55570001008164,0.13910934865340788
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,156.69590002289624,0.2091184261694912,299.5277000081842,0.10939889699384951
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,169.07799999898998,0.19380404310552377,255.89200004105805,0.12805402277031855
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,152.84669998436584,0.21438473976442884,261.8737999910081,0.12512897434231735
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,151.4314000360173,0.21638841080651883,272.9563000229973,0.120048520577247
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,153.5165999939636,0.21344922960310783,256.9833000052313,0.127510231206981
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,155.17870001531264,0.2111630010869181,260.6396999908611,0.12572144612332256
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,159.5070999883319,0.20543286162432275,261.6740999656031,0.12522446816214267
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,153.47859998655622,0.21350207783280714,261.2422999845876,0.12543144813046433
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,154.02250000988715,0.21274813743379395,263.94709998385224,0.12414608837151339
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,154.65860001313558,0.21187311922658633,269.5778000088467,0.12155303589140003
measures,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Send/recv,157.1706000049744,0.20848682895505205,264.9950999966677,0.12365511664333437
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,211.0008999807178,0.03882447895126808,273.7788999638724,0.029921955275154545
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,159.98570002011547,0.05120457640257845,265.27189997977985,0.030881521942672515
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,152.21490002659266,0.053818647179539054,261.070499982452,0.031378497381169566
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,159.17199998511933,0.05146633830551764,261.1777999845799,0.03136560611385677
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,152.43349998854683,0.053741467594823386,255.1293000124133,0.03210920893680741
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,147.17720000589907,0.05566079528399544,260.8823000173288,0.03140113376590077
measures,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Send/recv,154.68030001102306,0.052960848921396,267.7641999980551,0.03059408240556244
