experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,537.1209999793791,0.06100673777651221,1577.8169999975944,0.02076793443095743
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,557.18000021443,0.05881043825584062,961.4310001779813,0.03408252905713873
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,527.8750004436006,0.06207530186590265,807.5730002019554,0.040575898391607294
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,455.0869998638518,0.07200381467676112,800.0299994819215,0.04095846408412147
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,467.7940005421988,0.07004792699782404,761.2849994984572,0.043043012829082294
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,441.7279997142032,0.07418139674460485,794.5039997139247,0.04124334177272701
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,493.89000014343765,0.06634675735585531,976.0590000951197,0.03357174104926717
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,549.7560005096602,0.05960462454183655,1037.1409998697345,0.03159454693635261
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,454.50800007529324,0.07209554066060817,810.0730001388001,0.04045067542602388
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,1,1024,Allgather,463.11099958984414,0.07075625504257314,909.2150003198185,0.03603988054362695
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,545.0159997053561,0.12024601119128568,932.092999391898,0.07031058064244233
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,507.6200004623388,0.12910444809170246,839.0470002268557,0.07810766260088031
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,533.0069998308318,0.12295523327235874,802.5970000744564,0.08165492768340807
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,541.3709995991667,0.12105561629367499,881.5069995762315,0.07434541079254645
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,553.6600001505576,0.11836867388321116,907.8740004042629,0.07218622845330716
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,590.2619996049907,0.11102866192276879,865.8110000396846,0.07569319400769468
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,602.1049994160421,0.10884480292234873,902.0779998536455,0.07265003692655476
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,550.4679993464379,0.11905505874603042,910.8929998546955,0.07194697951400902
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,905.003999832843,0.07241514955967565,1003.6120002041571,0.06530013589581284
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,2,1024,Allgather,524.5649999778834,0.12493399293274067,991.3069998219726,0.06611070032973591
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,566.0550004904508,0.23155347075184288,875.0629995120107,0.14978578693544792
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,529.7229999996489,0.24743498016904472,738.9339998553623,0.17737984721998962
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,580.7130000903271,0.2257087407714523,970.0820000944077,0.13511435114479411
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,473.7580002256436,0.2766644572494236,936.9370000058552,0.13989414442932757
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,599.7739999656915,0.21853564844007514,822.1129992307397,0.15943307078545838
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,461.01199950498994,0.2843136407311265,807.4090001173317,0.16233656050521206
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,497.68300050345715,0.26336443050577835,964.8039995227009,0.13585349984540152
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,614.5830002424191,0.21326981050289273,915.3880000667414,0.14318736971693258
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,583.5570000272128,0.22460873572570936,978.0139998838422,0.13401853144798265
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,4,1024,Allgather,581.2819999846397,0.22548780110766128,1004.2719995908556,0.1305144423556559
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,475.5180007123272,0.5512809180878697,883.6219994918793,0.29666984315775763
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,587.7499997950508,0.44601276068296036,991.6779999912251,0.2643438696858452
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,599.4390003252192,0.4373155564749317,928.2600003643893,0.2824036368012143
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,670.7249995088205,0.3908367813812979,953.1879995847703,0.275018149739816
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,516.6179998923326,0.5074232799759841,997.7230001823045,0.26274226408742796
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,574.7140003222739,0.45612948327864183,924.7550005966332,0.28347400103905357
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,618.0840000524768,0.42412358187195165,908.7690004889737,0.28846054372337787
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,555.3690007218393,0.4720177029313467,960.6769999663811,0.27287423349281154
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,528.4230001052492,0.4960874147184872,920.8210003635031,0.28468507983257996
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,8,1024,Allgather,548.7750004249392,0.4776893987463187,795.1879997563083,0.3296629225797373
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Allgather,586.1600002390333,0.894445202310287,870.5729997018352,0.6022332419906944
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Allgather,563.0010000459151,0.9312381327160024,837.3979999305448,0.6260917748113626
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Allgather,541.4529996414785,0.968298264756416,996.0699999282951,0.5263565814026547
u280_dual_path_allgather,xilinx_u280_xdma_201920_3,4,0,6,16,1024,Allgather,554.9289999180473,0.9447839274527509,785.6210004320019,0.6673548692202746
