experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,505.45599999907154,0.06482859042144161,941.0339999931239,0.03482127107016265
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,296.4380000065603,0.11053913465640312,416.4169999967271,0.07869035125909256
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,218.37999999263502,0.15005037091814782,315.4390000048579,0.10388062351039459
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,208.68599999346316,0.15702059554079534,347.0500000020138,0.09441867166059605
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,225.18500000501263,0.14551590913813348,330.3010000053064,0.09920648135934669
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,253.48900000210506,0.1292679366746797,335.41400000558497,0.09769419284661457
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,215.32199998830492,0.15218138416780344,321.62799999468916,0.10188167697010546
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,219.30900000199927,0.1494147526991655,343.74599999864586,0.09532620015979557
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,238.3240000085607,0.13749349624386534,327.92899999378733,0.09992406893144795
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Reduce,207.51399999596742,0.15790741829773786,309.119999997165,0.10600414078772166
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,275.5590000020902,0.23782928519664712,331.4279999955261,0.1977382719652071
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,252.26600000394228,0.25978927005215063,299.83000000299853,0.21857719374093518
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,228.5150000034264,0.28679080147481495,308.6150000086718,0.2123551998384994
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,200.05599999706192,0.3275882752877319,302.618000006305,0.21656345623404613
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,210.69699999998193,0.311043821221971,305.8220000013989,0.21429458966228793
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,202.29599999765924,0.32396092854410524,312.86600000157705,0.20946986888850067
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,220.19099999681657,0.2976325099615674,312.09499999818036,0.20998734359852642
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,205.69400000169935,0.31860919618199157,315.71400000984795,0.20758027834671813
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,201.23900000612593,0.32566252067444684,289.51699999879565,0.22636321874111923
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Reduce,205.21900000858295,0.3193466491760464,316.0739999970019,0.20734384985991142
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,238.61199998975735,0.5493101772150034,391.7710000109764,0.334562793050858
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,243.29999999395113,0.5387258528699495,303.40600000045015,0.4320020039149045
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,207.01999999062082,0.6331368950146764,312.0350000074268,0.4200554424884399
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,205.35799998810944,0.6382609881650059,304.3230000088215,0.4307002756814325
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,192.3970000063946,0.6812580237511169,301.77899999728197,0.43433108334635784
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,216.8810000000576,0.6043498508397009,300.62900000871196,0.43599253563761864
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,214.53099999746428,0.6109699763742734,348.6129999998866,0.3759813891049463
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,217.7599999981794,0.6019103600344224,307.89599999536676,0.4257021851598344
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,204.9590000012813,0.6395035104541913,293.2879999946181,0.4469054308475124
u280_dual_path_reduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Reduce,194.00499999733256,0.6756114533223481,294.41400000962403,0.4451962202738844
