experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,446.429,0.018350062,825.189,0.009927423
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,359.639,0.022778397,724.04,0.011314292
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,312.954,0.026176371,646.12,0.012678759
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,352.064,0.023268497,590.353,0.013876443
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,369.481,0.022171641,613.299,0.013357269
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,349.955,0.023408724,685.057,0.011958129
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,386.152,0.021214444,613.688,0.013348803
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,345.21,0.023730483,668.592,0.012252614
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,392.957,0.020847065,601.004,0.013630525
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,392.194,0.020887622,555.872,0.014737206
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,371.2069999,0.022068549,577.76,0.014178898
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,342.352,0.023928588,630.93,0.012984008
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,376.17,0.021777388,713.636,0.011479242
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,307.943,0.026602326,576.629,0.014206708
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,384.779,0.021290143,599.413,0.013666704
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,382.417,0.021421642,659.155,0.012428033
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,362.958,0.022570105,647.993,0.012642112
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,297.073,0.027575714,737.845,0.011102603
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,348.264,0.023522385,664.548,0.012327176
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,1,1024,Send/recv,309.224,0.026492122,617.343,0.013269771
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,325.632,0.050314465,731.993,0.022382728
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,253.794,0.064556294,608.77,0.026913284
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,335.254,0.048870409,692.504,0.023659069
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,374.682,0.043727748,603.019,0.027169957
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,372.434,0.043991687,619.888,0.026430581
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,357.678,0.045806563,644.579,0.025418141
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,358.305,0.045726406,712.768,0.022986442
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,335.395,0.048849864,606.115,0.027031174
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,357.063,0.04588546,635.117,0.025796822
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,372.057,0.044036263,701.735,0.023347845
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,370.429,0.044229798,708.425,0.02312736
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,363.06,0.045127527,708.054,0.023139478
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,369.985,0.044282876,711.411,0.023030288
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,366.946,0.044649621,667.706,0.024537746
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,387.331,0.042299738,646.442,0.025344888
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,353.839,0.046303545,570.798,0.028703675
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,368.842,0.044420104,650.813,0.025174666
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,378.943,0.043236054,609.518,0.026880256
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,349.192,0.046919746,610.577,0.026833634
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,2,1024,Send/recv,327.939,0.049960511,712.009,0.023010945
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,396.572,0.082628123,653.544,0.050138935
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,358.355,0.091440052,634.167,0.051670932
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,357.022,0.091781459,626.467,0.052306027
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,368.355,0.088957663,726.594,0.045098088
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,327.042,0.100195082,615.953,0.053198864
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,370.62,0.088414009,746.7,0.043883755
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,368.1,0.089019288,617.658,0.053052013
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,368.077,0.089024851,596.264,0.054955523
u280_sendrecv,xilinx_u280_xdma_201920_3,2,0,6,4,1024,Send/recv,362.773,0.090326458,728.02,0.045009752
