experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,656.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,365.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,376.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,361.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,381.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,347.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,334.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,349.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,328.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,338.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,334.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,394.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,341.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,350.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,399.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,385.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,345.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,323.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,403.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,366.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,366.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,341.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,351.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,379.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,368.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,344.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,384.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,372.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,378.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,365.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,373.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,372.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,374.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,378.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,370.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,409.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,388.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,357.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,374.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,403.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,354.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,362.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,387.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,401.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,376.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,344.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,356.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,356.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,347.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,347.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,358.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,337.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,362.0,0,0,0
converted from log,open_mpi,2,0,0,1024,0,Sendrecv,344.0,0,0,0
