XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4b
alveo4c
alveo2b
alveo2a
alveo1a
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:131072, num_elements:32768, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start All-gather test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:131072, num_elements:32768, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.002070, H2H_time:0.001418, sync_time:0.000653
iteration:1, F2F_time[s]:0.000904, H2H_time:0.000481, sync_time:0.000423
iteration:2, F2F_time[s]:0.000887, H2H_time:0.000444, sync_time:0.000443
iteration:3, F2F_time[s]:0.000863, H2H_time:0.000425, sync_time:0.000438
iteration:4, F2F_time[s]:0.000920, H2H_time:0.000499, sync_time:0.000421
iteration:5, F2F_time[s]:0.000842, H2H_time:0.000428, sync_time:0.000413
iteration:6, F2F_time[s]:0.000736, H2H_time:0.000361, sync_time:0.000375
iteration:7, F2F_time[s]:0.000713, H2H_time:0.000335, sync_time:0.000378
iteration:8, F2F_time[s]:0.000720, H2H_time:0.000341, sync_time:0.000379
iteration:9, F2F_time[s]:0.000713, H2H_time:0.000335, sync_time:0.000378
iteration:10, F2F_time[s]:0.000763, H2H_time:0.000382, sync_time:0.000381
iteration:11, F2F_time[s]:0.000742, H2H_time:0.000364, sync_time:0.000378
iteration:12, F2F_time[s]:0.000634, H2H_time:0.000283, sync_time:0.000351
iteration:13, F2F_time[s]:0.000695, H2H_time:0.000333, sync_time:0.000362
iteration:14, F2F_time[s]:0.000838, H2H_time:0.000316, sync_time:0.000522
iteration:15, F2F_time[s]:0.000896, H2H_time:0.000329, sync_time:0.000567
iteration:16, F2F_time[s]:0.000796, H2H_time:0.000276, sync_time:0.000520
iteration:17, F2F_time[s]:0.000785, H2H_time:0.000250, sync_time:0.000536
iteration:18, F2F_time[s]:0.000797, H2H_time:0.000280, sync_time:0.000516
iteration:19, F2F_time[s]:0.000837, H2H_time:0.000311, sync_time:0.000526
iteration:20, F2F_time[s]:0.000753, H2H_time:0.000271, sync_time:0.000482
iteration:21, F2F_time[s]:0.000654, H2H_time:0.000280, sync_time:0.000374
iteration:22, F2F_time[s]:0.000566, H2H_time:0.000288, sync_time:0.000278
iteration:23, F2F_time[s]:0.000585, H2H_time:0.000319, sync_time:0.000266
iteration:24, F2F_time[s]:0.000584, H2H_time:0.000316, sync_time:0.000268
iteration:25, F2F_time[s]:0.000540, H2H_time:0.000270, sync_time:0.000270
iteration:26, F2F_time[s]:0.000596, H2H_time:0.000322, sync_time:0.000275
iteration:27, F2F_time[s]:0.000558, H2H_time:0.000291, sync_time:0.000266
iteration:28, F2F_time[s]:0.000558, H2H_time:0.000291, sync_time:0.000267
iteration:29, F2F_time[s]:0.000566, H2H_time:0.000297, sync_time:0.000270
iteration:30, F2F_time[s]:0.000537, H2H_time:0.000272, sync_time:0.000265
iteration:31, F2F_time[s]:0.000560, H2H_time:0.000282, sync_time:0.000277
iteration:32, F2F_time[s]:0.000542, H2H_time:0.000275, sync_time:0.000266
iteration:33, F2F_time[s]:0.000509, H2H_time:0.000268, sync_time:0.000242
iteration:34, F2F_time[s]:0.000500, H2H_time:0.000262, sync_time:0.000238
iteration:35, F2F_time[s]:0.000523, H2H_time:0.000275, sync_time:0.000248
iteration:36, F2F_time[s]:0.000471, H2H_time:0.000229, sync_time:0.000242
iteration:37, F2F_time[s]:0.000575, H2H_time:0.000256, sync_time:0.000318
iteration:38, F2F_time[s]:0.000548, H2H_time:0.000251, sync_time:0.000297
iteration:39, F2F_time[s]:0.000631, H2H_time:0.000278, sync_time:0.000353
iteration:40, F2F_time[s]:0.000633, H2H_time:0.000264, sync_time:0.000369
iteration:41, F2F_time[s]:0.000620, H2H_time:0.000270, sync_time:0.000350
iteration:42, F2F_time[s]:0.000633, H2H_time:0.000260, sync_time:0.000373
iteration:43, F2F_time[s]:0.000603, H2H_time:0.000277, sync_time:0.000325
iteration:44, F2F_time[s]:0.000646, H2H_time:0.000287, sync_time:0.000359
iteration:45, F2F_time[s]:0.000471, H2H_time:0.000222, sync_time:0.000249
iteration:46, F2F_time[s]:0.000446, H2H_time:0.000215, sync_time:0.000231
iteration:47, F2F_time[s]:0.000510, H2H_time:0.000261, sync_time:0.000249
iteration:48, F2F_time[s]:0.000508, H2H_time:0.000270, sync_time:0.000238
iteration:49, F2F_time[s]:0.000505, H2H_time:0.000263, sync_time:0.000242
iteration:50, F2F_time[s]:0.000488, H2H_time:0.000246, sync_time:0.000242
iteration:51, F2F_time[s]:0.000510, H2H_time:0.000275, sync_time:0.000235
iteration:52, F2F_time[s]:0.000515, H2H_time:0.000275, sync_time:0.000240
iteration:53, F2F_time[s]:0.000516, H2H_time:0.000280, sync_time:0.000236
iteration:54, F2F_time[s]:0.000504, H2H_time:0.000258, sync_time:0.000246
iteration:55, F2F_time[s]:0.000496, H2H_time:0.000261, sync_time:0.000235
iteration:56, F2F_time[s]:0.000515, H2H_time:0.000274, sync_time:0.000241
