XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo3b
alveo4c
alveo2b
alveo1a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.028838, H2H_time:0.021737, sync_time:0.007101
iteration:1, F2F_time[s]:0.025216, H2H_time:0.018175, sync_time:0.007041
iteration:2, F2F_time[s]:0.023472, H2H_time:0.016403, sync_time:0.007069
iteration:3, F2F_time[s]:0.023763, H2H_time:0.016585, sync_time:0.007178
iteration:4, F2F_time[s]:0.024435, H2H_time:0.017365, sync_time:0.007070
iteration:5, F2F_time[s]:0.023931, H2H_time:0.016812, sync_time:0.007119
iteration:6, F2F_time[s]:0.024031, H2H_time:0.016928, sync_time:0.007103
iteration:7, F2F_time[s]:0.024129, H2H_time:0.017049, sync_time:0.007080
iteration:8, F2F_time[s]:0.024645, H2H_time:0.017586, sync_time:0.007059
iteration:9, F2F_time[s]:0.024215, H2H_time:0.017069, sync_time:0.007146
iteration:10, F2F_time[s]:0.023559, H2H_time:0.016456, sync_time:0.007103
iteration:11, F2F_time[s]:0.024475, H2H_time:0.017332, sync_time:0.007142
iteration:12, F2F_time[s]:0.024068, H2H_time:0.016954, sync_time:0.007114
iteration:13, F2F_time[s]:0.023561, H2H_time:0.016470, sync_time:0.007091
iteration:14, F2F_time[s]:0.024532, H2H_time:0.017414, sync_time:0.007119
iteration:15, F2F_time[s]:0.024758, H2H_time:0.017647, sync_time:0.007112
iteration:16, F2F_time[s]:0.024316, H2H_time:0.017227, sync_time:0.007089
iteration:17, F2F_time[s]:0.023642, H2H_time:0.016540, sync_time:0.007102
iteration:18, F2F_time[s]:0.024169, H2H_time:0.017035, sync_time:0.007134
iteration:19, F2F_time[s]:0.023881, H2H_time:0.016784, sync_time:0.007098
iteration:20, F2F_time[s]:0.024306, H2H_time:0.017074, sync_time:0.007233
iteration:21, F2F_time[s]:0.023506, H2H_time:0.016372, sync_time:0.007134
iteration:22, F2F_time[s]:0.024332, H2H_time:0.017264, sync_time:0.007068
iteration:23, F2F_time[s]:0.023998, H2H_time:0.016858, sync_time:0.007140
iteration:24, F2F_time[s]:0.023836, H2H_time:0.016700, sync_time:0.007136
iteration:25, F2F_time[s]:0.023851, H2H_time:0.016718, sync_time:0.007132
iteration:26, F2F_time[s]:0.024079, H2H_time:0.016956, sync_time:0.007123
iteration:27, F2F_time[s]:0.023940, H2H_time:0.016818, sync_time:0.007122
iteration:28, F2F_time[s]:0.023685, H2H_time:0.016561, sync_time:0.007124
iteration:29, F2F_time[s]:0.023951, H2H_time:0.016791, sync_time:0.007160
iteration:30, F2F_time[s]:0.023375, H2H_time:0.016285, sync_time:0.007090
iteration:31, F2F_time[s]:0.023919, H2H_time:0.016813, sync_time:0.007106
iteration:32, F2F_time[s]:0.023992, H2H_time:0.016852, sync_time:0.007140
iteration:33, F2F_time[s]:0.023738, H2H_time:0.016603, sync_time:0.007136
iteration:34, F2F_time[s]:0.024126, H2H_time:0.016966, sync_time:0.007161
iteration:35, F2F_time[s]:0.023888, H2H_time:0.016783, sync_time:0.007105
iteration:36, F2F_time[s]:0.024347, H2H_time:0.017193, sync_time:0.007154
iteration:37, F2F_time[s]:0.023446, H2H_time:0.016326, sync_time:0.007120
iteration:38, F2F_time[s]:0.023905, H2H_time:0.016777, sync_time:0.007128
iteration:39, F2F_time[s]:0.023642, H2H_time:0.016516, sync_time:0.007126
iteration:40, F2F_time[s]:0.023766, H2H_time:0.016685, sync_time:0.007081
iteration:41, F2F_time[s]:0.023732, H2H_time:0.016636, sync_time:0.007097
iteration:42, F2F_time[s]:0.023848, H2H_time:0.016683, sync_time:0.007164
iteration:43, F2F_time[s]:0.024511, H2H_time:0.017378, sync_time:0.007134
iteration:44, F2F_time[s]:0.023531, H2H_time:0.016492, sync_time:0.007038
iteration:45, F2F_time[s]:0.023951, H2H_time:0.016841, sync_time:0.007110
