XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo4b
alveo2a
alveo3c
alveo3b
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.031612, H2H_time:0.024464, sync_time:0.007148
iteration:1, F2F_time[s]:0.028089, H2H_time:0.020919, sync_time:0.007170
iteration:2, F2F_time[s]:0.029280, H2H_time:0.022094, sync_time:0.007186
iteration:3, F2F_time[s]:0.044198, H2H_time:0.037103, sync_time:0.007094
iteration:4, F2F_time[s]:0.028965, H2H_time:0.021797, sync_time:0.007168
iteration:5, F2F_time[s]:0.028723, H2H_time:0.021586, sync_time:0.007137
iteration:6, F2F_time[s]:0.028664, H2H_time:0.021549, sync_time:0.007115
iteration:7, F2F_time[s]:0.029430, H2H_time:0.022213, sync_time:0.007217
iteration:8, F2F_time[s]:0.028931, H2H_time:0.021744, sync_time:0.007187
iteration:9, F2F_time[s]:0.028863, H2H_time:0.021654, sync_time:0.007209
iteration:10, F2F_time[s]:0.028888, H2H_time:0.021742, sync_time:0.007146
iteration:11, F2F_time[s]:0.028601, H2H_time:0.021373, sync_time:0.007228
iteration:12, F2F_time[s]:0.028916, H2H_time:0.021673, sync_time:0.007243
iteration:13, F2F_time[s]:0.028759, H2H_time:0.021509, sync_time:0.007250
iteration:14, F2F_time[s]:0.028707, H2H_time:0.021538, sync_time:0.007170
iteration:15, F2F_time[s]:0.028658, H2H_time:0.021408, sync_time:0.007250
iteration:16, F2F_time[s]:0.028092, H2H_time:0.020862, sync_time:0.007230
iteration:17, F2F_time[s]:0.028304, H2H_time:0.021040, sync_time:0.007264
iteration:18, F2F_time[s]:0.028743, H2H_time:0.021498, sync_time:0.007244
iteration:19, F2F_time[s]:0.028765, H2H_time:0.021612, sync_time:0.007152
iteration:20, F2F_time[s]:0.028844, H2H_time:0.021674, sync_time:0.007169
iteration:21, F2F_time[s]:0.028912, H2H_time:0.021677, sync_time:0.007235
iteration:22, F2F_time[s]:0.028509, H2H_time:0.021354, sync_time:0.007155
iteration:23, F2F_time[s]:0.028756, H2H_time:0.021588, sync_time:0.007168
iteration:24, F2F_time[s]:0.028686, H2H_time:0.021508, sync_time:0.007179
iteration:25, F2F_time[s]:0.028911, H2H_time:0.021711, sync_time:0.007200
iteration:26, F2F_time[s]:0.028719, H2H_time:0.021637, sync_time:0.007083
iteration:27, F2F_time[s]:0.028541, H2H_time:0.021346, sync_time:0.007195
iteration:28, F2F_time[s]:0.029087, H2H_time:0.021860, sync_time:0.007228
iteration:29, F2F_time[s]:0.028981, H2H_time:0.021832, sync_time:0.007149
iteration:30, F2F_time[s]:0.028605, H2H_time:0.021393, sync_time:0.007212
iteration:31, F2F_time[s]:0.028104, H2H_time:0.020886, sync_time:0.007218
iteration:32, F2F_time[s]:0.028663, H2H_time:0.021403, sync_time:0.007261
iteration:33, F2F_time[s]:0.029015, H2H_time:0.021776, sync_time:0.007239
iteration:34, F2F_time[s]:0.028504, H2H_time:0.021347, sync_time:0.007157
iteration:35, F2F_time[s]:0.028848, H2H_time:0.021637, sync_time:0.007211
iteration:36, F2F_time[s]:0.028885, H2H_time:0.021725, sync_time:0.007160
iteration:37, F2F_time[s]:0.041263, H2H_time:0.034066, sync_time:0.007197
iteration:38, F2F_time[s]:0.028819, H2H_time:0.021630, sync_time:0.007189
iteration:39, F2F_time[s]:0.028790, H2H_time:0.021611, sync_time:0.007179
iteration:40, F2F_time[s]:0.028652, H2H_time:0.021479, sync_time:0.007174
iteration:41, F2F_time[s]:0.028786, H2H_time:0.021576, sync_time:0.007210
iteration:42, F2F_time[s]:0.028827, H2H_time:0.021626, sync_time:0.007201
iteration:43, F2F_time[s]:0.028700, H2H_time:0.021523, sync_time:0.007176
iteration:44, F2F_time[s]:0.028934, H2H_time:0.021717, sync_time:0.007217
iteration:45, F2F_time[s]:0.028652, H2H_time:0.021431, sync_time:0.007221
iteration:46, F2F_time[s]:0.028210, H2H_time:0.021095, sync_time:0.007115
iteration:47, F2F_time[s]:0.028728, H2H_time:0.021581, sync_time:0.007147
iteration:48, F2F_time[s]:0.027883, H2H_time:0.020686, sync_time:0.007196
iteration:49, F2F_time[s]:0.027780, H2H_time:0.020617, sync_time:0.007163
iteration:50, F2F_time[s]:0.027740, H2H_time:0.020441, sync_time:0.007299
iteration:51, F2F_time[s]:0.027254, H2H_time:0.020072, sync_time:0.007182
iteration:52, F2F_time[s]:0.027584, H2H_time:0.020516, sync_time:0.007068
iteration:53, F2F_time[s]:0.027482, H2H_time:0.020342, sync_time:0.007140
iteration:54, F2F_time[s]:0.027670, H2H_time:0.020508, sync_time:0.007162
iteration:55, F2F_time[s]:0.028125, H2H_time:0.021000, sync_time:0.007125
iteration:56, F2F_time[s]:0.027081, H2H_time:0.019975, sync_time:0.007106
