XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3c
alveo4c
alveo4b
alveo3b
alveo2a
alveo2b
alveo1b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.027941, H2H_time:0.020185, sync_time:0.007756
iteration:1, F2F_time[s]:0.018963, H2H_time:0.011874, sync_time:0.007089
iteration:2, F2F_time[s]:0.022547, H2H_time:0.015132, sync_time:0.007415
iteration:3, F2F_time[s]:0.017990, H2H_time:0.010810, sync_time:0.007180
iteration:4, F2F_time[s]:0.017214, H2H_time:0.010269, sync_time:0.006945
iteration:5, F2F_time[s]:0.018527, H2H_time:0.011533, sync_time:0.006994
iteration:6, F2F_time[s]:0.017951, H2H_time:0.010810, sync_time:0.007141
iteration:7, F2F_time[s]:0.017117, H2H_time:0.010208, sync_time:0.006909
iteration:8, F2F_time[s]:0.016896, H2H_time:0.009910, sync_time:0.006985
iteration:9, F2F_time[s]:0.016933, H2H_time:0.010037, sync_time:0.006896
iteration:10, F2F_time[s]:0.016856, H2H_time:0.009851, sync_time:0.007005
iteration:11, F2F_time[s]:0.017338, H2H_time:0.010375, sync_time:0.006963
iteration:12, F2F_time[s]:0.016739, H2H_time:0.009810, sync_time:0.006929
iteration:13, F2F_time[s]:0.016858, H2H_time:0.009829, sync_time:0.007030
iteration:14, F2F_time[s]:0.017352, H2H_time:0.010310, sync_time:0.007042
iteration:15, F2F_time[s]:0.016690, H2H_time:0.009674, sync_time:0.007016
iteration:16, F2F_time[s]:0.017232, H2H_time:0.010251, sync_time:0.006981
iteration:17, F2F_time[s]:0.025135, H2H_time:0.018057, sync_time:0.007078
iteration:18, F2F_time[s]:0.025524, H2H_time:0.018228, sync_time:0.007296
iteration:19, F2F_time[s]:0.017565, H2H_time:0.010502, sync_time:0.007062
iteration:20, F2F_time[s]:0.017668, H2H_time:0.010457, sync_time:0.007211
iteration:21, F2F_time[s]:0.016835, H2H_time:0.009816, sync_time:0.007019
iteration:22, F2F_time[s]:0.017464, H2H_time:0.010263, sync_time:0.007201
iteration:23, F2F_time[s]:0.017790, H2H_time:0.010525, sync_time:0.007265
iteration:24, F2F_time[s]:0.016659, H2H_time:0.009398, sync_time:0.007260
iteration:25, F2F_time[s]:0.017650, H2H_time:0.010385, sync_time:0.007264
iteration:26, F2F_time[s]:0.017291, H2H_time:0.009791, sync_time:0.007500
iteration:27, F2F_time[s]:0.016775, H2H_time:0.009425, sync_time:0.007349
iteration:28, F2F_time[s]:0.016894, H2H_time:0.009592, sync_time:0.007302
iteration:29, F2F_time[s]:0.016168, H2H_time:0.008859, sync_time:0.007309
iteration:30, F2F_time[s]:0.015886, H2H_time:0.008813, sync_time:0.007072
iteration:31, F2F_time[s]:0.016569, H2H_time:0.009370, sync_time:0.007199
iteration:32, F2F_time[s]:0.016088, H2H_time:0.008912, sync_time:0.007176
iteration:33, F2F_time[s]:0.017057, H2H_time:0.009738, sync_time:0.007318
iteration:34, F2F_time[s]:0.016471, H2H_time:0.009573, sync_time:0.006898
iteration:35, F2F_time[s]:0.016129, H2H_time:0.009133, sync_time:0.006996
iteration:36, F2F_time[s]:0.016743, H2H_time:0.009571, sync_time:0.007173
iteration:37, F2F_time[s]:0.017188, H2H_time:0.010200, sync_time:0.006988
iteration:38, F2F_time[s]:0.016020, H2H_time:0.009131, sync_time:0.006889
iteration:39, F2F_time[s]:0.016207, H2H_time:0.009194, sync_time:0.007013
iteration:40, F2F_time[s]:0.016625, H2H_time:0.009638, sync_time:0.006987
iteration:41, F2F_time[s]:0.016825, H2H_time:0.009677, sync_time:0.007148
iteration:42, F2F_time[s]:0.024225, H2H_time:0.017299, sync_time:0.006926
iteration:43, F2F_time[s]:0.016831, H2H_time:0.009646, sync_time:0.007184
iteration:44, F2F_time[s]:0.017464, H2H_time:0.010114, sync_time:0.007350
iteration:45, F2F_time[s]:0.017071, H2H_time:0.009857, sync_time:0.007215
iteration:46, F2F_time[s]:0.017613, H2H_time:0.010312, sync_time:0.007301
iteration:47, F2F_time[s]:0.017781, H2H_time:0.010873, sync_time:0.006908
iteration:48, F2F_time[s]:0.017357, H2H_time:0.010396, sync_time:0.006961
iteration:49, F2F_time[s]:0.017153, H2H_time:0.010147, sync_time:0.007006
iteration:50, F2F_time[s]:0.017758, H2H_time:0.010618, sync_time:0.007140
iteration:51, F2F_time[s]:0.018266, H2H_time:0.011216, sync_time:0.007050
iteration:52, F2F_time[s]:0.016847, H2H_time:0.009766, sync_time:0.007081
iteration:53, F2F_time[s]:0.017335, H2H_time:0.010335, sync_time:0.006999
iteration:54, F2F_time[s]:0.017061, H2H_time:0.009840, sync_time:0.007221
iteration:55, F2F_time[s]:0.017133, H2H_time:0.009861, sync_time:0.007273
iteration:56, F2F_time[s]:0.016360, H2H_time:0.009147, sync_time:0.007213
iteration:57, F2F_time[s]:0.016867, H2H_time:0.009562, sync_time:0.007305
iteration:58, F2F_time[s]:0.017059, H2H_time:0.009714, sync_time:0.007345
iteration:59, F2F_time[s]:0.017303, H2H_time:0.010082, sync_time:0.007221
iteration:60, F2F_time[s]:0.017616, H2H_time:0.010383, sync_time:0.007233
iteration:61, F2F_time[s]:0.016977, H2H_time:0.009621, sync_time:0.007355
iteration:62, F2F_time[s]:0.017295, H2H_time:0.009976, sync_time:0.007318
