XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16384, num_elements:4096, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16384, num_elements:4096, num_trials:200
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16384, num_elements:4096, num_trials:200
iteration:0, F2F_time[s]:0.000845, H2H_time:0.000359, sync_time:0.000486
iteration:1, F2F_time[s]:0.000470, H2H_time:0.000186, sync_time:0.000284
iteration:2, F2F_time[s]:0.000403, H2H_time:0.000189, sync_time:0.000214
iteration:3, F2F_time[s]:0.000397, H2H_time:0.000194, sync_time:0.000203
iteration:4, F2F_time[s]:0.000376, H2H_time:0.000159, sync_time:0.000216
iteration:5, F2F_time[s]:0.000392, H2H_time:0.000179, sync_time:0.000213
iteration:6, F2F_time[s]:0.000386, H2H_time:0.000177, sync_time:0.000209
iteration:7, F2F_time[s]:0.000393, H2H_time:0.000186, sync_time:0.000207
iteration:8, F2F_time[s]:0.000373, H2H_time:0.000166, sync_time:0.000207
iteration:9, F2F_time[s]:0.000409, H2H_time:0.000177, sync_time:0.000233
iteration:10, F2F_time[s]:0.000378, H2H_time:0.000171, sync_time:0.000207
iteration:11, F2F_time[s]:0.000406, H2H_time:0.000197, sync_time:0.000209
iteration:12, F2F_time[s]:0.000357, H2H_time:0.000159, sync_time:0.000198
iteration:13, F2F_time[s]:0.000363, H2H_time:0.000151, sync_time:0.000212
iteration:14, F2F_time[s]:0.000373, H2H_time:0.000152, sync_time:0.000221
iteration:15, F2F_time[s]:0.000363, H2H_time:0.000162, sync_time:0.000201
iteration:16, F2F_time[s]:0.000381, H2H_time:0.000184, sync_time:0.000197
iteration:17, F2F_time[s]:0.000365, H2H_time:0.000174, sync_time:0.000191
iteration:18, F2F_time[s]:0.000355, H2H_time:0.000153, sync_time:0.000202
iteration:19, F2F_time[s]:0.000322, H2H_time:0.000143, sync_time:0.000180
iteration:20, F2F_time[s]:0.000350, H2H_time:0.000170, sync_time:0.000180
iteration:21, F2F_time[s]:0.000363, H2H_time:0.000156, sync_time:0.000207
iteration:22, F2F_time[s]:0.000348, H2H_time:0.000165, sync_time:0.000183
iteration:23, F2F_time[s]:0.000360, H2H_time:0.000153, sync_time:0.000208
iteration:24, F2F_time[s]:0.000318, H2H_time:0.000144, sync_time:0.000175
iteration:25, F2F_time[s]:0.000324, H2H_time:0.000143, sync_time:0.000181
iteration:26, F2F_time[s]:0.000366, H2H_time:0.000182, sync_time:0.000184
iteration:27, F2F_time[s]:0.000317, H2H_time:0.000137, sync_time:0.000181
iteration:28, F2F_time[s]:0.000316, H2H_time:0.000138, sync_time:0.000178
iteration:29, F2F_time[s]:0.000295, H2H_time:0.000114, sync_time:0.000181
iteration:30, F2F_time[s]:0.000288, H2H_time:0.000118, sync_time:0.000170
iteration:31, F2F_time[s]:0.000307, H2H_time:0.000137, sync_time:0.000170
iteration:32, F2F_time[s]:0.000288, H2H_time:0.000126, sync_time:0.000163
iteration:33, F2F_time[s]:0.000291, H2H_time:0.000123, sync_time:0.000168
iteration:34, F2F_time[s]:0.000282, H2H_time:0.000114, sync_time:0.000168
iteration:35, F2F_time[s]:0.000301, H2H_time:0.000124, sync_time:0.000176
iteration:36, F2F_time[s]:0.000282, H2H_time:0.000117, sync_time:0.000165
iteration:37, F2F_time[s]:0.000304, H2H_time:0.000142, sync_time:0.000162
iteration:38, F2F_time[s]:0.000302, H2H_time:0.000128, sync_time:0.000174
iteration:39, F2F_time[s]:0.000300, H2H_time:0.000132, sync_time:0.000168
iteration:40, F2F_time[s]:0.000298, H2H_time:0.000118, sync_time:0.000180
iteration:41, F2F_time[s]:0.000298, H2H_time:0.000125, sync_time:0.000173
iteration:42, F2F_time[s]:0.000281, H2H_time:0.000120, sync_time:0.000161
iteration:43, F2F_time[s]:0.000292, H2H_time:0.000113, sync_time:0.000179
iteration:44, F2F_time[s]:0.000288, H2H_time:0.000124, sync_time:0.000164
iteration:45, F2F_time[s]:0.000278, H2H_time:0.000118, sync_time:0.000160
iteration:46, F2F_time[s]:0.000285, H2H_time:0.000124, sync_time:0.000162
iteration:47, F2F_time[s]:0.000255, H2H_time:0.000119, sync_time:0.000136
iteration:48, F2F_time[s]:0.000261, H2H_time:0.000122, sync_time:0.000139
iteration:49, F2F_time[s]:0.000258, H2H_time:0.000124, sync_time:0.000134
iteration:50, F2F_time[s]:0.000258, H2H_time:0.000122, sync_time:0.000137
iteration:51, F2F_time[s]:0.000266, H2H_time:0.000126, sync_time:0.000141
iteration:52, F2F_time[s]:0.000254, H2H_time:0.000111, sync_time:0.000143
iteration:53, F2F_time[s]:0.000263, H2H_time:0.000123, sync_time:0.000140
iteration:54, F2F_time[s]:0.000272, H2H_time:0.000133, sync_time:0.000139
iteration:55, F2F_time[s]:0.000255, H2H_time:0.000120, sync_time:0.000135
iteration:56, F2F_time[s]:0.000261, H2H_time:0.000126, sync_time:0.000135
iteration:57, F2F_time[s]:0.000259, H2H_time:0.000111, sync_time:0.000147
iteration:58, F2F_time[s]:0.000254, H2H_time:0.000117, sync_time:0.000138
iteration:59, F2F_time[s]:0.000248, H2H_time:0.000112, sync_time:0.000136
iteration:60, F2F_time[s]:0.000249, H2H_time:0.000109, sync_time:0.000140
iteration:61, F2F_time[s]:0.000249, H2H_time:0.000111, sync_time:0.000139
iteration:62, F2F_time[s]:0.000257, H2H_time:0.000123, sync_time:0.000134
iteration:63, F2F_time[s]:0.000250, H2H_time:0.000114, sync_time:0.000136
iteration:64, F2F_time[s]:0.000255, H2H_time:0.000118, sync_time:0.000137
iteration:65, F2F_time[s]:0.000264, H2H_time:0.000124, sync_time:0.000139
iteration:66, F2F_time[s]:0.000261, H2H_time:0.000116, sync_time:0.000145
iteration:67, F2F_time[s]:0.000264, H2H_time:0.000126, sync_time:0.000137
iteration:68, F2F_time[s]:0.000251, H2H_time:0.000114, sync_time:0.000137
iteration:69, F2F_time[s]:0.000261, H2H_time:0.000117, sync_time:0.000143
iteration:70, F2F_time[s]:0.000261, H2H_time:0.000124, sync_time:0.000137
iteration:71, F2F_time[s]:0.000265, H2H_time:0.000127, sync_time:0.000139
iteration:72, F2F_time[s]:0.000250, H2H_time:0.000114, sync_time:0.000137
iteration:73, F2F_time[s]:0.000274, H2H_time:0.000121, sync_time:0.000153
iteration:74, F2F_time[s]:0.000252, H2H_time:0.000114, sync_time:0.000138
iteration:75, F2F_time[s]:0.000253, H2H_time:0.000111, sync_time:0.000142
iteration:76, F2F_time[s]:0.000257, H2H_time:0.000121, sync_time:0.000136
iteration:77, F2F_time[s]:0.000248, H2H_time:0.000111, sync_time:0.000137
iteration:78, F2F_time[s]:0.000253, H2H_time:0.000117, sync_time:0.000137
iteration:79, F2F_time[s]:0.000253, H2H_time:0.000120, sync_time:0.000133
iteration:80, F2F_time[s]:0.000247, H2H_time:0.000117, sync_time:0.000130
iteration:81, F2F_time[s]:0.000247, H2H_time:0.000120, sync_time:0.000127
iteration:82, F2F_time[s]:0.000249, H2H_time:0.000123, sync_time:0.000126
iteration:83, F2F_time[s]:0.000247, H2H_time:0.000119, sync_time:0.000128
iteration:84, F2F_time[s]:0.000251, H2H_time:0.000121, sync_time:0.000131
iteration:85, F2F_time[s]:0.000250, H2H_time:0.000118, sync_time:0.000132
iteration:86, F2F_time[s]:0.000248, H2H_time:0.000120, sync_time:0.000127
iteration:87, F2F_time[s]:0.000249, H2H_time:0.000118, sync_time:0.000131
iteration:88, F2F_time[s]:0.000253, H2H_time:0.000119, sync_time:0.000134
iteration:89, F2F_time[s]:0.000250, H2H_time:0.000116, sync_time:0.000134
iteration:90, F2F_time[s]:0.000243, H2H_time:0.000120, sync_time:0.000123
iteration:91, F2F_time[s]:0.000248, H2H_time:0.000121, sync_time:0.000127
iteration:92, F2F_time[s]:0.000252, H2H_time:0.000122, sync_time:0.000131
iteration:93, F2F_time[s]:0.000253, H2H_time:0.000124, sync_time:0.000129
iteration:94, F2F_time[s]:0.000246, H2H_time:0.000117, sync_time:0.000128
iteration:95, F2F_time[s]:0.000254, H2H_time:0.000123, sync_time:0.000131
iteration:96, F2F_time[s]:0.000240, H2H_time:0.000110, sync_time:0.000130
iteration:97, F2F_time[s]:0.000264, H2H_time:0.000120, sync_time:0.000144
iteration:98, F2F_time[s]:0.000250, H2H_time:0.000119, sync_time:0.000130
iteration:99, F2F_time[s]:0.000247, H2H_time:0.000120, sync_time:0.000127
iteration:100, F2F_time[s]:0.000246, H2H_time:0.000119, sync_time:0.000127
iteration:101, F2F_time[s]:0.000248, H2H_time:0.000118, sync_time:0.000129
iteration:102, F2F_time[s]:0.000249, H2H_time:0.000118, sync_time:0.000131
iteration:103, F2F_time[s]:0.000250, H2H_time:0.000121, sync_time:0.000129
iteration:104, F2F_time[s]:0.000251, H2H_time:0.000116, sync_time:0.000135
iteration:105, F2F_time[s]:0.000248, H2H_time:0.000113, sync_time:0.000135
