XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo2b
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1024, num_elements:256, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1024, num_elements:256, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1024, num_elements:256, num_trials:200
Start All-gather test:
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1024, num_elements:256, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1024, num_elements:256, num_trials:200
iteration:0, F2F_time[s]:0.001237, H2H_time:0.000761, sync_time:0.000477
iteration:1, F2F_time[s]:0.000577, H2H_time:0.000248, sync_time:0.000329
iteration:2, F2F_time[s]:0.000392, H2H_time:0.000162, sync_time:0.000230
iteration:3, F2F_time[s]:0.000411, H2H_time:0.000225, sync_time:0.000186
iteration:4, F2F_time[s]:0.000541, H2H_time:0.000223, sync_time:0.000319
iteration:5, F2F_time[s]:0.000391, H2H_time:0.000160, sync_time:0.000231
iteration:6, F2F_time[s]:0.000395, H2H_time:0.000206, sync_time:0.000189
iteration:7, F2F_time[s]:0.000362, H2H_time:0.000172, sync_time:0.000190
iteration:8, F2F_time[s]:0.000374, H2H_time:0.000159, sync_time:0.000214
iteration:9, F2F_time[s]:0.000366, H2H_time:0.000166, sync_time:0.000200
iteration:10, F2F_time[s]:0.000437, H2H_time:0.000224, sync_time:0.000213
iteration:11, F2F_time[s]:0.000576, H2H_time:0.000244, sync_time:0.000332
iteration:12, F2F_time[s]:0.000531, H2H_time:0.000226, sync_time:0.000305
iteration:13, F2F_time[s]:0.000465, H2H_time:0.000178, sync_time:0.000287
iteration:14, F2F_time[s]:0.000407, H2H_time:0.000181, sync_time:0.000225
iteration:15, F2F_time[s]:0.000465, H2H_time:0.000226, sync_time:0.000239
iteration:16, F2F_time[s]:0.000486, H2H_time:0.000180, sync_time:0.000306
iteration:17, F2F_time[s]:0.000455, H2H_time:0.000219, sync_time:0.000236
iteration:18, F2F_time[s]:0.000534, H2H_time:0.000228, sync_time:0.000306
iteration:19, F2F_time[s]:0.000535, H2H_time:0.000235, sync_time:0.000301
iteration:20, F2F_time[s]:0.000527, H2H_time:0.000222, sync_time:0.000305
iteration:21, F2F_time[s]:0.000438, H2H_time:0.000221, sync_time:0.000218
iteration:22, F2F_time[s]:0.000540, H2H_time:0.000233, sync_time:0.000307
iteration:23, F2F_time[s]:0.000555, H2H_time:0.000231, sync_time:0.000324
iteration:24, F2F_time[s]:0.000530, H2H_time:0.000229, sync_time:0.000301
iteration:25, F2F_time[s]:0.000511, H2H_time:0.000219, sync_time:0.000292
iteration:26, F2F_time[s]:0.000522, H2H_time:0.000217, sync_time:0.000305
iteration:27, F2F_time[s]:0.000473, H2H_time:0.000215, sync_time:0.000258
iteration:28, F2F_time[s]:0.000521, H2H_time:0.000228, sync_time:0.000293
iteration:29, F2F_time[s]:0.000519, H2H_time:0.000219, sync_time:0.000301
iteration:30, F2F_time[s]:0.000546, H2H_time:0.000242, sync_time:0.000304
iteration:31, F2F_time[s]:0.000514, H2H_time:0.000186, sync_time:0.000328
iteration:32, F2F_time[s]:0.000468, H2H_time:0.000185, sync_time:0.000282
iteration:33, F2F_time[s]:0.000440, H2H_time:0.000224, sync_time:0.000216
iteration:34, F2F_time[s]:0.000427, H2H_time:0.000212, sync_time:0.000215
iteration:35, F2F_time[s]:0.000531, H2H_time:0.000208, sync_time:0.000323
iteration:36, F2F_time[s]:0.000523, H2H_time:0.000214, sync_time:0.000309
iteration:37, F2F_time[s]:0.000535, H2H_time:0.000209, sync_time:0.000326
iteration:38, F2F_time[s]:0.000521, H2H_time:0.000210, sync_time:0.000311
iteration:39, F2F_time[s]:0.000490, H2H_time:0.000183, sync_time:0.000307
iteration:40, F2F_time[s]:0.000498, H2H_time:0.000206, sync_time:0.000292
iteration:41, F2F_time[s]:0.000417, H2H_time:0.000178, sync_time:0.000239
iteration:42, F2F_time[s]:0.000438, H2H_time:0.000208, sync_time:0.000231
iteration:43, F2F_time[s]:0.000511, H2H_time:0.000189, sync_time:0.000322
iteration:44, F2F_time[s]:0.000544, H2H_time:0.000225, sync_time:0.000319
iteration:45, F2F_time[s]:0.000482, H2H_time:0.000182, sync_time:0.000300
