XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo1a
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.002174, H2H_time:0.001443, sync_time:0.000732
iteration:1, F2F_time[s]:0.001652, H2H_time:0.000968, sync_time:0.000684
iteration:2, F2F_time[s]:0.001451, H2H_time:0.000791, sync_time:0.000660
iteration:3, F2F_time[s]:0.001545, H2H_time:0.000875, sync_time:0.000670
iteration:4, F2F_time[s]:0.001451, H2H_time:0.000786, sync_time:0.000665
iteration:5, F2F_time[s]:0.001487, H2H_time:0.000801, sync_time:0.000686
iteration:6, F2F_time[s]:0.001217, H2H_time:0.000606, sync_time:0.000611
iteration:7, F2F_time[s]:0.001299, H2H_time:0.000745, sync_time:0.000553
iteration:8, F2F_time[s]:0.001272, H2H_time:0.000699, sync_time:0.000574
iteration:9, F2F_time[s]:0.001203, H2H_time:0.000618, sync_time:0.000585
iteration:10, F2F_time[s]:0.001186, H2H_time:0.000610, sync_time:0.000576
iteration:11, F2F_time[s]:0.001173, H2H_time:0.000640, sync_time:0.000533
iteration:12, F2F_time[s]:0.001142, H2H_time:0.000617, sync_time:0.000526
iteration:13, F2F_time[s]:0.001125, H2H_time:0.000579, sync_time:0.000546
iteration:14, F2F_time[s]:0.001101, H2H_time:0.000597, sync_time:0.000503
iteration:15, F2F_time[s]:0.001070, H2H_time:0.000547, sync_time:0.000524
iteration:16, F2F_time[s]:0.000953, H2H_time:0.000413, sync_time:0.000539
iteration:17, F2F_time[s]:0.000885, H2H_time:0.000424, sync_time:0.000461
iteration:18, F2F_time[s]:0.000911, H2H_time:0.000443, sync_time:0.000467
iteration:19, F2F_time[s]:0.000909, H2H_time:0.000449, sync_time:0.000459
iteration:20, F2F_time[s]:0.000868, H2H_time:0.000408, sync_time:0.000460
iteration:21, F2F_time[s]:0.000927, H2H_time:0.000454, sync_time:0.000473
iteration:22, F2F_time[s]:0.000932, H2H_time:0.000440, sync_time:0.000492
iteration:23, F2F_time[s]:0.000846, H2H_time:0.000410, sync_time:0.000436
iteration:24, F2F_time[s]:0.000936, H2H_time:0.000431, sync_time:0.000505
iteration:25, F2F_time[s]:0.000906, H2H_time:0.000422, sync_time:0.000483
iteration:26, F2F_time[s]:0.000879, H2H_time:0.000412, sync_time:0.000467
iteration:27, F2F_time[s]:0.000905, H2H_time:0.000443, sync_time:0.000462
iteration:28, F2F_time[s]:0.000911, H2H_time:0.000426, sync_time:0.000485
iteration:29, F2F_time[s]:0.000870, H2H_time:0.000405, sync_time:0.000465
iteration:30, F2F_time[s]:0.000897, H2H_time:0.000444, sync_time:0.000453
iteration:31, F2F_time[s]:0.000964, H2H_time:0.000505, sync_time:0.000459
iteration:32, F2F_time[s]:0.000900, H2H_time:0.000435, sync_time:0.000464
iteration:33, F2F_time[s]:0.000924, H2H_time:0.000447, sync_time:0.000478
iteration:34, F2F_time[s]:0.000922, H2H_time:0.000469, sync_time:0.000453
iteration:35, F2F_time[s]:0.000926, H2H_time:0.000456, sync_time:0.000470
iteration:36, F2F_time[s]:0.000873, H2H_time:0.000420, sync_time:0.000453
iteration:37, F2F_time[s]:0.000921, H2H_time:0.000456, sync_time:0.000465
iteration:38, F2F_time[s]:0.000900, H2H_time:0.000429, sync_time:0.000471
iteration:39, F2F_time[s]:0.000898, H2H_time:0.000439, sync_time:0.000459
