XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.035658, H2H_time:0.022373, sync_time:0.013286
iteration:1, F2F_time[s]:0.035297, H2H_time:0.022277, sync_time:0.013020
iteration:2, F2F_time[s]:0.036232, H2H_time:0.023240, sync_time:0.012992
iteration:3, F2F_time[s]:0.035744, H2H_time:0.022707, sync_time:0.013037
iteration:4, F2F_time[s]:0.035576, H2H_time:0.022514, sync_time:0.013063
iteration:5, F2F_time[s]:0.035089, H2H_time:0.022055, sync_time:0.013035
iteration:6, F2F_time[s]:0.034485, H2H_time:0.021432, sync_time:0.013053
iteration:7, F2F_time[s]:0.036119, H2H_time:0.023075, sync_time:0.013044
iteration:8, F2F_time[s]:0.034862, H2H_time:0.021812, sync_time:0.013050
iteration:9, F2F_time[s]:0.035548, H2H_time:0.022530, sync_time:0.013018
iteration:10, F2F_time[s]:0.036003, H2H_time:0.022934, sync_time:0.013069
iteration:11, F2F_time[s]:0.036355, H2H_time:0.023283, sync_time:0.013072
iteration:12, F2F_time[s]:0.034647, H2H_time:0.021616, sync_time:0.013031
iteration:13, F2F_time[s]:0.034366, H2H_time:0.021333, sync_time:0.013034
iteration:14, F2F_time[s]:0.033799, H2H_time:0.020729, sync_time:0.013069
iteration:15, F2F_time[s]:0.034037, H2H_time:0.020980, sync_time:0.013057
iteration:16, F2F_time[s]:0.033888, H2H_time:0.020812, sync_time:0.013076
iteration:17, F2F_time[s]:0.035897, H2H_time:0.022820, sync_time:0.013078
iteration:18, F2F_time[s]:0.035234, H2H_time:0.022174, sync_time:0.013060
iteration:19, F2F_time[s]:0.035686, H2H_time:0.022610, sync_time:0.013075
iteration:20, F2F_time[s]:0.037638, H2H_time:0.024585, sync_time:0.013053
iteration:21, F2F_time[s]:0.034011, H2H_time:0.020957, sync_time:0.013054
iteration:22, F2F_time[s]:0.033361, H2H_time:0.020347, sync_time:0.013014
iteration:23, F2F_time[s]:0.034149, H2H_time:0.021119, sync_time:0.013030
iteration:24, F2F_time[s]:0.035156, H2H_time:0.022151, sync_time:0.013005
iteration:25, F2F_time[s]:0.034202, H2H_time:0.021189, sync_time:0.013012
iteration:26, F2F_time[s]:0.034412, H2H_time:0.021374, sync_time:0.013039
iteration:27, F2F_time[s]:0.035030, H2H_time:0.021960, sync_time:0.013069
iteration:28, F2F_time[s]:0.033179, H2H_time:0.020117, sync_time:0.013062
iteration:29, F2F_time[s]:0.034741, H2H_time:0.021715, sync_time:0.013026
iteration:30, F2F_time[s]:0.034261, H2H_time:0.021218, sync_time:0.013043
iteration:31, F2F_time[s]:0.033023, H2H_time:0.020009, sync_time:0.013014
iteration:32, F2F_time[s]:0.032876, H2H_time:0.019850, sync_time:0.013026
iteration:33, F2F_time[s]:0.032594, H2H_time:0.019581, sync_time:0.013013
iteration:34, F2F_time[s]:0.033272, H2H_time:0.020249, sync_time:0.013024
iteration:35, F2F_time[s]:0.033519, H2H_time:0.020552, sync_time:0.012967
iteration:36, F2F_time[s]:0.033341, H2H_time:0.020352, sync_time:0.012989
iteration:37, F2F_time[s]:0.034301, H2H_time:0.021334, sync_time:0.012966
iteration:38, F2F_time[s]:0.034410, H2H_time:0.021414, sync_time:0.012997
iteration:39, F2F_time[s]:0.035048, H2H_time:0.022070, sync_time:0.012978
