XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4096, num_elements:1024, num_trials:200
Start All-gather test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4096, num_elements:1024, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4096, num_elements:1024, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4096, num_elements:1024, num_trials:200
iteration:0, F2F_time[s]:0.001026, H2H_time:0.000414, sync_time:0.000612
iteration:1, F2F_time[s]:0.000559, H2H_time:0.000172, sync_time:0.000388
iteration:2, F2F_time[s]:0.000368, H2H_time:0.000107, sync_time:0.000261
iteration:3, F2F_time[s]:0.000335, H2H_time:0.000105, sync_time:0.000230
iteration:4, F2F_time[s]:0.000314, H2H_time:0.000102, sync_time:0.000212
iteration:5, F2F_time[s]:0.000316, H2H_time:0.000107, sync_time:0.000209
iteration:6, F2F_time[s]:0.000316, H2H_time:0.000109, sync_time:0.000207
iteration:7, F2F_time[s]:0.000309, H2H_time:0.000108, sync_time:0.000201
iteration:8, F2F_time[s]:0.000297, H2H_time:0.000101, sync_time:0.000196
iteration:9, F2F_time[s]:0.000319, H2H_time:0.000108, sync_time:0.000211
iteration:10, F2F_time[s]:0.000303, H2H_time:0.000106, sync_time:0.000197
iteration:11, F2F_time[s]:0.000302, H2H_time:0.000102, sync_time:0.000201
iteration:12, F2F_time[s]:0.000305, H2H_time:0.000104, sync_time:0.000202
iteration:13, F2F_time[s]:0.000312, H2H_time:0.000112, sync_time:0.000200
iteration:14, F2F_time[s]:0.000365, H2H_time:0.000157, sync_time:0.000208
iteration:15, F2F_time[s]:0.000312, H2H_time:0.000104, sync_time:0.000209
iteration:16, F2F_time[s]:0.000315, H2H_time:0.000108, sync_time:0.000207
iteration:17, F2F_time[s]:0.000309, H2H_time:0.000108, sync_time:0.000201
iteration:18, F2F_time[s]:0.000298, H2H_time:0.000106, sync_time:0.000192
iteration:19, F2F_time[s]:0.000308, H2H_time:0.000115, sync_time:0.000193
iteration:20, F2F_time[s]:0.000288, H2H_time:0.000097, sync_time:0.000191
iteration:21, F2F_time[s]:0.000292, H2H_time:0.000098, sync_time:0.000194
iteration:22, F2F_time[s]:0.000285, H2H_time:0.000094, sync_time:0.000192
iteration:23, F2F_time[s]:0.000341, H2H_time:0.000159, sync_time:0.000182
iteration:24, F2F_time[s]:0.000350, H2H_time:0.000194, sync_time:0.000157
iteration:25, F2F_time[s]:0.000357, H2H_time:0.000190, sync_time:0.000167
iteration:26, F2F_time[s]:0.000328, H2H_time:0.000172, sync_time:0.000156
iteration:27, F2F_time[s]:0.000344, H2H_time:0.000188, sync_time:0.000156
iteration:28, F2F_time[s]:0.000352, H2H_time:0.000188, sync_time:0.000165
iteration:29, F2F_time[s]:0.000334, H2H_time:0.000180, sync_time:0.000155
iteration:30, F2F_time[s]:0.000337, H2H_time:0.000181, sync_time:0.000156
iteration:31, F2F_time[s]:0.000331, H2H_time:0.000171, sync_time:0.000160
iteration:32, F2F_time[s]:0.000344, H2H_time:0.000188, sync_time:0.000157
iteration:33, F2F_time[s]:0.000349, H2H_time:0.000189, sync_time:0.000160
iteration:34, F2F_time[s]:0.000355, H2H_time:0.000187, sync_time:0.000168
iteration:35, F2F_time[s]:0.000349, H2H_time:0.000179, sync_time:0.000171
iteration:36, F2F_time[s]:0.000367, H2H_time:0.000198, sync_time:0.000170
iteration:37, F2F_time[s]:0.000359, H2H_time:0.000191, sync_time:0.000168
iteration:38, F2F_time[s]:0.000360, H2H_time:0.000198, sync_time:0.000163
iteration:39, F2F_time[s]:0.000234, H2H_time:0.000073, sync_time:0.000161
iteration:40, F2F_time[s]:0.000249, H2H_time:0.000076, sync_time:0.000173
iteration:41, F2F_time[s]:0.000239, H2H_time:0.000082, sync_time:0.000157
iteration:42, F2F_time[s]:0.000228, H2H_time:0.000080, sync_time:0.000147
iteration:43, F2F_time[s]:0.000227, H2H_time:0.000072, sync_time:0.000155
iteration:44, F2F_time[s]:0.000235, H2H_time:0.000087, sync_time:0.000148
iteration:45, F2F_time[s]:0.000230, H2H_time:0.000083, sync_time:0.000147
iteration:46, F2F_time[s]:0.000212, H2H_time:0.000071, sync_time:0.000141
iteration:47, F2F_time[s]:0.000250, H2H_time:0.000087, sync_time:0.000163
iteration:48, F2F_time[s]:0.000233, H2H_time:0.000071, sync_time:0.000162
iteration:49, F2F_time[s]:0.000233, H2H_time:0.000069, sync_time:0.000164
iteration:50, F2F_time[s]:0.000252, H2H_time:0.000081, sync_time:0.000171
iteration:51, F2F_time[s]:0.000228, H2H_time:0.000074, sync_time:0.000154
iteration:52, F2F_time[s]:0.000238, H2H_time:0.000077, sync_time:0.000161
iteration:53, F2F_time[s]:0.000249, H2H_time:0.000064, sync_time:0.000185
