XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo3c
alveo2b
alveo2a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4096, num_elements:1024, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:4096, num_elements:1024, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4096, num_elements:1024, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4096, num_elements:1024, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4096, num_elements:1024, num_trials:200
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4096, num_elements:1024, num_trials:200
iteration:0, F2F_time[s]:0.001392, H2H_time:0.000768, sync_time:0.000624
iteration:1, F2F_time[s]:0.000607, H2H_time:0.000266, sync_time:0.000341
iteration:2, F2F_time[s]:0.000644, H2H_time:0.000278, sync_time:0.000367
iteration:3, F2F_time[s]:0.000581, H2H_time:0.000227, sync_time:0.000354
iteration:4, F2F_time[s]:0.000633, H2H_time:0.000281, sync_time:0.000351
iteration:5, F2F_time[s]:0.000535, H2H_time:0.000200, sync_time:0.000335
iteration:6, F2F_time[s]:0.000464, H2H_time:0.000212, sync_time:0.000252
iteration:7, F2F_time[s]:0.000474, H2H_time:0.000223, sync_time:0.000251
iteration:8, F2F_time[s]:0.000638, H2H_time:0.000253, sync_time:0.000384
iteration:9, F2F_time[s]:0.000655, H2H_time:0.000307, sync_time:0.000348
iteration:10, F2F_time[s]:0.000585, H2H_time:0.000261, sync_time:0.000324
iteration:11, F2F_time[s]:0.000577, H2H_time:0.000276, sync_time:0.000301
iteration:12, F2F_time[s]:0.000654, H2H_time:0.000306, sync_time:0.000348
iteration:13, F2F_time[s]:0.000605, H2H_time:0.000266, sync_time:0.000340
iteration:14, F2F_time[s]:0.000603, H2H_time:0.000236, sync_time:0.000366
iteration:15, F2F_time[s]:0.000603, H2H_time:0.000258, sync_time:0.000345
iteration:16, F2F_time[s]:0.000619, H2H_time:0.000268, sync_time:0.000351
iteration:17, F2F_time[s]:0.000536, H2H_time:0.000232, sync_time:0.000304
iteration:18, F2F_time[s]:0.000582, H2H_time:0.000247, sync_time:0.000335
iteration:19, F2F_time[s]:0.000585, H2H_time:0.000272, sync_time:0.000313
iteration:20, F2F_time[s]:0.000677, H2H_time:0.000331, sync_time:0.000346
iteration:21, F2F_time[s]:0.000603, H2H_time:0.000304, sync_time:0.000299
iteration:22, F2F_time[s]:0.000637, H2H_time:0.000326, sync_time:0.000311
iteration:23, F2F_time[s]:0.000602, H2H_time:0.000302, sync_time:0.000300
iteration:24, F2F_time[s]:0.000622, H2H_time:0.000266, sync_time:0.000356
iteration:25, F2F_time[s]:0.000594, H2H_time:0.000292, sync_time:0.000302
iteration:26, F2F_time[s]:0.000666, H2H_time:0.000314, sync_time:0.000352
iteration:27, F2F_time[s]:0.000567, H2H_time:0.000274, sync_time:0.000292
iteration:28, F2F_time[s]:0.000627, H2H_time:0.000286, sync_time:0.000341
iteration:29, F2F_time[s]:0.000522, H2H_time:0.000202, sync_time:0.000320
iteration:30, F2F_time[s]:0.000604, H2H_time:0.000260, sync_time:0.000344
iteration:31, F2F_time[s]:0.000578, H2H_time:0.000244, sync_time:0.000334
iteration:32, F2F_time[s]:0.000601, H2H_time:0.000267, sync_time:0.000334
iteration:33, F2F_time[s]:0.000569, H2H_time:0.000240, sync_time:0.000329
iteration:34, F2F_time[s]:0.000652, H2H_time:0.000291, sync_time:0.000361
iteration:35, F2F_time[s]:0.000455, H2H_time:0.000244, sync_time:0.000212
iteration:36, F2F_time[s]:0.000611, H2H_time:0.000255, sync_time:0.000357
iteration:37, F2F_time[s]:0.000525, H2H_time:0.000226, sync_time:0.000298
iteration:38, F2F_time[s]:0.000612, H2H_time:0.000261, sync_time:0.000350
iteration:39, F2F_time[s]:0.000606, H2H_time:0.000269, sync_time:0.000337
iteration:40, F2F_time[s]:0.000637, H2H_time:0.000283, sync_time:0.000354
iteration:41, F2F_time[s]:0.000538, H2H_time:0.000264, sync_time:0.000275
iteration:42, F2F_time[s]:0.000541, H2H_time:0.000287, sync_time:0.000254
iteration:43, F2F_time[s]:0.000487, H2H_time:0.000236, sync_time:0.000252
iteration:44, F2F_time[s]:0.000472, H2H_time:0.000225, sync_time:0.000247
iteration:45, F2F_time[s]:0.000514, H2H_time:0.000255, sync_time:0.000259
iteration:46, F2F_time[s]:0.000501, H2H_time:0.000248, sync_time:0.000253
iteration:47, F2F_time[s]:0.000475, H2H_time:0.000221, sync_time:0.000254
iteration:48, F2F_time[s]:0.000441, H2H_time:0.000214, sync_time:0.000227
iteration:49, F2F_time[s]:0.000448, H2H_time:0.000204, sync_time:0.000245
iteration:50, F2F_time[s]:0.000460, H2H_time:0.000234, sync_time:0.000225
iteration:51, F2F_time[s]:0.000435, H2H_time:0.000205, sync_time:0.000230
