XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo2a
alveo1a
alveo2b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.002375, H2H_time:0.001711, sync_time:0.000664
iteration:1, F2F_time[s]:0.001668, H2H_time:0.001024, sync_time:0.000645
iteration:2, F2F_time[s]:0.001471, H2H_time:0.000823, sync_time:0.000649
iteration:3, F2F_time[s]:0.001465, H2H_time:0.000811, sync_time:0.000654
iteration:4, F2F_time[s]:0.001272, H2H_time:0.000715, sync_time:0.000557
iteration:5, F2F_time[s]:0.001247, H2H_time:0.000692, sync_time:0.000555
iteration:6, F2F_time[s]:0.001314, H2H_time:0.000679, sync_time:0.000635
iteration:7, F2F_time[s]:0.001316, H2H_time:0.000736, sync_time:0.000580
iteration:8, F2F_time[s]:0.001304, H2H_time:0.000667, sync_time:0.000637
iteration:9, F2F_time[s]:0.001256, H2H_time:0.000678, sync_time:0.000578
iteration:10, F2F_time[s]:0.001309, H2H_time:0.000725, sync_time:0.000584
iteration:11, F2F_time[s]:0.001366, H2H_time:0.000708, sync_time:0.000658
iteration:12, F2F_time[s]:0.001250, H2H_time:0.000666, sync_time:0.000584
iteration:13, F2F_time[s]:0.001270, H2H_time:0.000689, sync_time:0.000581
iteration:14, F2F_time[s]:0.001352, H2H_time:0.000766, sync_time:0.000586
iteration:15, F2F_time[s]:0.001292, H2H_time:0.000713, sync_time:0.000579
iteration:16, F2F_time[s]:0.001352, H2H_time:0.000769, sync_time:0.000584
iteration:17, F2F_time[s]:0.001336, H2H_time:0.000748, sync_time:0.000588
iteration:18, F2F_time[s]:0.001256, H2H_time:0.000662, sync_time:0.000594
iteration:19, F2F_time[s]:0.001278, H2H_time:0.000707, sync_time:0.000570
iteration:20, F2F_time[s]:0.001277, H2H_time:0.000676, sync_time:0.000601
iteration:21, F2F_time[s]:0.001168, H2H_time:0.000616, sync_time:0.000552
iteration:22, F2F_time[s]:0.001165, H2H_time:0.000579, sync_time:0.000586
iteration:23, F2F_time[s]:0.001370, H2H_time:0.000710, sync_time:0.000660
iteration:24, F2F_time[s]:0.001241, H2H_time:0.000660, sync_time:0.000581
iteration:25, F2F_time[s]:0.001304, H2H_time:0.000704, sync_time:0.000600
iteration:26, F2F_time[s]:0.001339, H2H_time:0.000709, sync_time:0.000630
iteration:27, F2F_time[s]:0.001172, H2H_time:0.000592, sync_time:0.000581
iteration:28, F2F_time[s]:0.001209, H2H_time:0.000622, sync_time:0.000587
iteration:29, F2F_time[s]:0.001263, H2H_time:0.000623, sync_time:0.000640
iteration:30, F2F_time[s]:0.001239, H2H_time:0.000625, sync_time:0.000614
iteration:31, F2F_time[s]:0.001253, H2H_time:0.000625, sync_time:0.000627
iteration:32, F2F_time[s]:0.001212, H2H_time:0.000665, sync_time:0.000547
iteration:33, F2F_time[s]:0.001275, H2H_time:0.000685, sync_time:0.000590
iteration:34, F2F_time[s]:0.001217, H2H_time:0.000605, sync_time:0.000612
iteration:35, F2F_time[s]:0.001177, H2H_time:0.000619, sync_time:0.000557
iteration:36, F2F_time[s]:0.001210, H2H_time:0.000620, sync_time:0.000590
iteration:37, F2F_time[s]:0.001322, H2H_time:0.000678, sync_time:0.000644
iteration:38, F2F_time[s]:0.001285, H2H_time:0.000696, sync_time:0.000589
iteration:39, F2F_time[s]:0.001258, H2H_time:0.000642, sync_time:0.000617
iteration:40, F2F_time[s]:0.001390, H2H_time:0.000719, sync_time:0.000672
iteration:41, F2F_time[s]:0.001231, H2H_time:0.000649, sync_time:0.000581
iteration:42, F2F_time[s]:0.001240, H2H_time:0.000655, sync_time:0.000585
iteration:43, F2F_time[s]:0.001250, H2H_time:0.000666, sync_time:0.000584
iteration:44, F2F_time[s]:0.001229, H2H_time:0.000633, sync_time:0.000596
iteration:45, F2F_time[s]:0.001236, H2H_time:0.000643, sync_time:0.000593
