XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4c
alveo1a
alveo2b
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:524288, num_elements:131072, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start All-gather test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
iteration:0, F2F_time[s]:0.002847, H2H_time:0.001962, sync_time:0.000885
iteration:1, F2F_time[s]:0.001773, H2H_time:0.001094, sync_time:0.000679
iteration:2, F2F_time[s]:0.001673, H2H_time:0.001123, sync_time:0.000550
iteration:3, F2F_time[s]:0.001721, H2H_time:0.001039, sync_time:0.000682
iteration:4, F2F_time[s]:0.001479, H2H_time:0.000919, sync_time:0.000560
iteration:5, F2F_time[s]:0.001779, H2H_time:0.001024, sync_time:0.000755
iteration:6, F2F_time[s]:0.001644, H2H_time:0.000950, sync_time:0.000694
iteration:7, F2F_time[s]:0.001421, H2H_time:0.000807, sync_time:0.000614
iteration:8, F2F_time[s]:0.001459, H2H_time:0.000915, sync_time:0.000544
iteration:9, F2F_time[s]:0.001638, H2H_time:0.000952, sync_time:0.000686
iteration:10, F2F_time[s]:0.001386, H2H_time:0.000794, sync_time:0.000592
iteration:11, F2F_time[s]:0.001485, H2H_time:0.000811, sync_time:0.000675
iteration:12, F2F_time[s]:0.001350, H2H_time:0.000790, sync_time:0.000560
iteration:13, F2F_time[s]:0.001484, H2H_time:0.000787, sync_time:0.000697
iteration:14, F2F_time[s]:0.001379, H2H_time:0.000800, sync_time:0.000580
iteration:15, F2F_time[s]:0.001426, H2H_time:0.000838, sync_time:0.000587
iteration:16, F2F_time[s]:0.001524, H2H_time:0.000850, sync_time:0.000674
iteration:17, F2F_time[s]:0.001489, H2H_time:0.000794, sync_time:0.000695
iteration:18, F2F_time[s]:0.001356, H2H_time:0.000779, sync_time:0.000577
iteration:19, F2F_time[s]:0.001322, H2H_time:0.000723, sync_time:0.000598
iteration:20, F2F_time[s]:0.001272, H2H_time:0.000672, sync_time:0.000600
iteration:21, F2F_time[s]:0.001360, H2H_time:0.000732, sync_time:0.000628
iteration:22, F2F_time[s]:0.001407, H2H_time:0.000763, sync_time:0.000644
iteration:23, F2F_time[s]:0.001461, H2H_time:0.000879, sync_time:0.000583
iteration:24, F2F_time[s]:0.001255, H2H_time:0.000679, sync_time:0.000576
iteration:25, F2F_time[s]:0.001278, H2H_time:0.000718, sync_time:0.000560
iteration:26, F2F_time[s]:0.001229, H2H_time:0.000671, sync_time:0.000557
iteration:27, F2F_time[s]:0.001279, H2H_time:0.000714, sync_time:0.000565
iteration:28, F2F_time[s]:0.001278, H2H_time:0.000693, sync_time:0.000584
iteration:29, F2F_time[s]:0.001271, H2H_time:0.000697, sync_time:0.000574
iteration:30, F2F_time[s]:0.001352, H2H_time:0.000711, sync_time:0.000640
iteration:31, F2F_time[s]:0.001619, H2H_time:0.000790, sync_time:0.000829
iteration:32, F2F_time[s]:0.001291, H2H_time:0.000695, sync_time:0.000596
iteration:33, F2F_time[s]:0.001295, H2H_time:0.000663, sync_time:0.000632
iteration:34, F2F_time[s]:0.001344, H2H_time:0.000708, sync_time:0.000636
iteration:35, F2F_time[s]:0.001349, H2H_time:0.000752, sync_time:0.000597
iteration:36, F2F_time[s]:0.001232, H2H_time:0.000662, sync_time:0.000569
iteration:37, F2F_time[s]:0.001336, H2H_time:0.000757, sync_time:0.000578
iteration:38, F2F_time[s]:0.001264, H2H_time:0.000695, sync_time:0.000569
iteration:39, F2F_time[s]:0.001326, H2H_time:0.000721, sync_time:0.000605
iteration:40, F2F_time[s]:0.001311, H2H_time:0.000685, sync_time:0.000626
iteration:41, F2F_time[s]:0.001238, H2H_time:0.000667, sync_time:0.000571
iteration:42, F2F_time[s]:0.001317, H2H_time:0.000740, sync_time:0.000577
iteration:43, F2F_time[s]:0.001221, H2H_time:0.000719, sync_time:0.000502
iteration:44, F2F_time[s]:0.001285, H2H_time:0.000695, sync_time:0.000590
iteration:45, F2F_time[s]:0.001262, H2H_time:0.000682, sync_time:0.000580
iteration:46, F2F_time[s]:0.001296, H2H_time:0.000747, sync_time:0.000548
iteration:47, F2F_time[s]:0.001342, H2H_time:0.000806, sync_time:0.000536
iteration:48, F2F_time[s]:0.001338, H2H_time:0.000721, sync_time:0.000617
iteration:49, F2F_time[s]:0.001290, H2H_time:0.000740, sync_time:0.000549
iteration:50, F2F_time[s]:0.001239, H2H_time:0.000714, sync_time:0.000525
iteration:51, F2F_time[s]:0.001333, H2H_time:0.000784, sync_time:0.000549
iteration:52, F2F_time[s]:0.001306, H2H_time:0.000737, sync_time:0.000569
iteration:53, F2F_time[s]:0.001232, H2H_time:0.000683, sync_time:0.000549
iteration:54, F2F_time[s]:0.001310, H2H_time:0.000773, sync_time:0.000537
iteration:55, F2F_time[s]:0.001212, H2H_time:0.000701, sync_time:0.000511
iteration:56, F2F_time[s]:0.001244, H2H_time:0.000697, sync_time:0.000546
iteration:57, F2F_time[s]:0.001396, H2H_time:0.000779, sync_time:0.000617
iteration:58, F2F_time[s]:0.001261, H2H_time:0.000698, sync_time:0.000563
iteration:59, F2F_time[s]:0.001263, H2H_time:0.000702, sync_time:0.000561
iteration:60, F2F_time[s]:0.001178, H2H_time:0.000687, sync_time:0.000491
iteration:61, F2F_time[s]:0.001316, H2H_time:0.000736, sync_time:0.000580
iteration:62, F2F_time[s]:0.001490, H2H_time:0.000888, sync_time:0.000602
iteration:63, F2F_time[s]:0.001308, H2H_time:0.000757, sync_time:0.000551
iteration:64, F2F_time[s]:0.001300, H2H_time:0.000721, sync_time:0.000580
iteration:65, F2F_time[s]:0.001310, H2H_time:0.000738, sync_time:0.000572
iteration:66, F2F_time[s]:0.001237, H2H_time:0.000682, sync_time:0.000556
iteration:67, F2F_time[s]:0.001254, H2H_time:0.000700, sync_time:0.000554
iteration:68, F2F_time[s]:0.001415, H2H_time:0.000826, sync_time:0.000589
iteration:69, F2F_time[s]:0.001297, H2H_time:0.000718, sync_time:0.000579
iteration:70, F2F_time[s]:0.001302, H2H_time:0.000725, sync_time:0.000577
iteration:71, F2F_time[s]:0.001461, H2H_time:0.000898, sync_time:0.000563
iteration:72, F2F_time[s]:0.001407, H2H_time:0.000862, sync_time:0.000545
iteration:73, F2F_time[s]:0.001463, H2H_time:0.000914, sync_time:0.000548
iteration:74, F2F_time[s]:0.001171, H2H_time:0.000683, sync_time:0.000488
iteration:75, F2F_time[s]:0.001430, H2H_time:0.000851, sync_time:0.000580
iteration:76, F2F_time[s]:0.001284, H2H_time:0.000712, sync_time:0.000573
iteration:77, F2F_time[s]:0.001467, H2H_time:0.000912, sync_time:0.000555
iteration:78, F2F_time[s]:0.001359, H2H_time:0.000730, sync_time:0.000629
iteration:79, F2F_time[s]:0.001652, H2H_time:0.001005, sync_time:0.000647
iteration:80, F2F_time[s]:0.001259, H2H_time:0.000647, sync_time:0.000612
iteration:81, F2F_time[s]:0.001552, H2H_time:0.000935, sync_time:0.000617
iteration:82, F2F_time[s]:0.001409, H2H_time:0.000710, sync_time:0.000700
iteration:83, F2F_time[s]:0.001776, H2H_time:0.000917, sync_time:0.000859
iteration:84, F2F_time[s]:0.001482, H2H_time:0.000754, sync_time:0.000727
iteration:85, F2F_time[s]:0.001354, H2H_time:0.000722, sync_time:0.000632
iteration:86, F2F_time[s]:0.001639, H2H_time:0.000917, sync_time:0.000722
iteration:87, F2F_time[s]:0.001563, H2H_time:0.000890, sync_time:0.000673
iteration:88, F2F_time[s]:0.001391, H2H_time:0.000724, sync_time:0.000667
iteration:89, F2F_time[s]:0.001678, H2H_time:0.000981, sync_time:0.000697
iteration:90, F2F_time[s]:0.001509, H2H_time:0.000843, sync_time:0.000665
iteration:91, F2F_time[s]:0.001522, H2H_time:0.000882, sync_time:0.000640
iteration:92, F2F_time[s]:0.001299, H2H_time:0.000710, sync_time:0.000590
iteration:93, F2F_time[s]:0.001517, H2H_time:0.000901, sync_time:0.000616
iteration:94, F2F_time[s]:0.001511, H2H_time:0.000853, sync_time:0.000658
iteration:95, F2F_time[s]:0.001571, H2H_time:0.000904, sync_time:0.000667
iteration:96, F2F_time[s]:0.001486, H2H_time:0.000875, sync_time:0.000612
