XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3c
alveo4b
alveo3b
alveo2a
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:65536, num_elements:16384, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:65536, num_elements:16384, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:65536, num_elements:16384, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:65536, num_elements:16384, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:65536, num_elements:16384, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:65536, num_elements:16384, num_trials:200
Start All-gather test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:65536, num_elements:16384, num_trials:200
iteration:0, F2F_time[s]:0.001847, H2H_time:0.001215, sync_time:0.000632
iteration:1, F2F_time[s]:0.000605, H2H_time:0.000298, sync_time:0.000307
iteration:2, F2F_time[s]:0.000524, H2H_time:0.000236, sync_time:0.000288
iteration:3, F2F_time[s]:0.000522, H2H_time:0.000239, sync_time:0.000283
iteration:4, F2F_time[s]:0.000544, H2H_time:0.000246, sync_time:0.000298
iteration:5, F2F_time[s]:0.000532, H2H_time:0.000250, sync_time:0.000282
iteration:6, F2F_time[s]:0.000544, H2H_time:0.000257, sync_time:0.000287
iteration:7, F2F_time[s]:0.000751, H2H_time:0.000363, sync_time:0.000387
iteration:8, F2F_time[s]:0.000815, H2H_time:0.000386, sync_time:0.000430
iteration:9, F2F_time[s]:0.000784, H2H_time:0.000371, sync_time:0.000413
iteration:10, F2F_time[s]:0.000691, H2H_time:0.000330, sync_time:0.000361
iteration:11, F2F_time[s]:0.000759, H2H_time:0.000355, sync_time:0.000404
iteration:12, F2F_time[s]:0.000799, H2H_time:0.000375, sync_time:0.000424
iteration:13, F2F_time[s]:0.000725, H2H_time:0.000360, sync_time:0.000365
iteration:14, F2F_time[s]:0.000725, H2H_time:0.000325, sync_time:0.000400
iteration:15, F2F_time[s]:0.000783, H2H_time:0.000364, sync_time:0.000419
iteration:16, F2F_time[s]:0.000761, H2H_time:0.000366, sync_time:0.000395
iteration:17, F2F_time[s]:0.000767, H2H_time:0.000349, sync_time:0.000418
iteration:18, F2F_time[s]:0.000691, H2H_time:0.000343, sync_time:0.000348
iteration:19, F2F_time[s]:0.000734, H2H_time:0.000345, sync_time:0.000389
iteration:20, F2F_time[s]:0.000782, H2H_time:0.000355, sync_time:0.000427
iteration:21, F2F_time[s]:0.000780, H2H_time:0.000360, sync_time:0.000420
iteration:22, F2F_time[s]:0.000698, H2H_time:0.000329, sync_time:0.000368
iteration:23, F2F_time[s]:0.000744, H2H_time:0.000336, sync_time:0.000408
iteration:24, F2F_time[s]:0.000789, H2H_time:0.000374, sync_time:0.000415
iteration:25, F2F_time[s]:0.000780, H2H_time:0.000347, sync_time:0.000433
iteration:26, F2F_time[s]:0.000686, H2H_time:0.000325, sync_time:0.000360
iteration:27, F2F_time[s]:0.000670, H2H_time:0.000323, sync_time:0.000347
iteration:28, F2F_time[s]:0.000751, H2H_time:0.000341, sync_time:0.000410
iteration:29, F2F_time[s]:0.000796, H2H_time:0.000373, sync_time:0.000424
iteration:30, F2F_time[s]:0.000659, H2H_time:0.000316, sync_time:0.000343
iteration:31, F2F_time[s]:0.000681, H2H_time:0.000337, sync_time:0.000343
iteration:32, F2F_time[s]:0.000511, H2H_time:0.000228, sync_time:0.000283
iteration:33, F2F_time[s]:0.000507, H2H_time:0.000230, sync_time:0.000276
iteration:34, F2F_time[s]:0.000541, H2H_time:0.000232, sync_time:0.000310
iteration:35, F2F_time[s]:0.000544, H2H_time:0.000249, sync_time:0.000295
iteration:36, F2F_time[s]:0.000512, H2H_time:0.000231, sync_time:0.000281
iteration:37, F2F_time[s]:0.000531, H2H_time:0.000271, sync_time:0.000260
iteration:38, F2F_time[s]:0.000518, H2H_time:0.000221, sync_time:0.000297
iteration:39, F2F_time[s]:0.000468, H2H_time:0.000232, sync_time:0.000237
iteration:40, F2F_time[s]:0.000447, H2H_time:0.000245, sync_time:0.000202
iteration:41, F2F_time[s]:0.000476, H2H_time:0.000239, sync_time:0.000237
iteration:42, F2F_time[s]:0.000421, H2H_time:0.000224, sync_time:0.000197
iteration:43, F2F_time[s]:0.000483, H2H_time:0.000236, sync_time:0.000247
iteration:44, F2F_time[s]:0.000419, H2H_time:0.000218, sync_time:0.000202
iteration:45, F2F_time[s]:0.000466, H2H_time:0.000256, sync_time:0.000210
iteration:46, F2F_time[s]:0.000416, H2H_time:0.000223, sync_time:0.000193
iteration:47, F2F_time[s]:0.000442, H2H_time:0.000241, sync_time:0.000200
iteration:48, F2F_time[s]:0.000457, H2H_time:0.000257, sync_time:0.000201
iteration:49, F2F_time[s]:0.000429, H2H_time:0.000240, sync_time:0.000189
iteration:50, F2F_time[s]:0.000435, H2H_time:0.000230, sync_time:0.000205
iteration:51, F2F_time[s]:0.000441, H2H_time:0.000244, sync_time:0.000198
iteration:52, F2F_time[s]:0.000460, H2H_time:0.000254, sync_time:0.000206
iteration:53, F2F_time[s]:0.000425, H2H_time:0.000226, sync_time:0.000198
iteration:54, F2F_time[s]:0.000447, H2H_time:0.000241, sync_time:0.000206
iteration:55, F2F_time[s]:0.000462, H2H_time:0.000248, sync_time:0.000215
iteration:56, F2F_time[s]:0.000490, H2H_time:0.000236, sync_time:0.000254
iteration:57, F2F_time[s]:0.000407, H2H_time:0.000221, sync_time:0.000186
iteration:58, F2F_time[s]:0.000413, H2H_time:0.000218, sync_time:0.000195
iteration:59, F2F_time[s]:0.000407, H2H_time:0.000217, sync_time:0.000190
iteration:60, F2F_time[s]:0.000414, H2H_time:0.000222, sync_time:0.000193
iteration:61, F2F_time[s]:0.000416, H2H_time:0.000227, sync_time:0.000189
iteration:62, F2F_time[s]:0.000459, H2H_time:0.000206, sync_time:0.000253
iteration:63, F2F_time[s]:0.000433, H2H_time:0.000241, sync_time:0.000192
iteration:64, F2F_time[s]:0.000432, H2H_time:0.000237, sync_time:0.000195
iteration:65, F2F_time[s]:0.000425, H2H_time:0.000229, sync_time:0.000196
iteration:66, F2F_time[s]:0.000465, H2H_time:0.000219, sync_time:0.000246
iteration:67, F2F_time[s]:0.000443, H2H_time:0.000243, sync_time:0.000200
iteration:68, F2F_time[s]:0.000434, H2H_time:0.000245, sync_time:0.000190
iteration:69, F2F_time[s]:0.000438, H2H_time:0.000227, sync_time:0.000211
iteration:70, F2F_time[s]:0.000497, H2H_time:0.000225, sync_time:0.000272
iteration:71, F2F_time[s]:0.000493, H2H_time:0.000257, sync_time:0.000236
iteration:72, F2F_time[s]:0.000484, H2H_time:0.000244, sync_time:0.000241
iteration:73, F2F_time[s]:0.000467, H2H_time:0.000223, sync_time:0.000244
iteration:74, F2F_time[s]:0.000492, H2H_time:0.000207, sync_time:0.000286
iteration:75, F2F_time[s]:0.000479, H2H_time:0.000196, sync_time:0.000283
iteration:76, F2F_time[s]:0.000497, H2H_time:0.000225, sync_time:0.000273
iteration:77, F2F_time[s]:0.000632, H2H_time:0.000326, sync_time:0.000307
iteration:78, F2F_time[s]:0.000612, H2H_time:0.000302, sync_time:0.000310
iteration:79, F2F_time[s]:0.000563, H2H_time:0.000258, sync_time:0.000305
iteration:80, F2F_time[s]:0.000637, H2H_time:0.000328, sync_time:0.000308
iteration:81, F2F_time[s]:0.000641, H2H_time:0.000331, sync_time:0.000310
iteration:82, F2F_time[s]:0.000599, H2H_time:0.000298, sync_time:0.000301
iteration:83, F2F_time[s]:0.000625, H2H_time:0.000321, sync_time:0.000303
iteration:84, F2F_time[s]:0.000622, H2H_time:0.000322, sync_time:0.000301
iteration:85, F2F_time[s]:0.000622, H2H_time:0.000314, sync_time:0.000308
iteration:86, F2F_time[s]:0.000483, H2H_time:0.000241, sync_time:0.000241
