XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2b
alveo4c
alveo1a
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
Start All-gather test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
iteration:0, F2F_time[s]:0.011567, H2H_time:0.007595, sync_time:0.003972
iteration:1, F2F_time[s]:0.008596, H2H_time:0.004581, sync_time:0.004015
iteration:2, F2F_time[s]:0.009617, H2H_time:0.005584, sync_time:0.004033
iteration:3, F2F_time[s]:0.008807, H2H_time:0.004696, sync_time:0.004112
iteration:4, F2F_time[s]:0.008998, H2H_time:0.004858, sync_time:0.004140
iteration:5, F2F_time[s]:0.008473, H2H_time:0.004499, sync_time:0.003974
iteration:6, F2F_time[s]:0.009142, H2H_time:0.005064, sync_time:0.004079
iteration:7, F2F_time[s]:0.008449, H2H_time:0.004410, sync_time:0.004039
iteration:8, F2F_time[s]:0.008862, H2H_time:0.004606, sync_time:0.004256
iteration:9, F2F_time[s]:0.008816, H2H_time:0.004749, sync_time:0.004068
iteration:10, F2F_time[s]:0.008576, H2H_time:0.004464, sync_time:0.004112
iteration:11, F2F_time[s]:0.011654, H2H_time:0.007637, sync_time:0.004016
iteration:12, F2F_time[s]:0.008948, H2H_time:0.004795, sync_time:0.004153
iteration:13, F2F_time[s]:0.008691, H2H_time:0.004580, sync_time:0.004112
iteration:14, F2F_time[s]:0.008925, H2H_time:0.004770, sync_time:0.004155
iteration:15, F2F_time[s]:0.008972, H2H_time:0.004831, sync_time:0.004141
iteration:16, F2F_time[s]:0.008918, H2H_time:0.004835, sync_time:0.004083
iteration:17, F2F_time[s]:0.009109, H2H_time:0.005042, sync_time:0.004067
iteration:18, F2F_time[s]:0.008943, H2H_time:0.004761, sync_time:0.004182
iteration:19, F2F_time[s]:0.009027, H2H_time:0.004996, sync_time:0.004031
iteration:20, F2F_time[s]:0.008819, H2H_time:0.004760, sync_time:0.004059
iteration:21, F2F_time[s]:0.009756, H2H_time:0.005697, sync_time:0.004060
iteration:22, F2F_time[s]:0.008306, H2H_time:0.004216, sync_time:0.004090
iteration:23, F2F_time[s]:0.007517, H2H_time:0.003457, sync_time:0.004060
iteration:24, F2F_time[s]:0.007749, H2H_time:0.003603, sync_time:0.004146
iteration:25, F2F_time[s]:0.007465, H2H_time:0.003379, sync_time:0.004086
iteration:26, F2F_time[s]:0.007424, H2H_time:0.003307, sync_time:0.004118
iteration:27, F2F_time[s]:0.008055, H2H_time:0.003938, sync_time:0.004117
iteration:28, F2F_time[s]:0.007572, H2H_time:0.003493, sync_time:0.004079
iteration:29, F2F_time[s]:0.007546, H2H_time:0.003462, sync_time:0.004085
iteration:30, F2F_time[s]:0.007142, H2H_time:0.003188, sync_time:0.003954
iteration:31, F2F_time[s]:0.007422, H2H_time:0.003242, sync_time:0.004181
iteration:32, F2F_time[s]:0.007388, H2H_time:0.003357, sync_time:0.004030
iteration:33, F2F_time[s]:0.007520, H2H_time:0.003384, sync_time:0.004136
iteration:34, F2F_time[s]:0.007719, H2H_time:0.003533, sync_time:0.004186
iteration:35, F2F_time[s]:0.007989, H2H_time:0.003851, sync_time:0.004138
iteration:36, F2F_time[s]:0.007575, H2H_time:0.003476, sync_time:0.004099
iteration:37, F2F_time[s]:0.007333, H2H_time:0.003342, sync_time:0.003990
iteration:38, F2F_time[s]:0.008311, H2H_time:0.003768, sync_time:0.004544
iteration:39, F2F_time[s]:0.007013, H2H_time:0.002970, sync_time:0.004043
