XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo3b
alveo2a
alveo1a
alveo2b
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8192, num_elements:2048, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8192, num_elements:2048, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.001207, H2H_time:0.000722, sync_time:0.000485
iteration:1, F2F_time[s]:0.000521, H2H_time:0.000175, sync_time:0.000346
iteration:2, F2F_time[s]:0.000487, H2H_time:0.000174, sync_time:0.000313
iteration:3, F2F_time[s]:0.000418, H2H_time:0.000170, sync_time:0.000248
iteration:4, F2F_time[s]:0.000414, H2H_time:0.000164, sync_time:0.000250
iteration:5, F2F_time[s]:0.000443, H2H_time:0.000196, sync_time:0.000247
iteration:6, F2F_time[s]:0.000400, H2H_time:0.000155, sync_time:0.000245
iteration:7, F2F_time[s]:0.000449, H2H_time:0.000214, sync_time:0.000235
iteration:8, F2F_time[s]:0.000394, H2H_time:0.000153, sync_time:0.000241
iteration:9, F2F_time[s]:0.000434, H2H_time:0.000210, sync_time:0.000224
iteration:10, F2F_time[s]:0.000407, H2H_time:0.000153, sync_time:0.000253
iteration:11, F2F_time[s]:0.000454, H2H_time:0.000205, sync_time:0.000249
iteration:12, F2F_time[s]:0.000391, H2H_time:0.000141, sync_time:0.000250
iteration:13, F2F_time[s]:0.000551, H2H_time:0.000249, sync_time:0.000301
iteration:14, F2F_time[s]:0.000558, H2H_time:0.000271, sync_time:0.000287
iteration:15, F2F_time[s]:0.000571, H2H_time:0.000266, sync_time:0.000305
iteration:16, F2F_time[s]:0.000578, H2H_time:0.000272, sync_time:0.000305
iteration:17, F2F_time[s]:0.000551, H2H_time:0.000261, sync_time:0.000290
iteration:18, F2F_time[s]:0.000733, H2H_time:0.000277, sync_time:0.000457
iteration:19, F2F_time[s]:0.000576, H2H_time:0.000281, sync_time:0.000294
iteration:20, F2F_time[s]:0.000526, H2H_time:0.000253, sync_time:0.000273
iteration:21, F2F_time[s]:0.000554, H2H_time:0.000274, sync_time:0.000280
iteration:22, F2F_time[s]:0.000545, H2H_time:0.000256, sync_time:0.000289
iteration:23, F2F_time[s]:0.000512, H2H_time:0.000276, sync_time:0.000236
iteration:24, F2F_time[s]:0.000512, H2H_time:0.000282, sync_time:0.000231
iteration:25, F2F_time[s]:0.000504, H2H_time:0.000273, sync_time:0.000232
iteration:26, F2F_time[s]:0.000514, H2H_time:0.000289, sync_time:0.000226
iteration:27, F2F_time[s]:0.000486, H2H_time:0.000267, sync_time:0.000219
iteration:28, F2F_time[s]:0.000463, H2H_time:0.000241, sync_time:0.000222
iteration:29, F2F_time[s]:0.000498, H2H_time:0.000278, sync_time:0.000220
iteration:30, F2F_time[s]:0.000502, H2H_time:0.000199, sync_time:0.000303
iteration:31, F2F_time[s]:0.000454, H2H_time:0.000226, sync_time:0.000228
iteration:32, F2F_time[s]:0.000474, H2H_time:0.000216, sync_time:0.000258
iteration:33, F2F_time[s]:0.000487, H2H_time:0.000207, sync_time:0.000280
iteration:34, F2F_time[s]:0.000483, H2H_time:0.000201, sync_time:0.000282
iteration:35, F2F_time[s]:0.000430, H2H_time:0.000198, sync_time:0.000231
iteration:36, F2F_time[s]:0.000487, H2H_time:0.000212, sync_time:0.000275
iteration:37, F2F_time[s]:0.000545, H2H_time:0.000247, sync_time:0.000299
iteration:38, F2F_time[s]:0.000565, H2H_time:0.000273, sync_time:0.000292
iteration:39, F2F_time[s]:0.000533, H2H_time:0.000251, sync_time:0.000282
iteration:40, F2F_time[s]:0.000491, H2H_time:0.000230, sync_time:0.000261
iteration:41, F2F_time[s]:0.000554, H2H_time:0.000244, sync_time:0.000310
iteration:42, F2F_time[s]:0.000540, H2H_time:0.000232, sync_time:0.000309
iteration:43, F2F_time[s]:0.000554, H2H_time:0.000240, sync_time:0.000315
iteration:44, F2F_time[s]:0.000546, H2H_time:0.000255, sync_time:0.000291
iteration:45, F2F_time[s]:0.000521, H2H_time:0.000217, sync_time:0.000304
