XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo2a
alveo1a
alveo1b
alveo2b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.023732
iteration:1, time[s]:0.021184
iteration:2, time[s]:0.021589
iteration:3, time[s]:0.021996
iteration:4, time[s]:0.022999
iteration:5, time[s]:0.022386
iteration:6, time[s]:0.022805
iteration:7, time[s]:0.022547
iteration:8, time[s]:0.022724
iteration:9, time[s]:0.022362
iteration:10, time[s]:0.021930
iteration:11, time[s]:0.029580
iteration:12, time[s]:0.023200
iteration:13, time[s]:0.022188
iteration:14, time[s]:0.022572
iteration:15, time[s]:0.022242
iteration:16, time[s]:0.022162
iteration:17, time[s]:0.022427
iteration:18, time[s]:0.022259
iteration:19, time[s]:0.022248
iteration:20, time[s]:0.030788
iteration:21, time[s]:0.022690
iteration:22, time[s]:0.021967
iteration:23, time[s]:0.022298
iteration:24, time[s]:0.022120
iteration:25, time[s]:0.022787
iteration:26, time[s]:0.022240
iteration:27, time[s]:0.022014
iteration:28, time[s]:0.022306
iteration:29, time[s]:0.022849
iteration:30, time[s]:0.022114
iteration:31, time[s]:0.021958
iteration:32, time[s]:0.022590
iteration:33, time[s]:0.022752
iteration:34, time[s]:0.022097
iteration:35, time[s]:0.022287
iteration:36, time[s]:0.021974
iteration:37, time[s]:0.022014
iteration:38, time[s]:0.023068
iteration:39, time[s]:0.021999
iteration:40, time[s]:0.023147
iteration:41, time[s]:0.022955
iteration:42, time[s]:0.022667
iteration:43, time[s]:0.021805
iteration:44, time[s]:0.023235
iteration:45, time[s]:0.023539
iteration:46, time[s]:0.022129
iteration:47, time[s]:0.023593
iteration:48, time[s]:0.023668
iteration:49, time[s]:0.022306
iteration:50, time[s]:0.023175
iteration:51, time[s]:0.023521
iteration:52, time[s]:0.022598
iteration:53, time[s]:0.021966
iteration:54, time[s]:0.022893
iteration:55, time[s]:0.023155
iteration:56, time[s]:0.021956
iteration:57, time[s]:0.022117
iteration:58, time[s]:0.023546
iteration:59, time[s]:0.022401
iteration:60, time[s]:0.022355
iteration:61, time[s]:0.022173
iteration:62, time[s]:0.023468
iteration:63, time[s]:0.023131
iteration:64, time[s]:0.021977
iteration:65, time[s]:0.022238
iteration:66, time[s]:0.023126
iteration:67, time[s]:0.023493
iteration:68, time[s]:0.022717
iteration:69, time[s]:0.022567
iteration:70, time[s]:0.023629
iteration:71, time[s]:0.022072
iteration:72, time[s]:0.023473
iteration:73, time[s]:0.022629
iteration:74, time[s]:0.022621
iteration:75, time[s]:0.022006
iteration:76, time[s]:0.023106
iteration:77, time[s]:0.022387
iteration:78, time[s]:0.022030
iteration:79, time[s]:0.021704
iteration:80, time[s]:0.023152
iteration:81, time[s]:0.022495
iteration:82, time[s]:0.022617
iteration:83, time[s]:0.022342
iteration:84, time[s]:0.022699
iteration:85, time[s]:0.022987
iteration:86, time[s]:0.022443
iteration:87, time[s]:0.022127
iteration:88, time[s]:0.022586
iteration:89, time[s]:0.022788
iteration:90, time[s]:0.022900
iteration:91, time[s]:0.022588
iteration:92, time[s]:0.022163
iteration:93, time[s]:0.022569
iteration:94, time[s]:0.021662
iteration:95, time[s]:0.022119
iteration:96, time[s]:0.023294
iteration:97, time[s]:0.022660
iteration:98, time[s]:0.022284
iteration:99, time[s]:0.022831
iteration:100, time[s]:0.022894
iteration:101, time[s]:0.022285
iteration:102, time[s]:0.021963
iteration:103, time[s]:0.022335
iteration:104, time[s]:0.021927
iteration:105, time[s]:0.022406
iteration:106, time[s]:0.021454
iteration:107, time[s]:0.022090
iteration:108, time[s]:0.022516
iteration:109, time[s]:0.022180
iteration:110, time[s]:0.022007
iteration:111, time[s]:0.023010
iteration:112, time[s]:0.022535
iteration:113, time[s]:0.022470
iteration:114, time[s]:0.022439
iteration:115, time[s]:0.022403
iteration:116, time[s]:0.022764
iteration:117, time[s]:0.023061
iteration:118, time[s]:0.023107
iteration:119, time[s]:0.022856
iteration:120, time[s]:0.022398
iteration:121, time[s]:0.022503
iteration:122, time[s]:0.021820
iteration:123, time[s]:0.022681
iteration:124, time[s]:0.022730
iteration:125, time[s]:0.022254
iteration:126, time[s]:0.022680
iteration:127, time[s]:0.023001
iteration:128, time[s]:0.022734
iteration:129, time[s]:0.022803
iteration:130, time[s]:0.021897
iteration:131, time[s]:0.022836
iteration:132, time[s]:0.022725
iteration:133, time[s]:0.022216
iteration:134, time[s]:0.021997
iteration:135, time[s]:0.022574
iteration:136, time[s]:0.022841
iteration:137, time[s]:0.022214
iteration:138, time[s]:0.022614
iteration:139, time[s]:0.022078
iteration:140, time[s]:0.023142
iteration:141, time[s]:0.022702
iteration:142, time[s]:0.022185
iteration:143, time[s]:0.023065
iteration:144, time[s]:0.022456
iteration:145, time[s]:0.022618
iteration:146, time[s]:0.022985
iteration:147, time[s]:0.021745
iteration:148, time[s]:0.022115
iteration:149, time[s]:0.022286
iteration:150, time[s]:0.022882
iteration:151, time[s]:0.022631
iteration:152, time[s]:0.021925
iteration:153, time[s]:0.022540
iteration:154, time[s]:0.023126
iteration:155, time[s]:0.022395
iteration:156, time[s]:0.022782
iteration:157, time[s]:0.021372
iteration:158, time[s]:0.022102
iteration:159, time[s]:0.022291
iteration:160, time[s]:0.023231
iteration:161, time[s]:0.022085
iteration:162, time[s]:0.022871
iteration:163, time[s]:0.021954
iteration:164, time[s]:0.022388
iteration:165, time[s]:0.022353
iteration:166, time[s]:0.023336
iteration:167, time[s]:0.022082
iteration:168, time[s]:0.022392
iteration:169, time[s]:0.022458
