XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2b
alveo2a
alveo4b
alveo3b
alveo1b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.034587
iteration:1, time[s]:0.016543
iteration:2, time[s]:0.015541
iteration:3, time[s]:0.015739
iteration:4, time[s]:0.016386
iteration:5, time[s]:0.015805
iteration:6, time[s]:0.029969
iteration:7, time[s]:0.016236
iteration:8, time[s]:0.017265
iteration:9, time[s]:0.016025
iteration:10, time[s]:0.016081
iteration:11, time[s]:0.017338
iteration:12, time[s]:0.015970
iteration:13, time[s]:0.016446
iteration:14, time[s]:0.015655
iteration:15, time[s]:0.015744
iteration:16, time[s]:0.016109
iteration:17, time[s]:0.015338
iteration:18, time[s]:0.016508
iteration:19, time[s]:0.016660
iteration:20, time[s]:0.016158
iteration:21, time[s]:0.016183
iteration:22, time[s]:0.016049
iteration:23, time[s]:0.016149
iteration:24, time[s]:0.030462
iteration:25, time[s]:0.016154
iteration:26, time[s]:0.015956
iteration:27, time[s]:0.015365
iteration:28, time[s]:0.017225
iteration:29, time[s]:0.015743
iteration:30, time[s]:0.015811
iteration:31, time[s]:0.015595
iteration:32, time[s]:0.016112
iteration:33, time[s]:0.016872
iteration:34, time[s]:0.016436
iteration:35, time[s]:0.015755
iteration:36, time[s]:0.016724
iteration:37, time[s]:0.016427
iteration:38, time[s]:0.015427
iteration:39, time[s]:0.015804
iteration:40, time[s]:0.016129
iteration:41, time[s]:0.016960
iteration:42, time[s]:0.016001
iteration:43, time[s]:0.016450
iteration:44, time[s]:0.016798
iteration:45, time[s]:0.016204
iteration:46, time[s]:0.015934
iteration:47, time[s]:0.030198
iteration:48, time[s]:0.016274
iteration:49, time[s]:0.016274
iteration:50, time[s]:0.016449
iteration:51, time[s]:0.016301
iteration:52, time[s]:0.016025
iteration:53, time[s]:0.016262
iteration:54, time[s]:0.016272
iteration:55, time[s]:0.016250
iteration:56, time[s]:0.016583
iteration:57, time[s]:0.016369
iteration:58, time[s]:0.016396
iteration:59, time[s]:0.016880
iteration:60, time[s]:0.016660
iteration:61, time[s]:0.016377
iteration:62, time[s]:0.017120
iteration:63, time[s]:0.016681
iteration:64, time[s]:0.015699
iteration:65, time[s]:0.016894
iteration:66, time[s]:0.016064
iteration:67, time[s]:0.016051
iteration:68, time[s]:0.017195
iteration:69, time[s]:0.016132
iteration:70, time[s]:0.015619
iteration:71, time[s]:0.016090
iteration:72, time[s]:0.016139
iteration:73, time[s]:0.016517
iteration:74, time[s]:0.016586
iteration:75, time[s]:0.016149
iteration:76, time[s]:0.015625
iteration:77, time[s]:0.016149
iteration:78, time[s]:0.016224
iteration:79, time[s]:0.016727
iteration:80, time[s]:0.015727
iteration:81, time[s]:0.016703
iteration:82, time[s]:0.016034
iteration:83, time[s]:0.016091
iteration:84, time[s]:0.015983
iteration:85, time[s]:0.016363
iteration:86, time[s]:0.015815
iteration:87, time[s]:0.016799
iteration:88, time[s]:0.016237
iteration:89, time[s]:0.027842
iteration:90, time[s]:0.019961
iteration:91, time[s]:0.015688
iteration:92, time[s]:0.015791
iteration:93, time[s]:0.016126
iteration:94, time[s]:0.017472
iteration:95, time[s]:0.016052
iteration:96, time[s]:0.015998
iteration:97, time[s]:0.015835
iteration:98, time[s]:0.015368
iteration:99, time[s]:0.016391
iteration:100, time[s]:0.015636
iteration:101, time[s]:0.016300
iteration:102, time[s]:0.015838
iteration:103, time[s]:0.016022
iteration:104, time[s]:0.016067
iteration:105, time[s]:0.015635
iteration:106, time[s]:0.016118
iteration:107, time[s]:0.015715
iteration:108, time[s]:0.015621
iteration:109, time[s]:0.016136
iteration:110, time[s]:0.016196
iteration:111, time[s]:0.015846
iteration:112, time[s]:0.016891
iteration:113, time[s]:0.016524
iteration:114, time[s]:0.016432
iteration:115, time[s]:0.016430
iteration:116, time[s]:0.015983
iteration:117, time[s]:0.016263
iteration:118, time[s]:0.016155
iteration:119, time[s]:0.015858
iteration:120, time[s]:0.016321
iteration:121, time[s]:0.016240
iteration:122, time[s]:0.015683
iteration:123, time[s]:0.016117
iteration:124, time[s]:0.016027
iteration:125, time[s]:0.016538
iteration:126, time[s]:0.016292
iteration:127, time[s]:0.015757
iteration:128, time[s]:0.016771
iteration:129, time[s]:0.015523
iteration:130, time[s]:0.016082
iteration:131, time[s]:0.015684
iteration:132, time[s]:0.015582
iteration:133, time[s]:0.016132
iteration:134, time[s]:0.016480
iteration:135, time[s]:0.016056
iteration:136, time[s]:0.017403
iteration:137, time[s]:0.015944
iteration:138, time[s]:0.016389
iteration:139, time[s]:0.017255
iteration:140, time[s]:0.016809
iteration:141, time[s]:0.015973
iteration:142, time[s]:0.016842
iteration:143, time[s]:0.016151
iteration:144, time[s]:0.015985
iteration:145, time[s]:0.017390
iteration:146, time[s]:0.015648
iteration:147, time[s]:0.016215
iteration:148, time[s]:0.016672
iteration:149, time[s]:0.016114
iteration:150, time[s]:0.016959
iteration:151, time[s]:0.016552
iteration:152, time[s]:0.016184
iteration:153, time[s]:0.016682
iteration:154, time[s]:0.016029
iteration:155, time[s]:0.015930
iteration:156, time[s]:0.016948
iteration:157, time[s]:0.016141
iteration:158, time[s]:0.015890
iteration:159, time[s]:0.017346
iteration:160, time[s]:0.016128
iteration:161, time[s]:0.015804
iteration:162, time[s]:0.017137
iteration:163, time[s]:0.015875
iteration:164, time[s]:0.016219
iteration:165, time[s]:0.015696
iteration:166, time[s]:0.016128
iteration:167, time[s]:0.015606
iteration:168, time[s]:0.016287
iteration:169, time[s]:0.016317
iteration:170, time[s]:0.017180
iteration:171, time[s]:0.016583
iteration:172, time[s]:0.016606
iteration:173, time[s]:0.016968
iteration:174, time[s]:0.015601
iteration:175, time[s]:0.015798
iteration:176, time[s]:0.016662
iteration:177, time[s]:0.015905
iteration:178, time[s]:0.016319
iteration:179, time[s]:0.016109
iteration:180, time[s]:0.016122
iteration:181, time[s]:0.016440
iteration:182, time[s]:0.016465
iteration:183, time[s]:0.016451
iteration:184, time[s]:0.017322
iteration:185, time[s]:0.015981
iteration:186, time[s]:0.016625
iteration:187, time[s]:0.016793
iteration:188, time[s]:0.015651
iteration:189, time[s]:0.016244
iteration:190, time[s]:0.015800
