XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1b
alveo3b
alveo1a
alveo2a
alveo2b
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:2097152, num_elements:524288, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:100
Start All-gather test:
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:100
iteration:0, time[s]:0.006457
iteration:1, time[s]:0.004575
iteration:2, time[s]:0.003163
iteration:3, time[s]:0.002534
iteration:4, time[s]:0.002721
iteration:5, time[s]:0.002405
iteration:6, time[s]:0.002625
iteration:7, time[s]:0.002238
iteration:8, time[s]:0.002343
iteration:9, time[s]:0.002189
iteration:10, time[s]:0.002422
iteration:11, time[s]:0.002314
iteration:12, time[s]:0.002602
iteration:13, time[s]:0.002875
iteration:14, time[s]:0.002686
iteration:15, time[s]:0.002480
iteration:16, time[s]:0.002450
iteration:17, time[s]:0.002393
iteration:18, time[s]:0.002572
iteration:19, time[s]:0.002369
iteration:20, time[s]:0.002299
iteration:21, time[s]:0.002096
iteration:22, time[s]:0.002291
iteration:23, time[s]:0.002283
iteration:24, time[s]:0.002100
iteration:25, time[s]:0.002351
iteration:26, time[s]:0.002282
iteration:27, time[s]:0.002507
iteration:28, time[s]:0.002182
iteration:29, time[s]:0.002383
iteration:30, time[s]:0.002176
iteration:31, time[s]:0.002191
iteration:32, time[s]:0.002163
iteration:33, time[s]:0.002190
iteration:34, time[s]:0.002250
iteration:35, time[s]:0.001950
iteration:36, time[s]:0.002237
iteration:37, time[s]:0.002196
iteration:38, time[s]:0.002216
iteration:39, time[s]:0.002185
iteration:40, time[s]:0.002200
iteration:41, time[s]:0.002283
iteration:42, time[s]:0.002305
iteration:43, time[s]:0.002040
iteration:44, time[s]:0.002074
iteration:45, time[s]:0.002279
iteration:46, time[s]:0.002212
iteration:47, time[s]:0.002075
iteration:48, time[s]:0.002238
iteration:49, time[s]:0.002064
iteration:50, time[s]:0.002061
iteration:51, time[s]:0.002223
iteration:52, time[s]:0.002302
iteration:53, time[s]:0.002374
iteration:54, time[s]:0.002303
iteration:55, time[s]:0.002368
iteration:56, time[s]:0.002187
iteration:57, time[s]:0.002292
iteration:58, time[s]:0.002284
iteration:59, time[s]:0.002175
iteration:60, time[s]:0.002176
iteration:61, time[s]:0.002178
iteration:62, time[s]:0.002159
iteration:63, time[s]:0.002180
iteration:64, time[s]:0.002220
iteration:65, time[s]:0.002329
iteration:66, time[s]:0.002187
iteration:67, time[s]:0.002352
iteration:68, time[s]:0.002156
iteration:69, time[s]:0.002370
iteration:70, time[s]:0.002325
iteration:71, time[s]:0.002173
iteration:72, time[s]:0.002447
iteration:73, time[s]:0.002201
iteration:74, time[s]:0.002056
iteration:75, time[s]:0.002159
iteration:76, time[s]:0.002115
iteration:77, time[s]:0.002190
iteration:78, time[s]:0.002154
iteration:79, time[s]:0.002342
iteration:80, time[s]:0.002296
iteration:81, time[s]:0.002217
iteration:82, time[s]:0.002365
iteration:83, time[s]:0.002434
iteration:84, time[s]:0.002420
iteration:85, time[s]:0.002236
iteration:86, time[s]:0.002280
iteration:87, time[s]:0.002096
iteration:88, time[s]:0.001958
iteration:89, time[s]:0.002249
iteration:90, time[s]:0.002262
iteration:91, time[s]:0.001987
iteration:92, time[s]:0.002145
iteration:93, time[s]:0.002083
iteration:94, time[s]:0.001988
iteration:95, time[s]:0.002068
iteration:96, time[s]:0.002077
iteration:97, time[s]:0.002035
iteration:98, time[s]:0.001955
iteration:99, time[s]:0.001951
iteration:100, time[s]:0.002060
Data size = 2097152, Trials = 100
Avg MPI time [us]= *2284.568090, throughput [Gbps] = 7.343715
