XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo4b
alveo3c
alveo2b
alveo1a
alveo2a
alveo1b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:131072, num_elements:32768, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:131072, num_elements:32768, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start All-gather test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.001443, H2H_time:0.000996, sync_time:0.000447
iteration:1, F2F_time[s]:0.000907, H2H_time:0.000485, sync_time:0.000421
iteration:2, F2F_time[s]:0.000933, H2H_time:0.000619, sync_time:0.000315
iteration:3, F2F_time[s]:0.001012, H2H_time:0.000585, sync_time:0.000426
iteration:4, F2F_time[s]:0.000762, H2H_time:0.000421, sync_time:0.000341
iteration:5, F2F_time[s]:0.000724, H2H_time:0.000484, sync_time:0.000240
iteration:6, F2F_time[s]:0.000834, H2H_time:0.000553, sync_time:0.000282
iteration:7, F2F_time[s]:0.000792, H2H_time:0.000502, sync_time:0.000291
iteration:8, F2F_time[s]:0.000751, H2H_time:0.000492, sync_time:0.000258
iteration:9, F2F_time[s]:0.000803, H2H_time:0.000522, sync_time:0.000281
iteration:10, F2F_time[s]:0.000757, H2H_time:0.000481, sync_time:0.000276
iteration:11, F2F_time[s]:0.000679, H2H_time:0.000472, sync_time:0.000207
iteration:12, F2F_time[s]:0.000719, H2H_time:0.000465, sync_time:0.000254
iteration:13, F2F_time[s]:0.000707, H2H_time:0.000406, sync_time:0.000301
iteration:14, F2F_time[s]:0.000642, H2H_time:0.000338, sync_time:0.000304
iteration:15, F2F_time[s]:0.000666, H2H_time:0.000360, sync_time:0.000306
iteration:16, F2F_time[s]:0.000643, H2H_time:0.000345, sync_time:0.000298
iteration:17, F2F_time[s]:0.000820, H2H_time:0.000570, sync_time:0.000249
iteration:18, F2F_time[s]:0.000772, H2H_time:0.000398, sync_time:0.000375
iteration:19, F2F_time[s]:0.000911, H2H_time:0.000527, sync_time:0.000383
iteration:20, F2F_time[s]:0.000846, H2H_time:0.000516, sync_time:0.000330
iteration:21, F2F_time[s]:0.000749, H2H_time:0.000490, sync_time:0.000259
iteration:22, F2F_time[s]:0.000726, H2H_time:0.000401, sync_time:0.000325
iteration:23, F2F_time[s]:0.000817, H2H_time:0.000359, sync_time:0.000459
iteration:24, F2F_time[s]:0.000735, H2H_time:0.000418, sync_time:0.000318
iteration:25, F2F_time[s]:0.000739, H2H_time:0.000495, sync_time:0.000244
iteration:26, F2F_time[s]:0.000604, H2H_time:0.000335, sync_time:0.000269
iteration:27, F2F_time[s]:0.000669, H2H_time:0.000402, sync_time:0.000267
iteration:28, F2F_time[s]:0.000687, H2H_time:0.000445, sync_time:0.000242
iteration:29, F2F_time[s]:0.000709, H2H_time:0.000430, sync_time:0.000279
iteration:30, F2F_time[s]:0.000698, H2H_time:0.000366, sync_time:0.000332
iteration:31, F2F_time[s]:0.000755, H2H_time:0.000456, sync_time:0.000299
iteration:32, F2F_time[s]:0.000750, H2H_time:0.000450, sync_time:0.000300
iteration:33, F2F_time[s]:0.000829, H2H_time:0.000450, sync_time:0.000378
iteration:34, F2F_time[s]:0.000722, H2H_time:0.000500, sync_time:0.000222
iteration:35, F2F_time[s]:0.000668, H2H_time:0.000406, sync_time:0.000262
iteration:36, F2F_time[s]:0.000764, H2H_time:0.000440, sync_time:0.000324
iteration:37, F2F_time[s]:0.000705, H2H_time:0.000458, sync_time:0.000247
iteration:38, F2F_time[s]:0.000734, H2H_time:0.000415, sync_time:0.000319
iteration:39, F2F_time[s]:0.000763, H2H_time:0.000499, sync_time:0.000264
iteration:40, F2F_time[s]:0.000742, H2H_time:0.000467, sync_time:0.000275
iteration:41, F2F_time[s]:0.000714, H2H_time:0.000405, sync_time:0.000309
iteration:42, F2F_time[s]:0.000644, H2H_time:0.000444, sync_time:0.000201
iteration:43, F2F_time[s]:0.000675, H2H_time:0.000410, sync_time:0.000265
iteration:44, F2F_time[s]:0.000642, H2H_time:0.000387, sync_time:0.000255
iteration:45, F2F_time[s]:0.000765, H2H_time:0.000468, sync_time:0.000298
iteration:46, F2F_time[s]:0.000657, H2H_time:0.000344, sync_time:0.000313
iteration:47, F2F_time[s]:0.000732, H2H_time:0.000452, sync_time:0.000280
iteration:48, F2F_time[s]:0.000754, H2H_time:0.000414, sync_time:0.000340
iteration:49, F2F_time[s]:0.000664, H2H_time:0.000399, sync_time:0.000265
iteration:50, F2F_time[s]:0.000663, H2H_time:0.000421, sync_time:0.000242
iteration:51, F2F_time[s]:0.000670, H2H_time:0.000451, sync_time:0.000219
iteration:52, F2F_time[s]:0.000643, H2H_time:0.000377, sync_time:0.000266
iteration:53, F2F_time[s]:0.000771, H2H_time:0.000524, sync_time:0.000247
iteration:54, F2F_time[s]:0.000718, H2H_time:0.000410, sync_time:0.000308
iteration:55, F2F_time[s]:0.000789, H2H_time:0.000563, sync_time:0.000226
iteration:56, F2F_time[s]:0.000703, H2H_time:0.000406, sync_time:0.000297
iteration:57, F2F_time[s]:0.000673, H2H_time:0.000414, sync_time:0.000259
iteration:58, F2F_time[s]:0.000691, H2H_time:0.000392, sync_time:0.000299
iteration:59, F2F_time[s]:0.000743, H2H_time:0.000469, sync_time:0.000274
iteration:60, F2F_time[s]:0.000720, H2H_time:0.000430, sync_time:0.000289
iteration:61, F2F_time[s]:0.000818, H2H_time:0.000472, sync_time:0.000346
iteration:62, F2F_time[s]:0.000701, H2H_time:0.000424, sync_time:0.000277
iteration:63, F2F_time[s]:0.000837, H2H_time:0.000468, sync_time:0.000369
