XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
iteration:0, F2F_time[s]:0.025578, H2H_time:0.018437, sync_time:0.007141
iteration:1, F2F_time[s]:0.022285, H2H_time:0.015174, sync_time:0.007110
iteration:2, F2F_time[s]:0.021818, H2H_time:0.014784, sync_time:0.007034
iteration:3, F2F_time[s]:0.022074, H2H_time:0.014944, sync_time:0.007131
iteration:4, F2F_time[s]:0.021681, H2H_time:0.014606, sync_time:0.007075
iteration:5, F2F_time[s]:0.021768, H2H_time:0.014651, sync_time:0.007117
iteration:6, F2F_time[s]:0.021438, H2H_time:0.014344, sync_time:0.007094
iteration:7, F2F_time[s]:0.021387, H2H_time:0.014306, sync_time:0.007080
iteration:8, F2F_time[s]:0.021403, H2H_time:0.014283, sync_time:0.007120
iteration:9, F2F_time[s]:0.022229, H2H_time:0.015088, sync_time:0.007141
iteration:10, F2F_time[s]:0.022334, H2H_time:0.015217, sync_time:0.007117
iteration:11, F2F_time[s]:0.021372, H2H_time:0.014248, sync_time:0.007123
iteration:12, F2F_time[s]:0.022050, H2H_time:0.014941, sync_time:0.007110
iteration:13, F2F_time[s]:0.022204, H2H_time:0.015211, sync_time:0.006993
iteration:14, F2F_time[s]:0.022286, H2H_time:0.015168, sync_time:0.007118
iteration:15, F2F_time[s]:0.021943, H2H_time:0.014878, sync_time:0.007065
iteration:16, F2F_time[s]:0.021981, H2H_time:0.014917, sync_time:0.007064
iteration:17, F2F_time[s]:0.022711, H2H_time:0.015596, sync_time:0.007114
iteration:18, F2F_time[s]:0.022329, H2H_time:0.015219, sync_time:0.007110
iteration:19, F2F_time[s]:0.022595, H2H_time:0.015543, sync_time:0.007053
iteration:20, F2F_time[s]:0.022729, H2H_time:0.015676, sync_time:0.007053
iteration:21, F2F_time[s]:0.022097, H2H_time:0.015020, sync_time:0.007077
iteration:22, F2F_time[s]:0.022260, H2H_time:0.015189, sync_time:0.007071
iteration:23, F2F_time[s]:0.022460, H2H_time:0.015414, sync_time:0.007047
iteration:24, F2F_time[s]:0.022526, H2H_time:0.015424, sync_time:0.007102
iteration:25, F2F_time[s]:0.022384, H2H_time:0.015320, sync_time:0.007064
iteration:26, F2F_time[s]:0.022331, H2H_time:0.015215, sync_time:0.007115
iteration:27, F2F_time[s]:0.022425, H2H_time:0.015330, sync_time:0.007095
iteration:28, F2F_time[s]:0.022889, H2H_time:0.015796, sync_time:0.007092
iteration:29, F2F_time[s]:0.022386, H2H_time:0.015271, sync_time:0.007114
iteration:30, F2F_time[s]:0.022148, H2H_time:0.015138, sync_time:0.007011
iteration:31, F2F_time[s]:0.022263, H2H_time:0.015156, sync_time:0.007107
iteration:32, F2F_time[s]:0.022364, H2H_time:0.015285, sync_time:0.007079
iteration:33, F2F_time[s]:0.022378, H2H_time:0.015292, sync_time:0.007086
