XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo1a
alveo2b
alveo2a
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.030621, H2H_time:0.023525, sync_time:0.007096
iteration:1, F2F_time[s]:0.025849, H2H_time:0.018703, sync_time:0.007146
iteration:2, F2F_time[s]:0.024335, H2H_time:0.017210, sync_time:0.007125
iteration:3, F2F_time[s]:0.024537, H2H_time:0.017369, sync_time:0.007169
iteration:4, F2F_time[s]:0.024779, H2H_time:0.017680, sync_time:0.007100
iteration:5, F2F_time[s]:0.024696, H2H_time:0.017510, sync_time:0.007187
iteration:6, F2F_time[s]:0.023865, H2H_time:0.016639, sync_time:0.007227
iteration:7, F2F_time[s]:0.024757, H2H_time:0.017514, sync_time:0.007243
iteration:8, F2F_time[s]:0.024966, H2H_time:0.017776, sync_time:0.007190
iteration:9, F2F_time[s]:0.025091, H2H_time:0.017922, sync_time:0.007169
iteration:10, F2F_time[s]:0.025027, H2H_time:0.017828, sync_time:0.007199
iteration:11, F2F_time[s]:0.024365, H2H_time:0.017146, sync_time:0.007218
iteration:12, F2F_time[s]:0.024865, H2H_time:0.017628, sync_time:0.007237
iteration:13, F2F_time[s]:0.024908, H2H_time:0.017724, sync_time:0.007183
iteration:14, F2F_time[s]:0.024641, H2H_time:0.017419, sync_time:0.007223
iteration:15, F2F_time[s]:0.024411, H2H_time:0.017205, sync_time:0.007206
iteration:16, F2F_time[s]:0.024843, H2H_time:0.017657, sync_time:0.007186
iteration:17, F2F_time[s]:0.024831, H2H_time:0.017704, sync_time:0.007127
iteration:18, F2F_time[s]:0.025154, H2H_time:0.017946, sync_time:0.007208
iteration:19, F2F_time[s]:0.024729, H2H_time:0.017506, sync_time:0.007223
iteration:20, F2F_time[s]:0.025171, H2H_time:0.017950, sync_time:0.007221
iteration:21, F2F_time[s]:0.024200, H2H_time:0.017060, sync_time:0.007140
iteration:22, F2F_time[s]:0.024552, H2H_time:0.017336, sync_time:0.007216
iteration:23, F2F_time[s]:0.025010, H2H_time:0.017834, sync_time:0.007176
iteration:24, F2F_time[s]:0.024247, H2H_time:0.017033, sync_time:0.007215
iteration:25, F2F_time[s]:0.024579, H2H_time:0.017394, sync_time:0.007185
iteration:26, F2F_time[s]:0.024733, H2H_time:0.017542, sync_time:0.007190
iteration:27, F2F_time[s]:0.024614, H2H_time:0.017395, sync_time:0.007219
iteration:28, F2F_time[s]:0.024921, H2H_time:0.017758, sync_time:0.007163
iteration:29, F2F_time[s]:0.024110, H2H_time:0.016964, sync_time:0.007145
iteration:30, F2F_time[s]:0.024772, H2H_time:0.017610, sync_time:0.007162
iteration:31, F2F_time[s]:0.025233, H2H_time:0.018015, sync_time:0.007218
iteration:32, F2F_time[s]:0.024775, H2H_time:0.017536, sync_time:0.007239
iteration:33, F2F_time[s]:0.024638, H2H_time:0.017398, sync_time:0.007240
iteration:34, F2F_time[s]:0.024571, H2H_time:0.017406, sync_time:0.007165
iteration:35, F2F_time[s]:0.025191, H2H_time:0.017996, sync_time:0.007196
iteration:36, F2F_time[s]:0.024794, H2H_time:0.017375, sync_time:0.007419
iteration:37, F2F_time[s]:0.024745, H2H_time:0.017523, sync_time:0.007222
iteration:38, F2F_time[s]:0.024459, H2H_time:0.017320, sync_time:0.007139
iteration:39, F2F_time[s]:0.024765, H2H_time:0.017645, sync_time:0.007120
iteration:40, F2F_time[s]:0.024877, H2H_time:0.017701, sync_time:0.007176
iteration:41, F2F_time[s]:0.024606, H2H_time:0.017398, sync_time:0.007208
iteration:42, F2F_time[s]:0.024536, H2H_time:0.017341, sync_time:0.007196
iteration:43, F2F_time[s]:0.025048, H2H_time:0.017871, sync_time:0.007177
iteration:44, F2F_time[s]:0.024665, H2H_time:0.017253, sync_time:0.007412
