XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo4b
alveo3c
alveo3b
alveo2b
alveo2a
alveo1a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.028026, H2H_time:0.020999, sync_time:0.007027
iteration:1, F2F_time[s]:0.025015, H2H_time:0.017982, sync_time:0.007034
iteration:2, F2F_time[s]:0.025489, H2H_time:0.018319, sync_time:0.007170
iteration:3, F2F_time[s]:0.025665, H2H_time:0.018533, sync_time:0.007132
iteration:4, F2F_time[s]:0.025651, H2H_time:0.018547, sync_time:0.007104
iteration:5, F2F_time[s]:0.025911, H2H_time:0.018763, sync_time:0.007148
iteration:6, F2F_time[s]:0.026385, H2H_time:0.019261, sync_time:0.007124
iteration:7, F2F_time[s]:0.033259, H2H_time:0.026101, sync_time:0.007157
iteration:8, F2F_time[s]:0.026367, H2H_time:0.019223, sync_time:0.007143
iteration:9, F2F_time[s]:0.025399, H2H_time:0.018311, sync_time:0.007088
iteration:10, F2F_time[s]:0.025832, H2H_time:0.018689, sync_time:0.007143
iteration:11, F2F_time[s]:0.025484, H2H_time:0.018336, sync_time:0.007148
iteration:12, F2F_time[s]:0.026428, H2H_time:0.019341, sync_time:0.007088
iteration:13, F2F_time[s]:0.025528, H2H_time:0.018389, sync_time:0.007139
iteration:14, F2F_time[s]:0.025814, H2H_time:0.018647, sync_time:0.007167
iteration:15, F2F_time[s]:0.025446, H2H_time:0.018339, sync_time:0.007106
iteration:16, F2F_time[s]:0.025300, H2H_time:0.018225, sync_time:0.007075
iteration:17, F2F_time[s]:0.039325, H2H_time:0.032182, sync_time:0.007143
iteration:18, F2F_time[s]:0.026141, H2H_time:0.018800, sync_time:0.007340
iteration:19, F2F_time[s]:0.025986, H2H_time:0.018817, sync_time:0.007169
iteration:20, F2F_time[s]:0.025546, H2H_time:0.018402, sync_time:0.007144
iteration:21, F2F_time[s]:0.026003, H2H_time:0.018819, sync_time:0.007184
iteration:22, F2F_time[s]:0.025802, H2H_time:0.018662, sync_time:0.007139
iteration:23, F2F_time[s]:0.025608, H2H_time:0.018456, sync_time:0.007152
iteration:24, F2F_time[s]:0.025982, H2H_time:0.018877, sync_time:0.007105
iteration:25, F2F_time[s]:0.025719, H2H_time:0.018599, sync_time:0.007120
iteration:26, F2F_time[s]:0.038955, H2H_time:0.031609, sync_time:0.007345
iteration:27, F2F_time[s]:0.025698, H2H_time:0.018519, sync_time:0.007179
iteration:28, F2F_time[s]:0.026180, H2H_time:0.019055, sync_time:0.007126
iteration:29, F2F_time[s]:0.025972, H2H_time:0.018663, sync_time:0.007308
iteration:30, F2F_time[s]:0.025774, H2H_time:0.018616, sync_time:0.007158
iteration:31, F2F_time[s]:0.025824, H2H_time:0.018735, sync_time:0.007089
iteration:32, F2F_time[s]:0.025696, H2H_time:0.018528, sync_time:0.007169
iteration:33, F2F_time[s]:0.025510, H2H_time:0.018454, sync_time:0.007056
iteration:34, F2F_time[s]:0.025847, H2H_time:0.018702, sync_time:0.007145
iteration:35, F2F_time[s]:0.025379, H2H_time:0.018252, sync_time:0.007127
iteration:36, F2F_time[s]:0.025927, H2H_time:0.018798, sync_time:0.007129
iteration:37, F2F_time[s]:0.026152, H2H_time:0.019028, sync_time:0.007125
iteration:38, F2F_time[s]:0.026389, H2H_time:0.019295, sync_time:0.007095
iteration:39, F2F_time[s]:0.026187, H2H_time:0.019058, sync_time:0.007129
iteration:40, F2F_time[s]:0.025834, H2H_time:0.018731, sync_time:0.007103
iteration:41, F2F_time[s]:0.026613, H2H_time:0.019440, sync_time:0.007174
iteration:42, F2F_time[s]:0.025652, H2H_time:0.018563, sync_time:0.007088
iteration:43, F2F_time[s]:0.026207, H2H_time:0.019028, sync_time:0.007178
iteration:44, F2F_time[s]:0.025965, H2H_time:0.018809, sync_time:0.007156
iteration:45, F2F_time[s]:0.026725, H2H_time:0.019580, sync_time:0.007145
iteration:46, F2F_time[s]:0.026017, H2H_time:0.018881, sync_time:0.007136
iteration:47, F2F_time[s]:0.025611, H2H_time:0.018458, sync_time:0.007152
iteration:48, F2F_time[s]:0.025950, H2H_time:0.018573, sync_time:0.007378
iteration:49, F2F_time[s]:0.025502, H2H_time:0.018308, sync_time:0.007194
iteration:50, F2F_time[s]:0.025805, H2H_time:0.018625, sync_time:0.007180
iteration:51, F2F_time[s]:0.025698, H2H_time:0.018525, sync_time:0.007173
iteration:52, F2F_time[s]:0.025914, H2H_time:0.018777, sync_time:0.007138
iteration:53, F2F_time[s]:0.025997, H2H_time:0.018859, sync_time:0.007138
iteration:54, F2F_time[s]:0.025564, H2H_time:0.018418, sync_time:0.007146
iteration:55, F2F_time[s]:0.025518, H2H_time:0.018358, sync_time:0.007160
iteration:56, F2F_time[s]:0.025487, H2H_time:0.018334, sync_time:0.007152
