XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo3c
alveo2b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1024, num_elements:256, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:1024, num_elements:256, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1024, num_elements:256, num_trials:200
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1024, num_elements:256, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1024, num_elements:256, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1024, num_elements:256, num_trials:200
iteration:0, F2F_time[s]:0.001300, H2H_time:0.000772, sync_time:0.000528
iteration:1, F2F_time[s]:0.000570, H2H_time:0.000233, sync_time:0.000337
iteration:2, F2F_time[s]:0.000447, H2H_time:0.000172, sync_time:0.000275
iteration:3, F2F_time[s]:0.000407, H2H_time:0.000128, sync_time:0.000280
iteration:4, F2F_time[s]:0.000398, H2H_time:0.000132, sync_time:0.000266
iteration:5, F2F_time[s]:0.000386, H2H_time:0.000123, sync_time:0.000263
iteration:6, F2F_time[s]:0.000424, H2H_time:0.000128, sync_time:0.000296
iteration:7, F2F_time[s]:0.000393, H2H_time:0.000129, sync_time:0.000264
iteration:8, F2F_time[s]:0.000440, H2H_time:0.000135, sync_time:0.000305
iteration:9, F2F_time[s]:0.000345, H2H_time:0.000154, sync_time:0.000191
iteration:10, F2F_time[s]:0.000388, H2H_time:0.000120, sync_time:0.000268
iteration:11, F2F_time[s]:0.000405, H2H_time:0.000136, sync_time:0.000269
iteration:12, F2F_time[s]:0.000407, H2H_time:0.000123, sync_time:0.000284
iteration:13, F2F_time[s]:0.000362, H2H_time:0.000122, sync_time:0.000240
iteration:14, F2F_time[s]:0.000378, H2H_time:0.000126, sync_time:0.000252
iteration:15, F2F_time[s]:0.000364, H2H_time:0.000124, sync_time:0.000240
iteration:16, F2F_time[s]:0.000360, H2H_time:0.000119, sync_time:0.000241
iteration:17, F2F_time[s]:0.000359, H2H_time:0.000118, sync_time:0.000241
iteration:18, F2F_time[s]:0.000366, H2H_time:0.000119, sync_time:0.000247
iteration:19, F2F_time[s]:0.000369, H2H_time:0.000130, sync_time:0.000239
iteration:20, F2F_time[s]:0.000359, H2H_time:0.000121, sync_time:0.000238
iteration:21, F2F_time[s]:0.000361, H2H_time:0.000124, sync_time:0.000237
iteration:22, F2F_time[s]:0.000360, H2H_time:0.000125, sync_time:0.000235
iteration:23, F2F_time[s]:0.000398, H2H_time:0.000164, sync_time:0.000235
iteration:24, F2F_time[s]:0.000412, H2H_time:0.000165, sync_time:0.000246
iteration:25, F2F_time[s]:0.000411, H2H_time:0.000161, sync_time:0.000250
iteration:26, F2F_time[s]:0.000307, H2H_time:0.000129, sync_time:0.000179
iteration:27, F2F_time[s]:0.000318, H2H_time:0.000147, sync_time:0.000171
iteration:28, F2F_time[s]:0.000294, H2H_time:0.000115, sync_time:0.000180
iteration:29, F2F_time[s]:0.000336, H2H_time:0.000163, sync_time:0.000172
iteration:30, F2F_time[s]:0.000300, H2H_time:0.000119, sync_time:0.000181
iteration:31, F2F_time[s]:0.000334, H2H_time:0.000160, sync_time:0.000174
iteration:32, F2F_time[s]:0.000310, H2H_time:0.000128, sync_time:0.000182
iteration:33, F2F_time[s]:0.000308, H2H_time:0.000129, sync_time:0.000178
iteration:34, F2F_time[s]:0.000289, H2H_time:0.000117, sync_time:0.000172
iteration:35, F2F_time[s]:0.000304, H2H_time:0.000137, sync_time:0.000167
iteration:36, F2F_time[s]:0.000312, H2H_time:0.000133, sync_time:0.000179
iteration:37, F2F_time[s]:0.000304, H2H_time:0.000103, sync_time:0.000201
iteration:38, F2F_time[s]:0.000308, H2H_time:0.000112, sync_time:0.000197
iteration:39, F2F_time[s]:0.000282, H2H_time:0.000109, sync_time:0.000173
iteration:40, F2F_time[s]:0.000272, H2H_time:0.000127, sync_time:0.000145
iteration:41, F2F_time[s]:0.000283, H2H_time:0.000134, sync_time:0.000150
iteration:42, F2F_time[s]:0.000352, H2H_time:0.000163, sync_time:0.000189
iteration:43, F2F_time[s]:0.000352, H2H_time:0.000164, sync_time:0.000189
iteration:44, F2F_time[s]:0.000317, H2H_time:0.000160, sync_time:0.000156
iteration:45, F2F_time[s]:0.000329, H2H_time:0.000139, sync_time:0.000190
iteration:46, F2F_time[s]:0.000350, H2H_time:0.000161, sync_time:0.000189
iteration:47, F2F_time[s]:0.000301, H2H_time:0.000147, sync_time:0.000154
iteration:48, F2F_time[s]:0.000400, H2H_time:0.000151, sync_time:0.000249
iteration:49, F2F_time[s]:0.000347, H2H_time:0.000156, sync_time:0.000191
iteration:50, F2F_time[s]:0.000249, H2H_time:0.000101, sync_time:0.000148
iteration:51, F2F_time[s]:0.000347, H2H_time:0.000160, sync_time:0.000186
