XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.001652, H2H_time:0.000969, sync_time:0.000683
iteration:1, F2F_time[s]:0.001127, H2H_time:0.000549, sync_time:0.000578
iteration:2, F2F_time[s]:0.001010, H2H_time:0.000499, sync_time:0.000511
iteration:3, F2F_time[s]:0.000969, H2H_time:0.000438, sync_time:0.000531
iteration:4, F2F_time[s]:0.000906, H2H_time:0.000404, sync_time:0.000502
iteration:5, F2F_time[s]:0.000898, H2H_time:0.000381, sync_time:0.000516
iteration:6, F2F_time[s]:0.000821, H2H_time:0.000381, sync_time:0.000440
iteration:7, F2F_time[s]:0.000762, H2H_time:0.000390, sync_time:0.000372
iteration:8, F2F_time[s]:0.000895, H2H_time:0.000384, sync_time:0.000511
iteration:9, F2F_time[s]:0.000843, H2H_time:0.000397, sync_time:0.000446
iteration:10, F2F_time[s]:0.001004, H2H_time:0.000453, sync_time:0.000551
iteration:11, F2F_time[s]:0.001138, H2H_time:0.000440, sync_time:0.000698
iteration:12, F2F_time[s]:0.001017, H2H_time:0.000455, sync_time:0.000562
iteration:13, F2F_time[s]:0.001031, H2H_time:0.000475, sync_time:0.000555
iteration:14, F2F_time[s]:0.001153, H2H_time:0.000461, sync_time:0.000693
iteration:15, F2F_time[s]:0.000905, H2H_time:0.000429, sync_time:0.000476
iteration:16, F2F_time[s]:0.000855, H2H_time:0.000345, sync_time:0.000510
iteration:17, F2F_time[s]:0.001079, H2H_time:0.000442, sync_time:0.000637
iteration:18, F2F_time[s]:0.000897, H2H_time:0.000380, sync_time:0.000517
iteration:19, F2F_time[s]:0.000739, H2H_time:0.000328, sync_time:0.000410
iteration:20, F2F_time[s]:0.000767, H2H_time:0.000318, sync_time:0.000449
iteration:21, F2F_time[s]:0.000735, H2H_time:0.000324, sync_time:0.000410
iteration:22, F2F_time[s]:0.000771, H2H_time:0.000347, sync_time:0.000425
iteration:23, F2F_time[s]:0.000779, H2H_time:0.000336, sync_time:0.000443
iteration:24, F2F_time[s]:0.000741, H2H_time:0.000330, sync_time:0.000411
iteration:25, F2F_time[s]:0.000745, H2H_time:0.000335, sync_time:0.000410
iteration:26, F2F_time[s]:0.000721, H2H_time:0.000294, sync_time:0.000427
iteration:27, F2F_time[s]:0.000789, H2H_time:0.000374, sync_time:0.000416
iteration:28, F2F_time[s]:0.000705, H2H_time:0.000290, sync_time:0.000415
iteration:29, F2F_time[s]:0.000898, H2H_time:0.000490, sync_time:0.000408
iteration:30, F2F_time[s]:0.000916, H2H_time:0.000483, sync_time:0.000433
iteration:31, F2F_time[s]:0.000951, H2H_time:0.000457, sync_time:0.000494
iteration:32, F2F_time[s]:0.000987, H2H_time:0.000493, sync_time:0.000494
iteration:33, F2F_time[s]:0.000954, H2H_time:0.000460, sync_time:0.000493
