XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3b
alveo2a
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.001707, H2H_time:0.001036, sync_time:0.000672
iteration:1, F2F_time[s]:0.000677, H2H_time:0.000302, sync_time:0.000374
iteration:2, F2F_time[s]:0.000560, H2H_time:0.000280, sync_time:0.000280
iteration:3, F2F_time[s]:0.000519, H2H_time:0.000280, sync_time:0.000239
iteration:4, F2F_time[s]:0.000527, H2H_time:0.000266, sync_time:0.000261
iteration:5, F2F_time[s]:0.000527, H2H_time:0.000269, sync_time:0.000259
iteration:6, F2F_time[s]:0.000542, H2H_time:0.000274, sync_time:0.000267
iteration:7, F2F_time[s]:0.000543, H2H_time:0.000282, sync_time:0.000261
iteration:8, F2F_time[s]:0.000532, H2H_time:0.000271, sync_time:0.000261
iteration:9, F2F_time[s]:0.000477, H2H_time:0.000248, sync_time:0.000229
iteration:10, F2F_time[s]:0.000489, H2H_time:0.000267, sync_time:0.000222
iteration:11, F2F_time[s]:0.000545, H2H_time:0.000275, sync_time:0.000270
iteration:12, F2F_time[s]:0.000517, H2H_time:0.000262, sync_time:0.000255
iteration:13, F2F_time[s]:0.000493, H2H_time:0.000239, sync_time:0.000254
iteration:14, F2F_time[s]:0.000524, H2H_time:0.000270, sync_time:0.000254
iteration:15, F2F_time[s]:0.000487, H2H_time:0.000265, sync_time:0.000222
iteration:16, F2F_time[s]:0.000463, H2H_time:0.000257, sync_time:0.000206
iteration:17, F2F_time[s]:0.000501, H2H_time:0.000259, sync_time:0.000242
iteration:18, F2F_time[s]:0.000429, H2H_time:0.000255, sync_time:0.000174
iteration:19, F2F_time[s]:0.000434, H2H_time:0.000257, sync_time:0.000177
iteration:20, F2F_time[s]:0.000441, H2H_time:0.000255, sync_time:0.000186
iteration:21, F2F_time[s]:0.000410, H2H_time:0.000226, sync_time:0.000183
iteration:22, F2F_time[s]:0.000420, H2H_time:0.000243, sync_time:0.000178
iteration:23, F2F_time[s]:0.000428, H2H_time:0.000250, sync_time:0.000177
iteration:24, F2F_time[s]:0.000405, H2H_time:0.000233, sync_time:0.000172
iteration:25, F2F_time[s]:0.000411, H2H_time:0.000228, sync_time:0.000184
iteration:26, F2F_time[s]:0.000423, H2H_time:0.000239, sync_time:0.000183
iteration:27, F2F_time[s]:0.000417, H2H_time:0.000247, sync_time:0.000170
iteration:28, F2F_time[s]:0.000460, H2H_time:0.000239, sync_time:0.000221
iteration:29, F2F_time[s]:0.000410, H2H_time:0.000221, sync_time:0.000188
iteration:30, F2F_time[s]:0.000386, H2H_time:0.000196, sync_time:0.000190
iteration:31, F2F_time[s]:0.000420, H2H_time:0.000243, sync_time:0.000176
iteration:32, F2F_time[s]:0.000446, H2H_time:0.000242, sync_time:0.000204
iteration:33, F2F_time[s]:0.000470, H2H_time:0.000210, sync_time:0.000260
iteration:34, F2F_time[s]:0.000402, H2H_time:0.000207, sync_time:0.000195
iteration:35, F2F_time[s]:0.000432, H2H_time:0.000209, sync_time:0.000223
iteration:36, F2F_time[s]:0.000387, H2H_time:0.000209, sync_time:0.000179
iteration:37, F2F_time[s]:0.000375, H2H_time:0.000200, sync_time:0.000176
iteration:38, F2F_time[s]:0.000451, H2H_time:0.000270, sync_time:0.000180
iteration:39, F2F_time[s]:0.000411, H2H_time:0.000189, sync_time:0.000222
iteration:40, F2F_time[s]:0.000393, H2H_time:0.000201, sync_time:0.000192
iteration:41, F2F_time[s]:0.000444, H2H_time:0.000272, sync_time:0.000172
iteration:42, F2F_time[s]:0.000369, H2H_time:0.000194, sync_time:0.000175
iteration:43, F2F_time[s]:0.000379, H2H_time:0.000200, sync_time:0.000180
iteration:44, F2F_time[s]:0.000449, H2H_time:0.000238, sync_time:0.000212
iteration:45, F2F_time[s]:0.000399, H2H_time:0.000204, sync_time:0.000195
