XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo4b
alveo3c
alveo4c
alveo2b
alveo2a
alveo1b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
Start All-gather test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:8388608, num_elements:2097152, num_trials:200
iteration:0, F2F_time[s]:0.015331, H2H_time:0.011478, sync_time:0.003854
iteration:1, F2F_time[s]:0.010756, H2H_time:0.006546, sync_time:0.004210
iteration:2, F2F_time[s]:0.010602, H2H_time:0.006506, sync_time:0.004096
iteration:3, F2F_time[s]:0.009804, H2H_time:0.005416, sync_time:0.004388
iteration:4, F2F_time[s]:0.009167, H2H_time:0.004999, sync_time:0.004168
iteration:5, F2F_time[s]:0.008822, H2H_time:0.004740, sync_time:0.004082
iteration:6, F2F_time[s]:0.008837, H2H_time:0.004902, sync_time:0.003935
iteration:7, F2F_time[s]:0.009825, H2H_time:0.005623, sync_time:0.004203
iteration:8, F2F_time[s]:0.012205, H2H_time:0.008171, sync_time:0.004034
iteration:9, F2F_time[s]:0.009134, H2H_time:0.005062, sync_time:0.004072
iteration:10, F2F_time[s]:0.009042, H2H_time:0.004822, sync_time:0.004220
iteration:11, F2F_time[s]:0.010059, H2H_time:0.005834, sync_time:0.004225
iteration:12, F2F_time[s]:0.009621, H2H_time:0.005407, sync_time:0.004214
iteration:13, F2F_time[s]:0.008582, H2H_time:0.004558, sync_time:0.004024
iteration:14, F2F_time[s]:0.009895, H2H_time:0.005632, sync_time:0.004263
iteration:15, F2F_time[s]:0.022280, H2H_time:0.018091, sync_time:0.004189
iteration:16, F2F_time[s]:0.009431, H2H_time:0.005317, sync_time:0.004113
iteration:17, F2F_time[s]:0.009386, H2H_time:0.005336, sync_time:0.004050
iteration:18, F2F_time[s]:0.013233, H2H_time:0.009270, sync_time:0.003963
iteration:19, F2F_time[s]:0.009184, H2H_time:0.005118, sync_time:0.004067
iteration:20, F2F_time[s]:0.009499, H2H_time:0.005302, sync_time:0.004196
iteration:21, F2F_time[s]:0.009314, H2H_time:0.005024, sync_time:0.004290
iteration:22, F2F_time[s]:0.009611, H2H_time:0.005391, sync_time:0.004220
iteration:23, F2F_time[s]:0.009092, H2H_time:0.005041, sync_time:0.004051
iteration:24, F2F_time[s]:0.009387, H2H_time:0.005391, sync_time:0.003997
iteration:25, F2F_time[s]:0.009053, H2H_time:0.004946, sync_time:0.004107
iteration:26, F2F_time[s]:0.009076, H2H_time:0.004946, sync_time:0.004130
iteration:27, F2F_time[s]:0.009943, H2H_time:0.005890, sync_time:0.004053
iteration:28, F2F_time[s]:0.009354, H2H_time:0.005341, sync_time:0.004014
iteration:29, F2F_time[s]:0.008723, H2H_time:0.004600, sync_time:0.004123
iteration:30, F2F_time[s]:0.009555, H2H_time:0.005463, sync_time:0.004092
iteration:31, F2F_time[s]:0.009485, H2H_time:0.005315, sync_time:0.004169
iteration:32, F2F_time[s]:0.009318, H2H_time:0.005270, sync_time:0.004048
iteration:33, F2F_time[s]:0.008766, H2H_time:0.004613, sync_time:0.004153
iteration:34, F2F_time[s]:0.009548, H2H_time:0.005436, sync_time:0.004112
iteration:35, F2F_time[s]:0.009325, H2H_time:0.005254, sync_time:0.004070
iteration:36, F2F_time[s]:0.009446, H2H_time:0.005548, sync_time:0.003898
iteration:37, F2F_time[s]:0.009182, H2H_time:0.005263, sync_time:0.003918
iteration:38, F2F_time[s]:0.009310, H2H_time:0.005206, sync_time:0.004104
iteration:39, F2F_time[s]:0.009841, H2H_time:0.005575, sync_time:0.004266
iteration:40, F2F_time[s]:0.009810, H2H_time:0.005644, sync_time:0.004166
iteration:41, F2F_time[s]:0.009400, H2H_time:0.005314, sync_time:0.004086
iteration:42, F2F_time[s]:0.008717, H2H_time:0.004557, sync_time:0.004160
iteration:43, F2F_time[s]:0.008960, H2H_time:0.004932, sync_time:0.004028
iteration:44, F2F_time[s]:0.023690, H2H_time:0.019514, sync_time:0.004176
iteration:45, F2F_time[s]:0.009569, H2H_time:0.005485, sync_time:0.004083
iteration:46, F2F_time[s]:0.009176, H2H_time:0.004911, sync_time:0.004264
iteration:47, F2F_time[s]:0.009125, H2H_time:0.005017, sync_time:0.004108
iteration:48, F2F_time[s]:0.008927, H2H_time:0.005085, sync_time:0.003842
iteration:49, F2F_time[s]:0.009139, H2H_time:0.005023, sync_time:0.004116
iteration:50, F2F_time[s]:0.009435, H2H_time:0.005235, sync_time:0.004199
iteration:51, F2F_time[s]:0.009079, H2H_time:0.004920, sync_time:0.004159
iteration:52, F2F_time[s]:0.009368, H2H_time:0.005033, sync_time:0.004335
iteration:53, F2F_time[s]:0.009121, H2H_time:0.004829, sync_time:0.004292
iteration:54, F2F_time[s]:0.008973, H2H_time:0.004830, sync_time:0.004142
iteration:55, F2F_time[s]:0.008846, H2H_time:0.004678, sync_time:0.004168
iteration:56, F2F_time[s]:0.009262, H2H_time:0.005253, sync_time:0.004009
iteration:57, F2F_time[s]:0.009220, H2H_time:0.005143, sync_time:0.004077
iteration:58, F2F_time[s]:0.009288, H2H_time:0.004984, sync_time:0.004304
iteration:59, F2F_time[s]:0.008944, H2H_time:0.004870, sync_time:0.004074
iteration:60, F2F_time[s]:0.008778, H2H_time:0.004938, sync_time:0.003840
iteration:61, F2F_time[s]:0.009398, H2H_time:0.004978, sync_time:0.004419
iteration:62, F2F_time[s]:0.009134, H2H_time:0.004775, sync_time:0.004359
