XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start All-gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
iteration:0, F2F_time[s]:0.000965, H2H_time:0.000420, sync_time:0.000545
iteration:1, F2F_time[s]:0.000530, H2H_time:0.000276, sync_time:0.000254
iteration:2, F2F_time[s]:0.000444, H2H_time:0.000186, sync_time:0.000258
iteration:3, F2F_time[s]:0.000491, H2H_time:0.000260, sync_time:0.000231
iteration:4, F2F_time[s]:0.000512, H2H_time:0.000278, sync_time:0.000234
iteration:5, F2F_time[s]:0.000516, H2H_time:0.000276, sync_time:0.000240
iteration:6, F2F_time[s]:0.000514, H2H_time:0.000282, sync_time:0.000232
iteration:7, F2F_time[s]:0.000523, H2H_time:0.000291, sync_time:0.000232
iteration:8, F2F_time[s]:0.000493, H2H_time:0.000293, sync_time:0.000200
iteration:9, F2F_time[s]:0.000518, H2H_time:0.000276, sync_time:0.000242
iteration:10, F2F_time[s]:0.000341, H2H_time:0.000161, sync_time:0.000180
iteration:11, F2F_time[s]:0.000284, H2H_time:0.000111, sync_time:0.000174
iteration:12, F2F_time[s]:0.000328, H2H_time:0.000147, sync_time:0.000181
iteration:13, F2F_time[s]:0.000419, H2H_time:0.000199, sync_time:0.000220
iteration:14, F2F_time[s]:0.000327, H2H_time:0.000139, sync_time:0.000188
iteration:15, F2F_time[s]:0.000318, H2H_time:0.000135, sync_time:0.000183
iteration:16, F2F_time[s]:0.000322, H2H_time:0.000137, sync_time:0.000185
iteration:17, F2F_time[s]:0.000322, H2H_time:0.000145, sync_time:0.000177
iteration:18, F2F_time[s]:0.000352, H2H_time:0.000141, sync_time:0.000211
iteration:19, F2F_time[s]:0.000332, H2H_time:0.000136, sync_time:0.000195
iteration:20, F2F_time[s]:0.000475, H2H_time:0.000242, sync_time:0.000233
iteration:21, F2F_time[s]:0.000457, H2H_time:0.000164, sync_time:0.000294
iteration:22, F2F_time[s]:0.000459, H2H_time:0.000172, sync_time:0.000287
iteration:23, F2F_time[s]:0.000637, H2H_time:0.000193, sync_time:0.000444
iteration:24, F2F_time[s]:0.000564, H2H_time:0.000196, sync_time:0.000368
iteration:25, F2F_time[s]:0.000543, H2H_time:0.000186, sync_time:0.000357
iteration:26, F2F_time[s]:0.000511, H2H_time:0.000176, sync_time:0.000334
iteration:27, F2F_time[s]:0.000532, H2H_time:0.000203, sync_time:0.000329
iteration:28, F2F_time[s]:0.000526, H2H_time:0.000177, sync_time:0.000350
iteration:29, F2F_time[s]:0.000502, H2H_time:0.000191, sync_time:0.000311
iteration:30, F2F_time[s]:0.000514, H2H_time:0.000191, sync_time:0.000323
iteration:31, F2F_time[s]:0.000458, H2H_time:0.000168, sync_time:0.000290
iteration:32, F2F_time[s]:0.000517, H2H_time:0.000188, sync_time:0.000329
iteration:33, F2F_time[s]:0.000524, H2H_time:0.000165, sync_time:0.000360
