alveo1a, bytes:1048576, num_elements:262144, num_trials:100
alveo2a, bytes:1048576, num_elements:262144, num_trials:100
alveo1b, bytes:1048576, num_elements:262144, num_trials:100
iteration:0, time[s]:0.002887
iteration:1, time[s]:0.001156
iteration:2, time[s]:0.000833
iteration:3, time[s]:0.000850
iteration:4, time[s]:0.000830
iteration:5, time[s]:0.000838
iteration:6, time[s]:0.000827
iteration:7, time[s]:0.000704
iteration:8, time[s]:0.000914
iteration:9, time[s]:0.000874
iteration:10, time[s]:0.000794
iteration:11, time[s]:0.000712
iteration:12, time[s]:0.000773
iteration:13, time[s]:0.000705
iteration:14, time[s]:0.000595
iteration:15, time[s]:0.000594
iteration:16, time[s]:0.000687
iteration:17, time[s]:0.000684
iteration:18, time[s]:0.000572
iteration:19, time[s]:0.000632
iteration:20, time[s]:0.000607
iteration:21, time[s]:0.000592
iteration:22, time[s]:0.000598
iteration:23, time[s]:0.000591
iteration:24, time[s]:0.000560
iteration:25, time[s]:0.000595
iteration:26, time[s]:0.000581
iteration:27, time[s]:0.000574
iteration:28, time[s]:0.000632
iteration:29, time[s]:0.000673
iteration:30, time[s]:0.000627
iteration:31, time[s]:0.000666
iteration:32, time[s]:0.000611
iteration:33, time[s]:0.000650
iteration:34, time[s]:0.000545
iteration:35, time[s]:0.000590
iteration:36, time[s]:0.000576
iteration:37, time[s]:0.000557
iteration:38, time[s]:0.000596
iteration:39, time[s]:0.000554
iteration:40, time[s]:0.000595
iteration:41, time[s]:0.000638
iteration:42, time[s]:0.000592
iteration:43, time[s]:0.000503
iteration:44, time[s]:0.000543
iteration:45, time[s]:0.000519
iteration:46, time[s]:0.000531
iteration:47, time[s]:0.000513
iteration:48, time[s]:0.000483
iteration:49, time[s]:0.000491
iteration:50, time[s]:0.000514
iteration:51, time[s]:0.000484
iteration:52, time[s]:0.000578
iteration:53, time[s]:0.000595
iteration:54, time[s]:0.000488
iteration:55, time[s]:0.000575
iteration:56, time[s]:0.000641
iteration:57, time[s]:0.000602
iteration:58, time[s]:0.000643
iteration:59, time[s]:0.000584
iteration:60, time[s]:0.000595
iteration:61, time[s]:0.000500
iteration:62, time[s]:0.000550
iteration:63, time[s]:0.000590
iteration:64, time[s]:0.000533
iteration:65, time[s]:0.000549
iteration:66, time[s]:0.000532
iteration:67, time[s]:0.000615
iteration:68, time[s]:0.000622
iteration:69, time[s]:0.000626
iteration:70, time[s]:0.000630
iteration:71, time[s]:0.000629
iteration:72, time[s]:0.000567
iteration:73, time[s]:0.000646
iteration:74, time[s]:0.000634
iteration:75, time[s]:0.000621
iteration:76, time[s]:0.000686
iteration:77, time[s]:0.000682
iteration:78, time[s]:0.000631
iteration:79, time[s]:0.000640
iteration:80, time[s]:0.000678
iteration:81, time[s]:0.000659
iteration:82, time[s]:0.000645
iteration:83, time[s]:0.000659
iteration:84, time[s]:0.000657
iteration:85, time[s]:0.000655
iteration:86, time[s]:0.000639
iteration:87, time[s]:0.000651
iteration:88, time[s]:0.000571
iteration:89, time[s]:0.000614
iteration:90, time[s]:0.000654
iteration:91, time[s]:0.000618
iteration:92, time[s]:0.000661
iteration:93, time[s]:0.000701
iteration:94, time[s]:0.000649
iteration:95, time[s]:0.000618
iteration:96, time[s]:0.000651
iteration:97, time[s]:0.000662
iteration:98, time[s]:0.000647
iteration:99, time[s]:0.000623
iteration:100, time[s]:0.000645
Allgather per rank send element count:87381, byte count:349524, trials:100, Avg MPI_Allgather time [us]= *632.972050
