alveo1a, bytes:131072, num_elements:32768, num_trials:100
alveo3c, bytes:131072, num_elements:32768, num_trials:100
alveo4c, bytes:131072, num_elements:32768, num_trials:100
alveo3b, bytes:131072, num_elements:32768, num_trials:100
alveo4b, bytes:131072, num_elements:32768, num_trials:100
alveo1b, bytes:131072, num_elements:32768, num_trials:100
alveo2a, bytes:131072, num_elements:32768, num_trials:100
alveo2b, bytes:131072, num_elements:32768, num_trials:100
iteration:0, time[s]:0.001008
iteration:1, time[s]:0.000542
iteration:2, time[s]:0.000595
iteration:3, time[s]:0.000655
iteration:4, time[s]:0.000703
iteration:5, time[s]:0.000624
iteration:6, time[s]:0.000500
iteration:7, time[s]:0.000614
iteration:8, time[s]:0.000459
iteration:9, time[s]:0.000579
iteration:10, time[s]:0.000584
iteration:11, time[s]:0.000654
iteration:12, time[s]:0.000412
iteration:13, time[s]:0.000576
iteration:14, time[s]:0.000462
iteration:15, time[s]:0.000569
iteration:16, time[s]:0.000508
iteration:17, time[s]:0.000609
iteration:18, time[s]:0.000457
iteration:19, time[s]:0.000538
iteration:20, time[s]:0.000548
iteration:21, time[s]:0.000452
iteration:22, time[s]:0.000407
iteration:23, time[s]:0.000441
iteration:24, time[s]:0.000701
iteration:25, time[s]:0.000509
iteration:26, time[s]:0.000607
iteration:27, time[s]:0.000551
iteration:28, time[s]:0.000510
iteration:29, time[s]:0.000568
iteration:30, time[s]:0.000443
iteration:31, time[s]:0.000506
iteration:32, time[s]:0.000502
iteration:33, time[s]:0.000654
iteration:34, time[s]:0.000532
iteration:35, time[s]:0.000434
iteration:36, time[s]:0.000487
iteration:37, time[s]:0.000411
iteration:38, time[s]:0.000572
iteration:39, time[s]:0.000410
iteration:40, time[s]:0.000565
iteration:41, time[s]:0.000569
iteration:42, time[s]:0.000561
iteration:43, time[s]:0.000385
iteration:44, time[s]:0.000537
iteration:45, time[s]:0.000471
iteration:46, time[s]:0.000470
iteration:47, time[s]:0.000580
iteration:48, time[s]:0.000401
iteration:49, time[s]:0.000610
iteration:50, time[s]:0.000539
iteration:51, time[s]:0.000463
iteration:52, time[s]:0.000604
iteration:53, time[s]:0.000512
iteration:54, time[s]:0.000496
iteration:55, time[s]:0.000381
iteration:56, time[s]:0.000482
iteration:57, time[s]:0.000479
iteration:58, time[s]:0.000436
iteration:59, time[s]:0.000434
iteration:60, time[s]:0.000533
iteration:61, time[s]:0.000445
iteration:62, time[s]:0.000433
iteration:63, time[s]:0.000467
iteration:64, time[s]:0.000509
iteration:65, time[s]:0.000493
iteration:66, time[s]:0.000363
iteration:67, time[s]:0.000609
iteration:68, time[s]:0.000535
iteration:69, time[s]:0.000523
iteration:70, time[s]:0.000383
iteration:71, time[s]:0.000407
iteration:72, time[s]:0.000511
iteration:73, time[s]:0.000634
iteration:74, time[s]:0.000409
iteration:75, time[s]:0.000485
iteration:76, time[s]:0.000383
iteration:77, time[s]:0.000467
iteration:78, time[s]:0.000426
iteration:79, time[s]:0.000509
iteration:80, time[s]:0.000457
iteration:81, time[s]:0.000494
iteration:82, time[s]:0.000460
iteration:83, time[s]:0.000458
iteration:84, time[s]:0.000540
iteration:85, time[s]:0.000444
iteration:86, time[s]:0.000563
iteration:87, time[s]:0.000425
iteration:88, time[s]:0.000544
iteration:89, time[s]:0.000452
iteration:90, time[s]:0.000579
iteration:91, time[s]:0.000456
iteration:92, time[s]:0.000478
iteration:93, time[s]:0.000565
iteration:94, time[s]:0.000499
iteration:95, time[s]:0.000634
iteration:96, time[s]:0.000444
iteration:97, time[s]:0.000340
iteration:98, time[s]:0.000401
iteration:99, time[s]:0.000451
iteration:100, time[s]:0.000515
Allgather per rank send element count:4096, byte count:16384, trials:100, Avg MPI_Allgather time [us]= *505.857380
