alveo1a, bytes:16777216, num_elements:4194304, num_trials:100
alveo2a, bytes:16777216, num_elements:4194304, num_trials:100
alveo2b, bytes:16777216, num_elements:4194304, num_trials:100
alveo1b, bytes:16777216, num_elements:4194304, num_trials:100
iteration:0, time[s]:0.020832
iteration:1, time[s]:0.010398
iteration:2, time[s]:0.009639
iteration:3, time[s]:0.009060
iteration:4, time[s]:0.008697
iteration:5, time[s]:0.007915
iteration:6, time[s]:0.007968
iteration:7, time[s]:0.007966
iteration:8, time[s]:0.007459
iteration:9, time[s]:0.007845
iteration:10, time[s]:0.007665
iteration:11, time[s]:0.007981
iteration:12, time[s]:0.007829
iteration:13, time[s]:0.007798
iteration:14, time[s]:0.007106
iteration:15, time[s]:0.009429
iteration:16, time[s]:0.021956
iteration:17, time[s]:0.008567
iteration:18, time[s]:0.007693
iteration:19, time[s]:0.007580
iteration:20, time[s]:0.007614
iteration:21, time[s]:0.007953
iteration:22, time[s]:0.008039
iteration:23, time[s]:0.007755
iteration:24, time[s]:0.007571
iteration:25, time[s]:0.007130
iteration:26, time[s]:0.007398
iteration:27, time[s]:0.007585
iteration:28, time[s]:0.007791
iteration:29, time[s]:0.008167
iteration:30, time[s]:0.008103
iteration:31, time[s]:0.007702
iteration:32, time[s]:0.007530
iteration:33, time[s]:0.008122
iteration:34, time[s]:0.008975
iteration:35, time[s]:0.008287
iteration:36, time[s]:0.007683
iteration:37, time[s]:0.008015
iteration:38, time[s]:0.007528
iteration:39, time[s]:0.007702
iteration:40, time[s]:0.007294
iteration:41, time[s]:0.007324
iteration:42, time[s]:0.007139
iteration:43, time[s]:0.007262
iteration:44, time[s]:0.007483
iteration:45, time[s]:0.007325
iteration:46, time[s]:0.007146
iteration:47, time[s]:0.007241
iteration:48, time[s]:0.007813
iteration:49, time[s]:0.007508
iteration:50, time[s]:0.007460
iteration:51, time[s]:0.007375
iteration:52, time[s]:0.007497
iteration:53, time[s]:0.007705
iteration:54, time[s]:0.007369
iteration:55, time[s]:0.006956
iteration:56, time[s]:0.007414
iteration:57, time[s]:0.006905
iteration:58, time[s]:0.007044
iteration:59, time[s]:0.007203
iteration:60, time[s]:0.007729
iteration:61, time[s]:0.007156
iteration:62, time[s]:0.007244
iteration:63, time[s]:0.007079
iteration:64, time[s]:0.007377
iteration:65, time[s]:0.007015
iteration:66, time[s]:0.007223
iteration:67, time[s]:0.006935
iteration:68, time[s]:0.006829
iteration:69, time[s]:0.006875
iteration:70, time[s]:0.007463
iteration:71, time[s]:0.007368
iteration:72, time[s]:0.006524
iteration:73, time[s]:0.007698
iteration:74, time[s]:0.006521
iteration:75, time[s]:0.006997
iteration:76, time[s]:0.008675
iteration:77, time[s]:0.007500
iteration:78, time[s]:0.008476
iteration:79, time[s]:0.007234
iteration:80, time[s]:0.006745
iteration:81, time[s]:0.006796
iteration:82, time[s]:0.006570
iteration:83, time[s]:0.007465
iteration:84, time[s]:0.008332
iteration:85, time[s]:0.008269
iteration:86, time[s]:0.007833
iteration:87, time[s]:0.007177
iteration:88, time[s]:0.008096
iteration:89, time[s]:0.007948
iteration:90, time[s]:0.007955
iteration:91, time[s]:0.007566
iteration:92, time[s]:0.008079
iteration:93, time[s]:0.007753
iteration:94, time[s]:0.007145
iteration:95, time[s]:0.007447
iteration:96, time[s]:0.007428
iteration:97, time[s]:0.007465
iteration:98, time[s]:0.007309
iteration:99, time[s]:0.006900
iteration:100, time[s]:0.007082
Allgather per rank send element count:1048576, byte count:4194304, trials:100, Avg MPI_Allgather time [us]= *7769.436220
