alveo1a, bytes:16777216, num_elements:4194304, num_trials:100
alveo3b, bytes:16777216, num_elements:4194304, num_trials:100
alveo1b, bytes:16777216, num_elements:4194304, num_trials:100
alveo2a, bytes:16777216, num_elements:4194304, num_trials:100
alveo2b, bytes:16777216, num_elements:4194304, num_trials:100
iteration:0, time[s]:0.040046
iteration:1, time[s]:0.014981
iteration:2, time[s]:0.014557
iteration:3, time[s]:0.014628
iteration:4, time[s]:0.014439
iteration:5, time[s]:0.014550
iteration:6, time[s]:0.014710
iteration:7, time[s]:0.014860
iteration:8, time[s]:0.014876
iteration:9, time[s]:0.014520
iteration:10, time[s]:0.014771
iteration:11, time[s]:0.014785
iteration:12, time[s]:0.014493
iteration:13, time[s]:0.014891
iteration:14, time[s]:0.014987
iteration:15, time[s]:0.026285
iteration:16, time[s]:0.014874
iteration:17, time[s]:0.014759
iteration:18, time[s]:0.014596
iteration:19, time[s]:0.015126
iteration:20, time[s]:0.014519
iteration:21, time[s]:0.014577
iteration:22, time[s]:0.014813
iteration:23, time[s]:0.014365
iteration:24, time[s]:0.014595
iteration:25, time[s]:0.014355
iteration:26, time[s]:0.015024
iteration:27, time[s]:0.014868
iteration:28, time[s]:0.014771
iteration:29, time[s]:0.014600
iteration:30, time[s]:0.023486
iteration:31, time[s]:0.022418
iteration:32, time[s]:0.022592
iteration:33, time[s]:0.022546
iteration:34, time[s]:0.022560
iteration:35, time[s]:0.022577
iteration:36, time[s]:0.022440
iteration:37, time[s]:0.035041
iteration:38, time[s]:0.022003
iteration:39, time[s]:0.022515
iteration:40, time[s]:0.022459
iteration:41, time[s]:0.022534
iteration:42, time[s]:0.022287
iteration:43, time[s]:0.022118
iteration:44, time[s]:0.022092
iteration:45, time[s]:0.022239
iteration:46, time[s]:0.022048
iteration:47, time[s]:0.022174
iteration:48, time[s]:0.022142
iteration:49, time[s]:0.021834
iteration:50, time[s]:0.022146
iteration:51, time[s]:0.022322
iteration:52, time[s]:0.022708
iteration:53, time[s]:0.022326
iteration:54, time[s]:0.022436
iteration:55, time[s]:0.022204
iteration:56, time[s]:0.022154
iteration:57, time[s]:0.022350
iteration:58, time[s]:0.022169
iteration:59, time[s]:0.022146
iteration:60, time[s]:0.022432
iteration:61, time[s]:0.022082
iteration:62, time[s]:0.022045
iteration:63, time[s]:0.022547
iteration:64, time[s]:0.022293
iteration:65, time[s]:0.022781
iteration:66, time[s]:0.022298
iteration:67, time[s]:0.022336
iteration:68, time[s]:0.022246
iteration:69, time[s]:0.022219
iteration:70, time[s]:0.022337
iteration:71, time[s]:0.022306
iteration:72, time[s]:0.022197
iteration:73, time[s]:0.022231
iteration:74, time[s]:0.022394
iteration:75, time[s]:0.022458
iteration:76, time[s]:0.022240
iteration:77, time[s]:0.022384
iteration:78, time[s]:0.022139
iteration:79, time[s]:0.022247
iteration:80, time[s]:0.021981
iteration:81, time[s]:0.022094
iteration:82, time[s]:0.022160
iteration:83, time[s]:0.022225
iteration:84, time[s]:0.022209
iteration:85, time[s]:0.022060
iteration:86, time[s]:0.022215
iteration:87, time[s]:0.021863
iteration:88, time[s]:0.022418
iteration:89, time[s]:0.022291
iteration:90, time[s]:0.022257
iteration:91, time[s]:0.022114
iteration:92, time[s]:0.022120
iteration:93, time[s]:0.022225
iteration:94, time[s]:0.021963
iteration:95, time[s]:0.022249
iteration:96, time[s]:0.022087
iteration:97, time[s]:0.022121
iteration:98, time[s]:0.022254
iteration:99, time[s]:0.022050
iteration:100, time[s]:0.022513
Allgather per rank send element count:838860, byte count:3355440, trials:100, Avg MPI_Allgather time [us]= *20329.214340
