alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.025588
iteration:1, time[s]:0.012330
iteration:2, time[s]:0.011852
iteration:3, time[s]:0.012085
iteration:4, time[s]:0.025607
iteration:5, time[s]:0.011784
iteration:6, time[s]:0.012083
iteration:7, time[s]:0.011599
iteration:8, time[s]:0.011148
iteration:9, time[s]:0.011471
iteration:10, time[s]:0.011150
iteration:11, time[s]:0.011283
iteration:12, time[s]:0.011554
iteration:13, time[s]:0.011397
iteration:14, time[s]:0.011209
iteration:15, time[s]:0.010914
iteration:16, time[s]:0.011645
iteration:17, time[s]:0.011147
iteration:18, time[s]:0.012996
iteration:19, time[s]:0.011053
iteration:20, time[s]:0.011007
iteration:21, time[s]:0.025326
iteration:22, time[s]:0.010622
iteration:23, time[s]:0.024764
iteration:24, time[s]:0.011328
iteration:25, time[s]:0.010854
iteration:26, time[s]:0.011192
iteration:27, time[s]:0.025868
iteration:28, time[s]:0.011298
iteration:29, time[s]:0.011741
iteration:30, time[s]:0.013184
iteration:31, time[s]:0.011465
iteration:32, time[s]:0.011112
iteration:33, time[s]:0.010750
iteration:34, time[s]:0.010642
iteration:35, time[s]:0.010585
iteration:36, time[s]:0.011189
iteration:37, time[s]:0.010961
iteration:38, time[s]:0.011641
iteration:39, time[s]:0.011048
iteration:40, time[s]:0.010906
iteration:41, time[s]:0.011196
iteration:42, time[s]:0.011095
iteration:43, time[s]:0.011379
iteration:44, time[s]:0.010864
iteration:45, time[s]:0.011171
iteration:46, time[s]:0.010974
iteration:47, time[s]:0.010908
iteration:48, time[s]:0.010974
iteration:49, time[s]:0.010820
iteration:50, time[s]:0.010814
iteration:51, time[s]:0.010774
iteration:52, time[s]:0.010930
iteration:53, time[s]:0.010944
iteration:54, time[s]:0.010699
iteration:55, time[s]:0.011159
iteration:56, time[s]:0.025755
iteration:57, time[s]:0.010916
iteration:58, time[s]:0.011287
iteration:59, time[s]:0.010868
iteration:60, time[s]:0.011553
iteration:61, time[s]:0.011290
iteration:62, time[s]:0.011388
iteration:63, time[s]:0.011085
iteration:64, time[s]:0.010995
iteration:65, time[s]:0.011358
iteration:66, time[s]:0.011302
iteration:67, time[s]:0.010873
iteration:68, time[s]:0.011043
iteration:69, time[s]:0.010864
iteration:70, time[s]:0.011314
iteration:71, time[s]:0.011235
iteration:72, time[s]:0.010653
iteration:73, time[s]:0.011064
iteration:74, time[s]:0.010766
iteration:75, time[s]:0.010624
iteration:76, time[s]:0.010808
iteration:77, time[s]:0.010650
iteration:78, time[s]:0.010624
iteration:79, time[s]:0.010766
iteration:80, time[s]:0.010837
iteration:81, time[s]:0.010996
iteration:82, time[s]:0.010672
iteration:83, time[s]:0.011350
iteration:84, time[s]:0.010950
iteration:85, time[s]:0.011381
iteration:86, time[s]:0.011039
iteration:87, time[s]:0.010603
iteration:88, time[s]:0.011157
iteration:89, time[s]:0.010832
iteration:90, time[s]:0.011013
iteration:91, time[s]:0.010813
iteration:92, time[s]:0.010716
iteration:93, time[s]:0.010731
iteration:94, time[s]:0.011096
iteration:95, time[s]:0.010876
iteration:96, time[s]:0.011201
iteration:97, time[s]:0.010997
iteration:98, time[s]:0.010840
iteration:99, time[s]:0.010670
iteration:100, time[s]:0.010449
iteration:101, time[s]:0.010804
iteration:102, time[s]:0.010951
iteration:103, time[s]:0.011427
iteration:104, time[s]:0.011707
iteration:105, time[s]:0.011276
iteration:106, time[s]:0.011227
iteration:107, time[s]:0.011960
iteration:108, time[s]:0.012120
iteration:109, time[s]:0.011640
iteration:110, time[s]:0.011544
iteration:111, time[s]:0.012082
iteration:112, time[s]:0.011592
iteration:113, time[s]:0.011547
iteration:114, time[s]:0.011190
iteration:115, time[s]:0.011434
iteration:116, time[s]:0.011773
iteration:117, time[s]:0.011673
iteration:118, time[s]:0.011432
iteration:119, time[s]:0.011392
iteration:120, time[s]:0.011395
iteration:121, time[s]:0.011399
iteration:122, time[s]:0.011023
iteration:123, time[s]:0.011385
iteration:124, time[s]:0.011290
iteration:125, time[s]:0.011322
iteration:126, time[s]:0.010999
iteration:127, time[s]:0.011542
iteration:128, time[s]:0.011383
iteration:129, time[s]:0.011561
iteration:130, time[s]:0.011305
iteration:131, time[s]:0.011261
iteration:132, time[s]:0.011160
iteration:133, time[s]:0.011030
iteration:134, time[s]:0.011263
