alveo1a, bytes:1024, num_elements:256, num_trials:100
alveo4b, bytes:1024, num_elements:256, num_trials:100
alveo3b, bytes:1024, num_elements:256, num_trials:100
alveo3c, bytes:1024, num_elements:256, num_trials:100
alveo1b, bytes:1024, num_elements:256, num_trials:100
alveo4c, bytes:1024, num_elements:256, num_trials:100
alveo2a, bytes:1024, num_elements:256, num_trials:100
alveo2b, bytes:1024, num_elements:256, num_trials:100
iteration:0, time[s]:0.000182
iteration:1, time[s]:0.000158
iteration:2, time[s]:0.000163
iteration:3, time[s]:0.000220
iteration:4, time[s]:0.000232
iteration:5, time[s]:0.000225
iteration:6, time[s]:0.000230
iteration:7, time[s]:0.000235
iteration:8, time[s]:0.000172
iteration:9, time[s]:0.000174
iteration:10, time[s]:0.000168
iteration:11, time[s]:0.000145
iteration:12, time[s]:0.000221
iteration:13, time[s]:0.000232
iteration:14, time[s]:0.000145
iteration:15, time[s]:0.000136
iteration:16, time[s]:0.000213
iteration:17, time[s]:0.000189
iteration:18, time[s]:0.000170
iteration:19, time[s]:0.000201
iteration:20, time[s]:0.000118
iteration:21, time[s]:0.000152
iteration:22, time[s]:0.000195
iteration:23, time[s]:0.000177
iteration:24, time[s]:0.000165
iteration:25, time[s]:0.000139
iteration:26, time[s]:0.000181
iteration:27, time[s]:0.000172
iteration:28, time[s]:0.000146
iteration:29, time[s]:0.000196
iteration:30, time[s]:0.000146
iteration:31, time[s]:0.000230
iteration:32, time[s]:0.000239
iteration:33, time[s]:0.000225
iteration:34, time[s]:0.000244
iteration:35, time[s]:0.000205
iteration:36, time[s]:0.000195
iteration:37, time[s]:0.000245
iteration:38, time[s]:0.000258
iteration:39, time[s]:0.000260
iteration:40, time[s]:0.000207
iteration:41, time[s]:0.000259
iteration:42, time[s]:0.000257
iteration:43, time[s]:0.000196
iteration:44, time[s]:0.000199
iteration:45, time[s]:0.000202
iteration:46, time[s]:0.000264
iteration:47, time[s]:0.000244
iteration:48, time[s]:0.000254
iteration:49, time[s]:0.000193
iteration:50, time[s]:0.000194
iteration:51, time[s]:0.000238
iteration:52, time[s]:0.000201
iteration:53, time[s]:0.000150
iteration:54, time[s]:0.000151
iteration:55, time[s]:0.000101
iteration:56, time[s]:0.000147
iteration:57, time[s]:0.000155
iteration:58, time[s]:0.000139
iteration:59, time[s]:0.000150
iteration:60, time[s]:0.000160
iteration:61, time[s]:0.000204
iteration:62, time[s]:0.000145
iteration:63, time[s]:0.000198
iteration:64, time[s]:0.000161
iteration:65, time[s]:0.000107
iteration:66, time[s]:0.000232
iteration:67, time[s]:0.000160
iteration:68, time[s]:0.000154
iteration:69, time[s]:0.000156
iteration:70, time[s]:0.000177
iteration:71, time[s]:0.000146
iteration:72, time[s]:0.000220
iteration:73, time[s]:0.000183
iteration:74, time[s]:0.000198
iteration:75, time[s]:0.000266
iteration:76, time[s]:0.000123
iteration:77, time[s]:0.000155
iteration:78, time[s]:0.000170
iteration:79, time[s]:0.000153
iteration:80, time[s]:0.000120
iteration:81, time[s]:0.000178
iteration:82, time[s]:0.000213
iteration:83, time[s]:0.000147
iteration:84, time[s]:0.000161
iteration:85, time[s]:0.000189
iteration:86, time[s]:0.000149
iteration:87, time[s]:0.000208
iteration:88, time[s]:0.000186
iteration:89, time[s]:0.000126
iteration:90, time[s]:0.000151
iteration:91, time[s]:0.000170
iteration:92, time[s]:0.000098
iteration:93, time[s]:0.000267
iteration:94, time[s]:0.000240
iteration:95, time[s]:0.000256
iteration:96, time[s]:0.000216
iteration:97, time[s]:0.000209
iteration:98, time[s]:0.000171
iteration:99, time[s]:0.000197
iteration:100, time[s]:0.000151
Allgather per rank send element count:32, byte count:128, trials:100, Avg MPI_Allgather time [us]= *186.904280
