alveo1a, bytes:2097152, num_elements:524288, num_trials:100
alveo2b, bytes:2097152, num_elements:524288, num_trials:100
alveo1b, bytes:2097152, num_elements:524288, num_trials:100
alveo2a, bytes:2097152, num_elements:524288, num_trials:100
iteration:0, time[s]:0.004706
iteration:1, time[s]:0.001773
iteration:2, time[s]:0.001413
iteration:3, time[s]:0.001641
iteration:4, time[s]:0.001363
iteration:5, time[s]:0.001252
iteration:6, time[s]:0.001112
iteration:7, time[s]:0.001137
iteration:8, time[s]:0.001084
iteration:9, time[s]:0.001070
iteration:10, time[s]:0.001057
iteration:11, time[s]:0.001028
iteration:12, time[s]:0.000979
iteration:13, time[s]:0.001230
iteration:14, time[s]:0.001044
iteration:15, time[s]:0.001137
iteration:16, time[s]:0.001082
iteration:17, time[s]:0.001023
iteration:18, time[s]:0.001117
iteration:19, time[s]:0.001126
iteration:20, time[s]:0.001238
iteration:21, time[s]:0.000837
iteration:22, time[s]:0.001056
iteration:23, time[s]:0.001254
iteration:24, time[s]:0.001052
iteration:25, time[s]:0.001116
iteration:26, time[s]:0.001038
iteration:27, time[s]:0.001118
iteration:28, time[s]:0.000982
iteration:29, time[s]:0.000900
iteration:30, time[s]:0.001113
iteration:31, time[s]:0.000994
iteration:32, time[s]:0.001089
iteration:33, time[s]:0.001068
iteration:34, time[s]:0.000898
iteration:35, time[s]:0.001081
iteration:36, time[s]:0.001020
iteration:37, time[s]:0.001113
iteration:38, time[s]:0.000977
iteration:39, time[s]:0.000967
iteration:40, time[s]:0.001333
iteration:41, time[s]:0.001112
iteration:42, time[s]:0.001297
iteration:43, time[s]:0.000885
iteration:44, time[s]:0.000932
iteration:45, time[s]:0.001121
iteration:46, time[s]:0.001035
iteration:47, time[s]:0.001092
iteration:48, time[s]:0.000944
iteration:49, time[s]:0.001111
iteration:50, time[s]:0.000957
iteration:51, time[s]:0.001045
iteration:52, time[s]:0.001099
iteration:53, time[s]:0.000982
iteration:54, time[s]:0.001114
iteration:55, time[s]:0.001208
iteration:56, time[s]:0.001074
iteration:57, time[s]:0.000991
iteration:58, time[s]:0.001037
iteration:59, time[s]:0.001093
iteration:60, time[s]:0.001106
iteration:61, time[s]:0.001094
iteration:62, time[s]:0.001213
iteration:63, time[s]:0.000938
iteration:64, time[s]:0.001142
iteration:65, time[s]:0.001119
iteration:66, time[s]:0.000978
iteration:67, time[s]:0.001197
iteration:68, time[s]:0.001080
iteration:69, time[s]:0.001069
iteration:70, time[s]:0.001070
iteration:71, time[s]:0.001096
iteration:72, time[s]:0.000880
iteration:73, time[s]:0.000891
iteration:74, time[s]:0.001008
iteration:75, time[s]:0.000929
iteration:76, time[s]:0.001023
iteration:77, time[s]:0.000888
iteration:78, time[s]:0.000983
iteration:79, time[s]:0.001234
iteration:80, time[s]:0.000892
iteration:81, time[s]:0.001321
iteration:82, time[s]:0.000856
iteration:83, time[s]:0.001064
iteration:84, time[s]:0.000863
iteration:85, time[s]:0.001171
iteration:86, time[s]:0.000927
iteration:87, time[s]:0.001048
iteration:88, time[s]:0.000962
iteration:89, time[s]:0.001230
iteration:90, time[s]:0.001239
iteration:91, time[s]:0.000940
iteration:92, time[s]:0.001036
iteration:93, time[s]:0.001172
iteration:94, time[s]:0.000791
iteration:95, time[s]:0.001024
iteration:96, time[s]:0.000938
iteration:97, time[s]:0.001094
iteration:98, time[s]:0.000953
iteration:99, time[s]:0.000952
iteration:100, time[s]:0.001122
Allgather per rank send element count:131072, byte count:524288, trials:100, Avg MPI_Allgather time [us]= *1075.744080
