alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.037638
iteration:1, time[s]:0.025062
iteration:2, time[s]:0.025680
iteration:3, time[s]:0.025603
iteration:4, time[s]:0.026671
iteration:5, time[s]:0.026273
iteration:6, time[s]:0.027095
iteration:7, time[s]:0.026211
iteration:8, time[s]:0.026357
iteration:9, time[s]:0.036067
iteration:10, time[s]:0.033722
iteration:11, time[s]:0.033767
iteration:12, time[s]:0.033506
iteration:13, time[s]:0.033279
iteration:14, time[s]:0.030354
iteration:15, time[s]:0.025549
iteration:16, time[s]:0.026637
iteration:17, time[s]:0.027214
iteration:18, time[s]:0.026671
iteration:19, time[s]:0.025842
iteration:20, time[s]:0.026263
iteration:21, time[s]:0.026244
iteration:22, time[s]:0.025742
iteration:23, time[s]:0.024804
iteration:24, time[s]:0.026538
iteration:25, time[s]:0.025660
iteration:26, time[s]:0.025489
iteration:27, time[s]:0.025755
iteration:28, time[s]:0.025241
iteration:29, time[s]:0.024930
iteration:30, time[s]:0.025784
iteration:31, time[s]:0.025475
iteration:32, time[s]:0.026002
iteration:33, time[s]:0.025529
iteration:34, time[s]:0.025881
iteration:35, time[s]:0.025759
iteration:36, time[s]:0.025980
iteration:37, time[s]:0.025681
iteration:38, time[s]:0.025666
iteration:39, time[s]:0.025325
iteration:40, time[s]:0.026122
iteration:41, time[s]:0.026052
iteration:42, time[s]:0.025584
iteration:43, time[s]:0.025530
iteration:44, time[s]:0.025099
iteration:45, time[s]:0.025539
iteration:46, time[s]:0.025631
iteration:47, time[s]:0.025968
iteration:48, time[s]:0.025954
iteration:49, time[s]:0.025974
iteration:50, time[s]:0.025998
iteration:51, time[s]:0.025756
iteration:52, time[s]:0.025969
iteration:53, time[s]:0.025611
iteration:54, time[s]:0.026005
iteration:55, time[s]:0.025306
iteration:56, time[s]:0.025731
iteration:57, time[s]:0.025520
iteration:58, time[s]:0.025457
iteration:59, time[s]:0.026182
iteration:60, time[s]:0.025199
iteration:61, time[s]:0.025945
iteration:62, time[s]:0.025541
iteration:63, time[s]:0.025333
iteration:64, time[s]:0.025845
iteration:65, time[s]:0.025930
iteration:66, time[s]:0.025578
iteration:67, time[s]:0.025433
iteration:68, time[s]:0.025423
iteration:69, time[s]:0.025711
iteration:70, time[s]:0.025782
iteration:71, time[s]:0.025961
iteration:72, time[s]:0.026097
iteration:73, time[s]:0.025687
iteration:74, time[s]:0.025556
iteration:75, time[s]:0.026014
iteration:76, time[s]:0.025744
iteration:77, time[s]:0.025384
iteration:78, time[s]:0.025917
iteration:79, time[s]:0.026032
iteration:80, time[s]:0.025509
iteration:81, time[s]:0.025768
iteration:82, time[s]:0.025418
iteration:83, time[s]:0.025753
iteration:84, time[s]:0.025538
iteration:85, time[s]:0.025427
iteration:86, time[s]:0.025723
iteration:87, time[s]:0.025781
iteration:88, time[s]:0.025901
iteration:89, time[s]:0.025707
iteration:90, time[s]:0.025804
iteration:91, time[s]:0.025987
iteration:92, time[s]:0.025086
iteration:93, time[s]:0.025721
iteration:94, time[s]:0.025239
iteration:95, time[s]:0.024935
iteration:96, time[s]:0.025569
iteration:97, time[s]:0.025361
iteration:98, time[s]:0.025595
iteration:99, time[s]:0.025819
iteration:100, time[s]:0.025418
iteration:101, time[s]:0.025741
iteration:102, time[s]:0.025162
iteration:103, time[s]:0.025952
iteration:104, time[s]:0.025630
iteration:105, time[s]:0.025881
iteration:106, time[s]:0.025285
iteration:107, time[s]:0.025654
iteration:108, time[s]:0.025729
iteration:109, time[s]:0.025340
iteration:110, time[s]:0.025523
iteration:111, time[s]:0.025731
iteration:112, time[s]:0.025628
iteration:113, time[s]:0.025872
iteration:114, time[s]:0.025936
iteration:115, time[s]:0.025755
iteration:116, time[s]:0.025913
iteration:117, time[s]:0.025123
iteration:118, time[s]:0.026012
iteration:119, time[s]:0.025910
iteration:120, time[s]:0.025634
iteration:121, time[s]:0.026037
iteration:122, time[s]:0.026015
iteration:123, time[s]:0.025458
iteration:124, time[s]:0.025634
iteration:125, time[s]:0.025282
iteration:126, time[s]:0.025756
iteration:127, time[s]:0.025765
iteration:128, time[s]:0.025941
iteration:129, time[s]:0.025838
iteration:130, time[s]:0.025949
iteration:131, time[s]:0.025618
iteration:132, time[s]:0.025880
iteration:133, time[s]:0.025496
iteration:134, time[s]:0.025560
iteration:135, time[s]:0.026127
iteration:136, time[s]:0.025904
iteration:137, time[s]:0.025710
iteration:138, time[s]:0.025289
iteration:139, time[s]:0.025846
iteration:140, time[s]:0.025246
iteration:141, time[s]:0.025893
iteration:142, time[s]:0.025984
iteration:143, time[s]:0.025833
iteration:144, time[s]:0.025572
iteration:145, time[s]:0.026228
iteration:146, time[s]:0.024363
iteration:147, time[s]:0.025749
iteration:148, time[s]:0.025363
iteration:149, time[s]:0.025847
iteration:150, time[s]:0.024916
iteration:151, time[s]:0.025898
iteration:152, time[s]:0.025757
iteration:153, time[s]:0.026002
iteration:154, time[s]:0.025913
iteration:155, time[s]:0.025612
iteration:156, time[s]:0.026095
iteration:157, time[s]:0.025495
iteration:158, time[s]:0.025802
iteration:159, time[s]:0.025185
iteration:160, time[s]:0.026026
iteration:161, time[s]:0.025853
iteration:162, time[s]:0.025639
iteration:163, time[s]:0.025840
iteration:164, time[s]:0.025594
iteration:165, time[s]:0.026076
iteration:166, time[s]:0.025379
iteration:167, time[s]:0.025779
iteration:168, time[s]:0.025577
iteration:169, time[s]:0.025833
iteration:170, time[s]:0.026845
iteration:171, time[s]:0.025928
iteration:172, time[s]:0.025959
iteration:173, time[s]:0.025482
iteration:174, time[s]:0.025938
iteration:175, time[s]:0.025847
iteration:176, time[s]:0.025981
iteration:177, time[s]:0.025647
iteration:178, time[s]:0.025766
iteration:179, time[s]:0.025912
iteration:180, time[s]:0.025838
iteration:181, time[s]:0.025737
iteration:182, time[s]:0.025640
iteration:183, time[s]:0.025956
iteration:184, time[s]:0.026364
iteration:185, time[s]:0.025261
iteration:186, time[s]:0.025812
iteration:187, time[s]:0.025636
iteration:188, time[s]:0.025789
iteration:189, time[s]:0.025310
iteration:190, time[s]:0.025618
iteration:191, time[s]:0.025537
iteration:192, time[s]:0.025894
iteration:193, time[s]:0.026059
iteration:194, time[s]:0.025694
iteration:195, time[s]:0.025557
iteration:196, time[s]:0.025492
iteration:197, time[s]:0.025525
iteration:198, time[s]:0.025852
iteration:199, time[s]:0.025702
iteration:200, time[s]:0.026002
iteration:201, time[s]:0.025788
iteration:202, time[s]:0.025584
iteration:203, time[s]:0.025762
iteration:204, time[s]:0.025827
iteration:205, time[s]:0.024735
iteration:206, time[s]:0.026145
iteration:207, time[s]:0.026037
iteration:208, time[s]:0.025899
iteration:209, time[s]:0.025635
iteration:210, time[s]:0.025829
iteration:211, time[s]:0.024615
iteration:212, time[s]:0.025800
iteration:213, time[s]:0.025935
iteration:214, time[s]:0.025451
iteration:215, time[s]:0.025697
iteration:216, time[s]:0.025280
iteration:217, time[s]:0.025448
iteration:218, time[s]:0.025536
iteration:219, time[s]:0.025719
iteration:220, time[s]:0.025628
iteration:221, time[s]:0.026137
iteration:222, time[s]:0.025695
iteration:223, time[s]:0.025853
iteration:224, time[s]:0.025424
iteration:225, time[s]:0.026134
iteration:226, time[s]:0.025759
iteration:227, time[s]:0.025892
iteration:228, time[s]:0.025119
iteration:229, time[s]:0.025893
iteration:230, time[s]:0.025211
iteration:231, time[s]:0.025850
iteration:232, time[s]:0.025946
iteration:233, time[s]:0.025437
iteration:234, time[s]:0.025483
iteration:235, time[s]:0.025632
iteration:236, time[s]:0.025684
iteration:237, time[s]:0.024806
iteration:238, time[s]:0.025532
iteration:239, time[s]:0.025693
iteration:240, time[s]:0.025575
iteration:241, time[s]:0.025730
iteration:242, time[s]:0.025838
iteration:243, time[s]:0.025874
iteration:244, time[s]:0.025993
iteration:245, time[s]:0.025880
iteration:246, time[s]:0.025848
iteration:247, time[s]:0.026318
iteration:248, time[s]:0.025809
iteration:249, time[s]:0.025701
iteration:250, time[s]:0.026690
iteration:251, time[s]:0.025868
iteration:252, time[s]:0.026332
iteration:253, time[s]:0.025893
iteration:254, time[s]:0.026052
iteration:255, time[s]:0.025895
iteration:256, time[s]:0.025702
iteration:257, time[s]:0.025870
iteration:258, time[s]:0.026196
iteration:259, time[s]:0.025946
iteration:260, time[s]:0.025949
iteration:261, time[s]:0.026166
iteration:262, time[s]:0.026032
iteration:263, time[s]:0.025828
iteration:264, time[s]:0.026172
iteration:265, time[s]:0.026195
iteration:266, time[s]:0.025768
iteration:267, time[s]:0.026393
iteration:268, time[s]:0.025611
iteration:269, time[s]:0.026163
iteration:270, time[s]:0.026038
iteration:271, time[s]:0.025924
iteration:272, time[s]:0.025071
iteration:273, time[s]:0.026051
iteration:274, time[s]:0.025734
iteration:275, time[s]:0.025999
iteration:276, time[s]:0.025879
iteration:277, time[s]:0.026122
iteration:278, time[s]:0.026063
iteration:279, time[s]:0.025772
iteration:280, time[s]:0.025752
iteration:281, time[s]:0.025655
iteration:282, time[s]:0.025952
iteration:283, time[s]:0.025650
iteration:284, time[s]:0.026552
iteration:285, time[s]:0.025982
iteration:286, time[s]:0.026154
iteration:287, time[s]:0.026027
iteration:288, time[s]:0.025670
iteration:289, time[s]:0.025795
iteration:290, time[s]:0.026100
iteration:291, time[s]:0.025993
iteration:292, time[s]:0.026171
iteration:293, time[s]:0.026057
iteration:294, time[s]:0.025354
iteration:295, time[s]:0.025352
iteration:296, time[s]:0.026396
iteration:297, time[s]:0.026041
iteration:298, time[s]:0.026009
iteration:299, time[s]:0.025618
iteration:300, time[s]:0.025680
iteration:301, time[s]:0.026154
iteration:302, time[s]:0.026041
iteration:303, time[s]:0.025985
iteration:304, time[s]:0.025853
iteration:305, time[s]:0.025934
iteration:306, time[s]:0.025988
iteration:307, time[s]:0.025429
iteration:308, time[s]:0.026220
iteration:309, time[s]:0.025920
iteration:310, time[s]:0.025908
iteration:311, time[s]:0.025740
iteration:312, time[s]:0.025665
iteration:313, time[s]:0.026020
iteration:314, time[s]:0.026189
iteration:315, time[s]:0.025938
iteration:316, time[s]:0.025509
iteration:317, time[s]:0.025616
iteration:318, time[s]:0.025879
iteration:319, time[s]:0.025927
iteration:320, time[s]:0.025367
iteration:321, time[s]:0.025616
iteration:322, time[s]:0.026112
iteration:323, time[s]:0.025966
iteration:324, time[s]:0.025850
iteration:325, time[s]:0.025916
iteration:326, time[s]:0.025801
iteration:327, time[s]:0.025524
iteration:328, time[s]:0.025808
iteration:329, time[s]:0.025931
iteration:330, time[s]:0.026383
iteration:331, time[s]:0.025853
iteration:332, time[s]:0.025925
iteration:333, time[s]:0.025912
iteration:334, time[s]:0.026092
iteration:335, time[s]:0.025949
iteration:336, time[s]:0.026358
iteration:337, time[s]:0.025765
iteration:338, time[s]:0.026157
iteration:339, time[s]:0.025715
iteration:340, time[s]:0.026100
iteration:341, time[s]:0.025916
iteration:342, time[s]:0.025617
iteration:343, time[s]:0.025533
