alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.055556
iteration:1, time[s]:0.041330
iteration:2, time[s]:0.045778
iteration:3, time[s]:0.046891
iteration:4, time[s]:0.046325
iteration:5, time[s]:0.046318
iteration:6, time[s]:0.251510
iteration:7, time[s]:0.047323
iteration:8, time[s]:0.047233
iteration:9, time[s]:0.046611
iteration:10, time[s]:0.046778
iteration:11, time[s]:0.046692
iteration:12, time[s]:0.046785
iteration:13, time[s]:0.061137
iteration:14, time[s]:0.046763
iteration:15, time[s]:0.047439
iteration:16, time[s]:0.047391
iteration:17, time[s]:0.047497
iteration:18, time[s]:0.046880
iteration:19, time[s]:0.046977
iteration:20, time[s]:0.044762
iteration:21, time[s]:0.046975
iteration:22, time[s]:0.047223
iteration:23, time[s]:0.046295
iteration:24, time[s]:0.047659
iteration:25, time[s]:0.046805
iteration:26, time[s]:0.046673
iteration:27, time[s]:0.047108
iteration:28, time[s]:0.047300
iteration:29, time[s]:0.046645
iteration:30, time[s]:0.046663
iteration:31, time[s]:0.046739
iteration:32, time[s]:0.046729
iteration:33, time[s]:0.047519
iteration:34, time[s]:0.046788
iteration:35, time[s]:0.046585
iteration:36, time[s]:0.046465
iteration:37, time[s]:0.047257
iteration:38, time[s]:0.046946
iteration:39, time[s]:0.047062
iteration:40, time[s]:0.046539
iteration:41, time[s]:0.046779
iteration:42, time[s]:0.046990
iteration:43, time[s]:0.046952
iteration:44, time[s]:0.046539
iteration:45, time[s]:0.046478
iteration:46, time[s]:0.046984
iteration:47, time[s]:0.046505
iteration:48, time[s]:0.047046
iteration:49, time[s]:0.044005
iteration:50, time[s]:0.046641
iteration:51, time[s]:0.042329
iteration:52, time[s]:0.046911
iteration:53, time[s]:0.046936
iteration:54, time[s]:0.046836
iteration:55, time[s]:0.046847
iteration:56, time[s]:0.047062
iteration:57, time[s]:0.046545
iteration:58, time[s]:0.044164
iteration:59, time[s]:0.046626
iteration:60, time[s]:0.046869
iteration:61, time[s]:0.046771
iteration:62, time[s]:0.047297
iteration:63, time[s]:0.047350
iteration:64, time[s]:0.047101
iteration:65, time[s]:0.046589
iteration:66, time[s]:0.047292
iteration:67, time[s]:0.046525
iteration:68, time[s]:0.046698
iteration:69, time[s]:0.047330
iteration:70, time[s]:0.047004
iteration:71, time[s]:0.047237
iteration:72, time[s]:0.047281
iteration:73, time[s]:0.047025
iteration:74, time[s]:0.046297
iteration:75, time[s]:0.047100
iteration:76, time[s]:0.046972
iteration:77, time[s]:0.046654
iteration:78, time[s]:0.047121
iteration:79, time[s]:0.046874
iteration:80, time[s]:0.047431
iteration:81, time[s]:0.047413
iteration:82, time[s]:0.045759
iteration:83, time[s]:0.046840
iteration:84, time[s]:0.047422
iteration:85, time[s]:0.046560
iteration:86, time[s]:0.047369
iteration:87, time[s]:0.046864
iteration:88, time[s]:0.040874
iteration:89, time[s]:0.040878
iteration:90, time[s]:0.040763
iteration:91, time[s]:0.041191
iteration:92, time[s]:0.040531
iteration:93, time[s]:0.041178
iteration:94, time[s]:0.040807
iteration:95, time[s]:0.041260
iteration:96, time[s]:0.041036
iteration:97, time[s]:0.040678
iteration:98, time[s]:0.041219
iteration:99, time[s]:0.041112
iteration:100, time[s]:0.041494
iteration:101, time[s]:0.040374
iteration:102, time[s]:0.041079
iteration:103, time[s]:0.041162
iteration:104, time[s]:0.040807
iteration:105, time[s]:0.040747
iteration:106, time[s]:0.040661
iteration:107, time[s]:0.040059
iteration:108, time[s]:0.041378
iteration:109, time[s]:0.041340
iteration:110, time[s]:0.041643
iteration:111, time[s]:0.040601
iteration:112, time[s]:0.040687
iteration:113, time[s]:0.040612
iteration:114, time[s]:0.040965
iteration:115, time[s]:0.040720
iteration:116, time[s]:0.040990
iteration:117, time[s]:0.040231
iteration:118, time[s]:0.040680
iteration:119, time[s]:0.040807
iteration:120, time[s]:0.040465
iteration:121, time[s]:0.040848
iteration:122, time[s]:0.041029
iteration:123, time[s]:0.040741
iteration:124, time[s]:0.040863
iteration:125, time[s]:0.040983
iteration:126, time[s]:0.038242
iteration:127, time[s]:0.038864
iteration:128, time[s]:0.040988
iteration:129, time[s]:0.041308
iteration:130, time[s]:0.040741
iteration:131, time[s]:0.040749
iteration:132, time[s]:0.040804
iteration:133, time[s]:0.041392
iteration:134, time[s]:0.040717
iteration:135, time[s]:0.041222
iteration:136, time[s]:0.041050
iteration:137, time[s]:0.041044
iteration:138, time[s]:0.041274
iteration:139, time[s]:0.041040
iteration:140, time[s]:0.041509
iteration:141, time[s]:0.041435
iteration:142, time[s]:0.040703
iteration:143, time[s]:0.041088
iteration:144, time[s]:0.040870
iteration:145, time[s]:0.041135
iteration:146, time[s]:0.040328
iteration:147, time[s]:0.040874
iteration:148, time[s]:0.041605
iteration:149, time[s]:0.040312
iteration:150, time[s]:0.040856
iteration:151, time[s]:0.041194
iteration:152, time[s]:0.040339
iteration:153, time[s]:0.041142
iteration:154, time[s]:0.040990
iteration:155, time[s]:0.041922
iteration:156, time[s]:0.041114
iteration:157, time[s]:0.041584
iteration:158, time[s]:0.041479
iteration:159, time[s]:0.040952
iteration:160, time[s]:0.039840
iteration:161, time[s]:0.041200
iteration:162, time[s]:0.041038
iteration:163, time[s]:0.041171
iteration:164, time[s]:0.041481
iteration:165, time[s]:0.040951
iteration:166, time[s]:0.040376
iteration:167, time[s]:0.040862
iteration:168, time[s]:0.042032
iteration:169, time[s]:0.041429
iteration:170, time[s]:0.041743
iteration:171, time[s]:0.040657
iteration:172, time[s]:0.040695
iteration:173, time[s]:0.040266
iteration:174, time[s]:0.039657
iteration:175, time[s]:0.040566
iteration:176, time[s]:0.040722
iteration:177, time[s]:0.041216
iteration:178, time[s]:0.040742
iteration:179, time[s]:0.040785
iteration:180, time[s]:0.041233
iteration:181, time[s]:0.040477
iteration:182, time[s]:0.041064
iteration:183, time[s]:0.039647
iteration:184, time[s]:0.041300
iteration:185, time[s]:0.040828
iteration:186, time[s]:0.041149
iteration:187, time[s]:0.041375
iteration:188, time[s]:0.041147
iteration:189, time[s]:0.041551
iteration:190, time[s]:0.041196
iteration:191, time[s]:0.041065
iteration:192, time[s]:0.041053
iteration:193, time[s]:0.041629
iteration:194, time[s]:0.041079
iteration:195, time[s]:0.041367
iteration:196, time[s]:0.041139
iteration:197, time[s]:0.041084
iteration:198, time[s]:0.041240
iteration:199, time[s]:0.040612
iteration:200, time[s]:0.041486
iteration:201, time[s]:0.040689
iteration:202, time[s]:0.041140
iteration:203, time[s]:0.040861
iteration:204, time[s]:0.049718
iteration:205, time[s]:0.046793
iteration:206, time[s]:0.046800
iteration:207, time[s]:0.049297
iteration:208, time[s]:0.046984
iteration:209, time[s]:0.046776
iteration:210, time[s]:0.046618
iteration:211, time[s]:0.046971
iteration:212, time[s]:0.046422
iteration:213, time[s]:0.046470
iteration:214, time[s]:0.046572
iteration:215, time[s]:0.046550
iteration:216, time[s]:0.046879
iteration:217, time[s]:0.046883
iteration:218, time[s]:0.046408
iteration:219, time[s]:0.046398
iteration:220, time[s]:0.046501
iteration:221, time[s]:0.046593
