alveo1a, bytes:4194304, num_elements:1048576, num_trials:100
alveo3b, bytes:4194304, num_elements:1048576, num_trials:100
alveo1b, bytes:4194304, num_elements:1048576, num_trials:100
alveo4b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2a, bytes:4194304, num_elements:1048576, num_trials:100
iteration:0, time[s]:0.010767
iteration:1, time[s]:0.004995
iteration:2, time[s]:0.003220
iteration:3, time[s]:0.003723
iteration:4, time[s]:0.003324
iteration:5, time[s]:0.003222
iteration:6, time[s]:0.003090
iteration:7, time[s]:0.002926
iteration:8, time[s]:0.003225
iteration:9, time[s]:0.003046
iteration:10, time[s]:0.003106
iteration:11, time[s]:0.002918
iteration:12, time[s]:0.003099
iteration:13, time[s]:0.002942
iteration:14, time[s]:0.002967
iteration:15, time[s]:0.002906
iteration:16, time[s]:0.003001
iteration:17, time[s]:0.002974
iteration:18, time[s]:0.003016
iteration:19, time[s]:0.002832
iteration:20, time[s]:0.002872
iteration:21, time[s]:0.002999
iteration:22, time[s]:0.003051
iteration:23, time[s]:0.003012
iteration:24, time[s]:0.002951
iteration:25, time[s]:0.002866
iteration:26, time[s]:0.002949
iteration:27, time[s]:0.002878
iteration:28, time[s]:0.002854
iteration:29, time[s]:0.002808
iteration:30, time[s]:0.003000
iteration:31, time[s]:0.002878
iteration:32, time[s]:0.002696
iteration:33, time[s]:0.002862
iteration:34, time[s]:0.002869
iteration:35, time[s]:0.002817
iteration:36, time[s]:0.002904
iteration:37, time[s]:0.002799
iteration:38, time[s]:0.002836
iteration:39, time[s]:0.002944
iteration:40, time[s]:0.002832
iteration:41, time[s]:0.002901
iteration:42, time[s]:0.002953
iteration:43, time[s]:0.002888
iteration:44, time[s]:0.002944
iteration:45, time[s]:0.002935
iteration:46, time[s]:0.002937
iteration:47, time[s]:0.002836
iteration:48, time[s]:0.002786
iteration:49, time[s]:0.002910
iteration:50, time[s]:0.002832
iteration:51, time[s]:0.002860
iteration:52, time[s]:0.002803
iteration:53, time[s]:0.002934
iteration:54, time[s]:0.002930
iteration:55, time[s]:0.003090
iteration:56, time[s]:0.002853
iteration:57, time[s]:0.003062
iteration:58, time[s]:0.002855
iteration:59, time[s]:0.002898
iteration:60, time[s]:0.002909
iteration:61, time[s]:0.002937
iteration:62, time[s]:0.002758
iteration:63, time[s]:0.002968
iteration:64, time[s]:0.002791
iteration:65, time[s]:0.002745
iteration:66, time[s]:0.002980
iteration:67, time[s]:0.003115
iteration:68, time[s]:0.002742
iteration:69, time[s]:0.002908
iteration:70, time[s]:0.003033
iteration:71, time[s]:0.002768
iteration:72, time[s]:0.002838
iteration:73, time[s]:0.003051
iteration:74, time[s]:0.002822
iteration:75, time[s]:0.002943
iteration:76, time[s]:0.002846
iteration:77, time[s]:0.002776
iteration:78, time[s]:0.002819
iteration:79, time[s]:0.002980
iteration:80, time[s]:0.002772
iteration:81, time[s]:0.003025
iteration:82, time[s]:0.002969
iteration:83, time[s]:0.002811
iteration:84, time[s]:0.002706
iteration:85, time[s]:0.003041
iteration:86, time[s]:0.002840
iteration:87, time[s]:0.002957
iteration:88, time[s]:0.002695
iteration:89, time[s]:0.002949
iteration:90, time[s]:0.002730
iteration:91, time[s]:0.002847
iteration:92, time[s]:0.002521
iteration:93, time[s]:0.002871
iteration:94, time[s]:0.002787
iteration:95, time[s]:0.002714
iteration:96, time[s]:0.002851
iteration:97, time[s]:0.002896
iteration:98, time[s]:0.002796
iteration:99, time[s]:0.002709
iteration:100, time[s]:0.002889
Allgather per rank send element count:174762, byte count:699048, trials:100, Avg MPI_Allgather time [us]= *2935.223030
