alveo1a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3c, bytes:4194304, num_elements:1048576, num_trials:1000
alveo4b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo1b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2a, bytes:4194304, num_elements:1048576, num_trials:1000
iteration:0, time[s]:0.010587
iteration:1, time[s]:0.004426
iteration:2, time[s]:0.003486
iteration:3, time[s]:0.003366
iteration:4, time[s]:0.003174
iteration:5, time[s]:0.003226
iteration:6, time[s]:0.003104
iteration:7, time[s]:0.002903
iteration:8, time[s]:0.019784
iteration:9, time[s]:0.003127
iteration:10, time[s]:0.002835
iteration:11, time[s]:0.016239
iteration:12, time[s]:0.002885
iteration:13, time[s]:0.003005
iteration:14, time[s]:0.002832
iteration:15, time[s]:0.003052
iteration:16, time[s]:0.018663
iteration:17, time[s]:0.003097
iteration:18, time[s]:0.002807
iteration:19, time[s]:0.002879
iteration:20, time[s]:0.002793
iteration:21, time[s]:0.002947
iteration:22, time[s]:0.002798
iteration:23, time[s]:0.017485
iteration:24, time[s]:0.003193
iteration:25, time[s]:0.002790
iteration:26, time[s]:0.003235
iteration:27, time[s]:0.016828
iteration:28, time[s]:0.015291
iteration:29, time[s]:0.002981
iteration:30, time[s]:0.002674
iteration:31, time[s]:0.002964
iteration:32, time[s]:0.002784
iteration:33, time[s]:0.003082
iteration:34, time[s]:0.002774
iteration:35, time[s]:0.002818
iteration:36, time[s]:0.003207
iteration:37, time[s]:0.002930
iteration:38, time[s]:0.002815
iteration:39, time[s]:0.003617
iteration:40, time[s]:0.002791
iteration:41, time[s]:0.003011
iteration:42, time[s]:0.003099
iteration:43, time[s]:0.003054
iteration:44, time[s]:0.003054
iteration:45, time[s]:0.002739
iteration:46, time[s]:0.002868
iteration:47, time[s]:0.002994
iteration:48, time[s]:0.003019
iteration:49, time[s]:0.002851
iteration:50, time[s]:0.002969
iteration:51, time[s]:0.002936
iteration:52, time[s]:0.002754
iteration:53, time[s]:0.003376
iteration:54, time[s]:0.002732
iteration:55, time[s]:0.003006
iteration:56, time[s]:0.003057
iteration:57, time[s]:0.002973
iteration:58, time[s]:0.002759
iteration:59, time[s]:0.003070
iteration:60, time[s]:0.002841
iteration:61, time[s]:0.003366
iteration:62, time[s]:0.002847
iteration:63, time[s]:0.002784
iteration:64, time[s]:0.003059
iteration:65, time[s]:0.002963
iteration:66, time[s]:0.002922
iteration:67, time[s]:0.002986
iteration:68, time[s]:0.002806
iteration:69, time[s]:0.003123
iteration:70, time[s]:0.003043
iteration:71, time[s]:0.003137
iteration:72, time[s]:0.003244
iteration:73, time[s]:0.003180
iteration:74, time[s]:0.003014
iteration:75, time[s]:0.003038
iteration:76, time[s]:0.002924
iteration:77, time[s]:0.002804
iteration:78, time[s]:0.002999
iteration:79, time[s]:0.003119
iteration:80, time[s]:0.002815
iteration:81, time[s]:0.003391
iteration:82, time[s]:0.002875
iteration:83, time[s]:0.003210
iteration:84, time[s]:0.002979
iteration:85, time[s]:0.002789
iteration:86, time[s]:0.002778
iteration:87, time[s]:0.002810
iteration:88, time[s]:0.002889
iteration:89, time[s]:0.003151
iteration:90, time[s]:0.002917
iteration:91, time[s]:0.002811
iteration:92, time[s]:0.002838
iteration:93, time[s]:0.002982
iteration:94, time[s]:0.002803
iteration:95, time[s]:0.003277
