alveo1a, bytes:8388608, num_elements:2097152, num_trials:100
alveo3b, bytes:8388608, num_elements:2097152, num_trials:100
alveo4c, bytes:8388608, num_elements:2097152, num_trials:100
alveo4b, bytes:8388608, num_elements:2097152, num_trials:100
alveo2b, bytes:8388608, num_elements:2097152, num_trials:100
alveo1b, bytes:8388608, num_elements:2097152, num_trials:100
alveo2a, bytes:8388608, num_elements:2097152, num_trials:100
iteration:0, time[s]:0.016343
iteration:1, time[s]:0.008049
iteration:2, time[s]:0.006296
iteration:3, time[s]:0.005702
iteration:4, time[s]:0.005723
iteration:5, time[s]:0.005152
iteration:6, time[s]:0.005261
iteration:7, time[s]:0.004988
iteration:8, time[s]:0.005173
iteration:9, time[s]:0.005674
iteration:10, time[s]:0.005079
iteration:11, time[s]:0.005050
iteration:12, time[s]:0.018001
iteration:13, time[s]:0.005022
iteration:14, time[s]:0.005048
iteration:15, time[s]:0.005349
iteration:16, time[s]:0.020840
iteration:17, time[s]:0.004935
iteration:18, time[s]:0.005232
iteration:19, time[s]:0.005040
iteration:20, time[s]:0.018613
iteration:21, time[s]:0.004654
iteration:22, time[s]:0.020459
iteration:23, time[s]:0.004979
iteration:24, time[s]:0.005288
iteration:25, time[s]:0.005449
iteration:26, time[s]:0.005141
iteration:27, time[s]:0.005010
iteration:28, time[s]:0.004798
iteration:29, time[s]:0.004900
iteration:30, time[s]:0.005026
iteration:31, time[s]:0.005051
iteration:32, time[s]:0.019208
iteration:33, time[s]:0.004903
iteration:34, time[s]:0.004931
iteration:35, time[s]:0.004982
iteration:36, time[s]:0.005222
iteration:37, time[s]:0.004989
iteration:38, time[s]:0.004998
iteration:39, time[s]:0.005119
iteration:40, time[s]:0.005066
iteration:41, time[s]:0.004954
iteration:42, time[s]:0.005557
iteration:43, time[s]:0.005080
iteration:44, time[s]:0.004981
iteration:45, time[s]:0.016798
iteration:46, time[s]:0.018942
iteration:47, time[s]:0.005133
iteration:48, time[s]:0.005002
iteration:49, time[s]:0.004972
iteration:50, time[s]:0.005072
iteration:51, time[s]:0.005239
iteration:52, time[s]:0.005046
iteration:53, time[s]:0.005207
iteration:54, time[s]:0.008883
iteration:55, time[s]:0.007390
iteration:56, time[s]:0.005776
iteration:57, time[s]:0.005608
iteration:58, time[s]:0.005380
iteration:59, time[s]:0.005339
iteration:60, time[s]:0.005388
iteration:61, time[s]:0.005172
iteration:62, time[s]:0.019934
iteration:63, time[s]:0.005484
iteration:64, time[s]:0.005248
iteration:65, time[s]:0.005428
iteration:66, time[s]:0.005189
iteration:67, time[s]:0.005328
iteration:68, time[s]:0.005555
iteration:69, time[s]:0.005240
iteration:70, time[s]:0.005231
iteration:71, time[s]:0.005344
iteration:72, time[s]:0.005417
iteration:73, time[s]:0.005111
iteration:74, time[s]:0.005246
iteration:75, time[s]:0.005397
iteration:76, time[s]:0.005348
iteration:77, time[s]:0.005700
iteration:78, time[s]:0.005411
iteration:79, time[s]:0.005285
iteration:80, time[s]:0.005288
iteration:81, time[s]:0.005665
iteration:82, time[s]:0.005375
iteration:83, time[s]:0.005372
iteration:84, time[s]:0.005344
iteration:85, time[s]:0.005277
iteration:86, time[s]:0.005030
iteration:87, time[s]:0.005454
iteration:88, time[s]:0.005336
iteration:89, time[s]:0.005503
iteration:90, time[s]:0.005036
iteration:91, time[s]:0.005130
iteration:92, time[s]:0.005277
iteration:93, time[s]:0.005489
iteration:94, time[s]:0.005175
iteration:95, time[s]:0.005353
iteration:96, time[s]:0.005249
iteration:97, time[s]:0.005347
iteration:98, time[s]:0.005547
iteration:99, time[s]:0.005445
iteration:100, time[s]:0.005141
Allgather per rank send element count:299593, byte count:1198372, trials:100, Avg MPI_Allgather time [us]= *6440.488920
