alveo4b, bytes:262144, num_elements:65536, num_trials:1000
alveo3c, bytes:262144, num_elements:65536, num_trials:1000
alveo4c, bytes:262144, num_elements:65536, num_trials:1000
alveo3b, bytes:262144, num_elements:65536, num_trials:1000
iteration:0, time[s]:0.001182
iteration:1, time[s]:0.000657
iteration:2, time[s]:0.000457
iteration:3, time[s]:0.000652
iteration:4, time[s]:0.000462
iteration:5, time[s]:0.000379
iteration:6, time[s]:0.000371
iteration:7, time[s]:0.000565
iteration:8, time[s]:0.000422
iteration:9, time[s]:0.000582
iteration:10, time[s]:0.000674
iteration:11, time[s]:0.000503
iteration:12, time[s]:0.000390
iteration:13, time[s]:0.000436
iteration:14, time[s]:0.000448
iteration:15, time[s]:0.000444
iteration:16, time[s]:0.000410
iteration:17, time[s]:0.000393
iteration:18, time[s]:0.000558
iteration:19, time[s]:0.000503
iteration:20, time[s]:0.000573
iteration:21, time[s]:0.000466
iteration:22, time[s]:0.000484
iteration:23, time[s]:0.000461
iteration:24, time[s]:0.000512
iteration:25, time[s]:0.000481
iteration:26, time[s]:0.000529
iteration:27, time[s]:0.000443
iteration:28, time[s]:0.000417
iteration:29, time[s]:0.000439
iteration:30, time[s]:0.000418
iteration:31, time[s]:0.000458
iteration:32, time[s]:0.000564
iteration:33, time[s]:0.000421
iteration:34, time[s]:0.000581
iteration:35, time[s]:0.000400
iteration:36, time[s]:0.000478
iteration:37, time[s]:0.000546
iteration:38, time[s]:0.000462
iteration:39, time[s]:0.000537
iteration:40, time[s]:0.000514
iteration:41, time[s]:0.000482
iteration:42, time[s]:0.000512
iteration:43, time[s]:0.000509
iteration:44, time[s]:0.000513
iteration:45, time[s]:0.000453
iteration:46, time[s]:0.000483
iteration:47, time[s]:0.000508
iteration:48, time[s]:0.000758
iteration:49, time[s]:0.000505
iteration:50, time[s]:0.000448
iteration:51, time[s]:0.000726
iteration:52, time[s]:0.000480
iteration:53, time[s]:0.000419
iteration:54, time[s]:0.000491
iteration:55, time[s]:0.000579
iteration:56, time[s]:0.000723
iteration:57, time[s]:0.000458
iteration:58, time[s]:0.000432
iteration:59, time[s]:0.000416
iteration:60, time[s]:0.000639
iteration:61, time[s]:0.000455
iteration:62, time[s]:0.000532
iteration:63, time[s]:0.000505
iteration:64, time[s]:0.000492
iteration:65, time[s]:0.000459
iteration:66, time[s]:0.000430
iteration:67, time[s]:0.000617
iteration:68, time[s]:0.000434
iteration:69, time[s]:0.000479
iteration:70, time[s]:0.000476
iteration:71, time[s]:0.000508
iteration:72, time[s]:0.000502
iteration:73, time[s]:0.000354
iteration:74, time[s]:0.000421
iteration:75, time[s]:0.000389
iteration:76, time[s]:0.000363
iteration:77, time[s]:0.000369
iteration:78, time[s]:0.000309
iteration:79, time[s]:0.000362
