alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.041680
iteration:1, time[s]:0.024554
iteration:2, time[s]:0.023485
iteration:3, time[s]:0.021897
iteration:4, time[s]:0.023280
iteration:5, time[s]:0.022462
iteration:6, time[s]:0.036955
iteration:7, time[s]:0.022631
iteration:8, time[s]:0.023339
iteration:9, time[s]:0.022803
iteration:10, time[s]:0.022826
iteration:11, time[s]:0.023066
iteration:12, time[s]:0.023011
iteration:13, time[s]:0.022384
iteration:14, time[s]:0.023499
iteration:15, time[s]:0.021951
iteration:16, time[s]:0.022436
iteration:17, time[s]:0.022922
iteration:18, time[s]:0.022818
iteration:19, time[s]:0.022946
iteration:20, time[s]:0.022536
iteration:21, time[s]:0.023125
iteration:22, time[s]:0.022733
iteration:23, time[s]:0.022666
iteration:24, time[s]:0.022295
iteration:25, time[s]:0.023019
iteration:26, time[s]:0.023145
iteration:27, time[s]:0.023425
iteration:28, time[s]:0.023283
iteration:29, time[s]:0.023813
iteration:30, time[s]:0.023719
iteration:31, time[s]:0.023697
iteration:32, time[s]:0.023432
iteration:33, time[s]:0.023214
iteration:34, time[s]:0.022952
iteration:35, time[s]:0.024087
iteration:36, time[s]:0.023286
iteration:37, time[s]:0.022852
iteration:38, time[s]:0.022681
iteration:39, time[s]:0.022364
iteration:40, time[s]:0.022489
iteration:41, time[s]:0.021971
iteration:42, time[s]:0.021914
iteration:43, time[s]:0.021876
iteration:44, time[s]:0.021967
iteration:45, time[s]:0.022404
iteration:46, time[s]:0.022248
iteration:47, time[s]:0.022678
iteration:48, time[s]:0.021954
iteration:49, time[s]:0.022504
iteration:50, time[s]:0.021840
iteration:51, time[s]:0.021607
iteration:52, time[s]:0.021623
iteration:53, time[s]:0.022113
iteration:54, time[s]:0.022523
iteration:55, time[s]:0.022902
iteration:56, time[s]:0.022318
iteration:57, time[s]:0.023403
iteration:58, time[s]:0.022408
iteration:59, time[s]:0.022131
iteration:60, time[s]:0.023037
iteration:61, time[s]:0.022513
iteration:62, time[s]:0.023829
iteration:63, time[s]:0.022962
iteration:64, time[s]:0.022917
iteration:65, time[s]:0.022774
iteration:66, time[s]:0.023676
iteration:67, time[s]:0.022219
iteration:68, time[s]:0.022739
iteration:69, time[s]:0.023836
iteration:70, time[s]:0.022998
iteration:71, time[s]:0.023489
iteration:72, time[s]:0.022994
iteration:73, time[s]:0.022366
iteration:74, time[s]:0.022339
iteration:75, time[s]:0.023333
iteration:76, time[s]:0.023236
iteration:77, time[s]:0.022067
iteration:78, time[s]:0.022479
iteration:79, time[s]:0.023442
iteration:80, time[s]:0.023231
iteration:81, time[s]:0.021956
iteration:82, time[s]:0.022784
iteration:83, time[s]:0.022718
iteration:84, time[s]:0.022253
iteration:85, time[s]:0.022664
iteration:86, time[s]:0.022563
iteration:87, time[s]:0.023286
iteration:88, time[s]:0.022384
iteration:89, time[s]:0.022973
iteration:90, time[s]:0.023441
iteration:91, time[s]:0.024325
iteration:92, time[s]:0.023609
iteration:93, time[s]:0.023703
iteration:94, time[s]:0.022678
iteration:95, time[s]:0.021989
iteration:96, time[s]:0.022280
iteration:97, time[s]:0.023181
iteration:98, time[s]:0.022145
iteration:99, time[s]:0.022969
iteration:100, time[s]:0.022250
iteration:101, time[s]:0.021212
iteration:102, time[s]:0.022369
iteration:103, time[s]:0.022856
iteration:104, time[s]:0.021885
iteration:105, time[s]:0.022151
iteration:106, time[s]:0.022452
iteration:107, time[s]:0.022056
iteration:108, time[s]:0.022295
iteration:109, time[s]:0.022190
iteration:110, time[s]:0.022779
iteration:111, time[s]:0.022529
iteration:112, time[s]:0.023159
iteration:113, time[s]:0.022554
iteration:114, time[s]:0.022335
iteration:115, time[s]:0.022617
iteration:116, time[s]:0.022859
iteration:117, time[s]:0.022753
iteration:118, time[s]:0.022513
iteration:119, time[s]:0.023096
iteration:120, time[s]:0.022973
iteration:121, time[s]:0.022056
iteration:122, time[s]:0.022006
iteration:123, time[s]:0.022345
iteration:124, time[s]:0.022197
iteration:125, time[s]:0.021778
iteration:126, time[s]:0.021768
iteration:127, time[s]:0.022214
iteration:128, time[s]:0.022063
iteration:129, time[s]:0.022381
iteration:130, time[s]:0.022431
iteration:131, time[s]:0.021586
iteration:132, time[s]:0.022258
iteration:133, time[s]:0.023190
