XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.006477, H2H_time:0.005461, sync_time:0.001016
iteration:1, F2F_time[s]:0.004537, H2H_time:0.003564, sync_time:0.000973
iteration:2, F2F_time[s]:0.004106, H2H_time:0.003064, sync_time:0.001042
iteration:3, F2F_time[s]:0.003709, H2H_time:0.002631, sync_time:0.001077
iteration:4, F2F_time[s]:0.003491, H2H_time:0.002472, sync_time:0.001019
iteration:5, F2F_time[s]:0.002671, H2H_time:0.001708, sync_time:0.000963
iteration:6, F2F_time[s]:0.003068, H2H_time:0.002094, sync_time:0.000974
iteration:7, F2F_time[s]:0.002930, H2H_time:0.001935, sync_time:0.000994
iteration:8, F2F_time[s]:0.002761, H2H_time:0.001800, sync_time:0.000961
iteration:9, F2F_time[s]:0.002764, H2H_time:0.001798, sync_time:0.000966
iteration:10, F2F_time[s]:0.002977, H2H_time:0.001953, sync_time:0.001025
iteration:11, F2F_time[s]:0.002519, H2H_time:0.001586, sync_time:0.000933
iteration:12, F2F_time[s]:0.002742, H2H_time:0.001784, sync_time:0.000958
iteration:13, F2F_time[s]:0.002766, H2H_time:0.001807, sync_time:0.000959
iteration:14, F2F_time[s]:0.003076, H2H_time:0.002035, sync_time:0.001041
iteration:15, F2F_time[s]:0.002759, H2H_time:0.001734, sync_time:0.001024
iteration:16, F2F_time[s]:0.003225, H2H_time:0.002183, sync_time:0.001042
iteration:17, F2F_time[s]:0.002964, H2H_time:0.001977, sync_time:0.000987
iteration:18, F2F_time[s]:0.002798, H2H_time:0.001841, sync_time:0.000957
iteration:19, F2F_time[s]:0.002617, H2H_time:0.001628, sync_time:0.000989
iteration:20, F2F_time[s]:0.002678, H2H_time:0.001666, sync_time:0.001012
iteration:21, F2F_time[s]:0.002681, H2H_time:0.001661, sync_time:0.001020
iteration:22, F2F_time[s]:0.002730, H2H_time:0.001732, sync_time:0.000999
iteration:23, F2F_time[s]:0.002655, H2H_time:0.001610, sync_time:0.001044
iteration:24, F2F_time[s]:0.002675, H2H_time:0.001670, sync_time:0.001004
iteration:25, F2F_time[s]:0.002545, H2H_time:0.001606, sync_time:0.000939
iteration:26, F2F_time[s]:0.002372, H2H_time:0.001398, sync_time:0.000974
iteration:27, F2F_time[s]:0.002353, H2H_time:0.001454, sync_time:0.000899
iteration:28, F2F_time[s]:0.002922, H2H_time:0.001934, sync_time:0.000988
iteration:29, F2F_time[s]:0.002825, H2H_time:0.001796, sync_time:0.001029
iteration:30, F2F_time[s]:0.002994, H2H_time:0.002005, sync_time:0.000989
iteration:31, F2F_time[s]:0.002755, H2H_time:0.001776, sync_time:0.000979
iteration:32, F2F_time[s]:0.003143, H2H_time:0.002088, sync_time:0.001055
iteration:33, F2F_time[s]:0.003129, H2H_time:0.002071, sync_time:0.001058
iteration:34, F2F_time[s]:0.002688, H2H_time:0.001757, sync_time:0.000931
iteration:35, F2F_time[s]:0.002775, H2H_time:0.001890, sync_time:0.000885
iteration:36, F2F_time[s]:0.003018, H2H_time:0.002006, sync_time:0.001013
iteration:37, F2F_time[s]:0.003128, H2H_time:0.002097, sync_time:0.001031
iteration:38, F2F_time[s]:0.003000, H2H_time:0.001966, sync_time:0.001034
iteration:39, F2F_time[s]:0.002865, H2H_time:0.001838, sync_time:0.001027
iteration:40, F2F_time[s]:0.002823, H2H_time:0.001851, sync_time:0.000972
iteration:41, F2F_time[s]:0.002865, H2H_time:0.001814, sync_time:0.001051
iteration:42, F2F_time[s]:0.002452, H2H_time:0.001428, sync_time:0.001024
iteration:43, F2F_time[s]:0.002903, H2H_time:0.001923, sync_time:0.000980
iteration:44, F2F_time[s]:0.002863, H2H_time:0.001942, sync_time:0.000920
iteration:45, F2F_time[s]:0.002772, H2H_time:0.001739, sync_time:0.001033
iteration:46, F2F_time[s]:0.002843, H2H_time:0.001844, sync_time:0.000999
iteration:47, F2F_time[s]:0.002686, H2H_time:0.001677, sync_time:0.001009
iteration:48, F2F_time[s]:0.002932, H2H_time:0.001882, sync_time:0.001050
iteration:49, F2F_time[s]:0.002907, H2H_time:0.001823, sync_time:0.001084
iteration:50, F2F_time[s]:0.003103, H2H_time:0.002036, sync_time:0.001067
iteration:51, F2F_time[s]:0.002883, H2H_time:0.001908, sync_time:0.000976
iteration:52, F2F_time[s]:0.002532, H2H_time:0.001568, sync_time:0.000964
iteration:53, F2F_time[s]:0.002518, H2H_time:0.001551, sync_time:0.000968
iteration:54, F2F_time[s]:0.002701, H2H_time:0.001665, sync_time:0.001036
iteration:55, F2F_time[s]:0.003033, H2H_time:0.001975, sync_time:0.001058
iteration:56, F2F_time[s]:0.002494, H2H_time:0.001518, sync_time:0.000977
iteration:57, F2F_time[s]:0.002558, H2H_time:0.001635, sync_time:0.000923
iteration:58, F2F_time[s]:0.002471, H2H_time:0.001423, sync_time:0.001049
iteration:59, F2F_time[s]:0.002621, H2H_time:0.001649, sync_time:0.000973
iteration:60, F2F_time[s]:0.002389, H2H_time:0.001407, sync_time:0.000982
iteration:61, F2F_time[s]:0.002583, H2H_time:0.001608, sync_time:0.000975
iteration:62, F2F_time[s]:0.002587, H2H_time:0.001555, sync_time:0.001032
iteration:63, F2F_time[s]:0.002446, H2H_time:0.001481, sync_time:0.000965
iteration:64, F2F_time[s]:0.002455, H2H_time:0.001549, sync_time:0.000906
iteration:65, F2F_time[s]:0.002513, H2H_time:0.001612, sync_time:0.000900
