XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo1a
alveo3c
alveo4c
alveo2a
alveo2b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1048576, num_elements:262144, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.008952, H2H_time:0.007989, sync_time:0.000963
iteration:1, F2F_time[s]:0.006196, H2H_time:0.005289, sync_time:0.000907
iteration:2, F2F_time[s]:0.005350, H2H_time:0.004462, sync_time:0.000888
iteration:3, F2F_time[s]:0.004969, H2H_time:0.004008, sync_time:0.000960
iteration:4, F2F_time[s]:0.004444, H2H_time:0.003582, sync_time:0.000861
iteration:5, F2F_time[s]:0.004293, H2H_time:0.003352, sync_time:0.000941
iteration:6, F2F_time[s]:0.004173, H2H_time:0.003278, sync_time:0.000895
iteration:7, F2F_time[s]:0.004310, H2H_time:0.003335, sync_time:0.000974
iteration:8, F2F_time[s]:0.004057, H2H_time:0.003131, sync_time:0.000926
iteration:9, F2F_time[s]:0.003780, H2H_time:0.002834, sync_time:0.000946
iteration:10, F2F_time[s]:0.003748, H2H_time:0.002837, sync_time:0.000911
iteration:11, F2F_time[s]:0.003213, H2H_time:0.002312, sync_time:0.000901
iteration:12, F2F_time[s]:0.003605, H2H_time:0.002713, sync_time:0.000892
iteration:13, F2F_time[s]:0.003482, H2H_time:0.002620, sync_time:0.000862
iteration:14, F2F_time[s]:0.003872, H2H_time:0.002990, sync_time:0.000882
iteration:15, F2F_time[s]:0.003644, H2H_time:0.002746, sync_time:0.000897
iteration:16, F2F_time[s]:0.003196, H2H_time:0.002327, sync_time:0.000869
iteration:17, F2F_time[s]:0.003628, H2H_time:0.002738, sync_time:0.000890
iteration:18, F2F_time[s]:0.003514, H2H_time:0.002604, sync_time:0.000910
iteration:19, F2F_time[s]:0.003557, H2H_time:0.002676, sync_time:0.000881
iteration:20, F2F_time[s]:0.003575, H2H_time:0.002625, sync_time:0.000950
iteration:21, F2F_time[s]:0.003740, H2H_time:0.002827, sync_time:0.000913
iteration:22, F2F_time[s]:0.003876, H2H_time:0.002980, sync_time:0.000896
iteration:23, F2F_time[s]:0.003409, H2H_time:0.002553, sync_time:0.000857
iteration:24, F2F_time[s]:0.003742, H2H_time:0.002879, sync_time:0.000863
iteration:25, F2F_time[s]:0.003911, H2H_time:0.002997, sync_time:0.000913
iteration:26, F2F_time[s]:0.003888, H2H_time:0.002952, sync_time:0.000936
iteration:27, F2F_time[s]:0.003552, H2H_time:0.002628, sync_time:0.000924
iteration:28, F2F_time[s]:0.003850, H2H_time:0.002936, sync_time:0.000914
iteration:29, F2F_time[s]:0.003946, H2H_time:0.003044, sync_time:0.000902
iteration:30, F2F_time[s]:0.003731, H2H_time:0.002830, sync_time:0.000900
iteration:31, F2F_time[s]:0.004185, H2H_time:0.003269, sync_time:0.000917
iteration:32, F2F_time[s]:0.003929, H2H_time:0.003066, sync_time:0.000864
iteration:33, F2F_time[s]:0.003657, H2H_time:0.002788, sync_time:0.000868
iteration:34, F2F_time[s]:0.003657, H2H_time:0.002858, sync_time:0.000799
iteration:35, F2F_time[s]:0.003666, H2H_time:0.002841, sync_time:0.000825
iteration:36, F2F_time[s]:0.004026, H2H_time:0.003084, sync_time:0.000942
iteration:37, F2F_time[s]:0.003963, H2H_time:0.003061, sync_time:0.000902
iteration:38, F2F_time[s]:0.004177, H2H_time:0.003316, sync_time:0.000861
iteration:39, F2F_time[s]:0.004151, H2H_time:0.003217, sync_time:0.000933
iteration:40, F2F_time[s]:0.004085, H2H_time:0.003154, sync_time:0.000931
iteration:41, F2F_time[s]:0.004324, H2H_time:0.003403, sync_time:0.000921
iteration:42, F2F_time[s]:0.004307, H2H_time:0.003406, sync_time:0.000901
iteration:43, F2F_time[s]:0.003982, H2H_time:0.003059, sync_time:0.000923
iteration:44, F2F_time[s]:0.004105, H2H_time:0.003144, sync_time:0.000961
iteration:45, F2F_time[s]:0.003933, H2H_time:0.003022, sync_time:0.000911
iteration:46, F2F_time[s]:0.003940, H2H_time:0.002977, sync_time:0.000963
iteration:47, F2F_time[s]:0.003703, H2H_time:0.002755, sync_time:0.000948
iteration:48, F2F_time[s]:0.004074, H2H_time:0.003175, sync_time:0.000900
iteration:49, F2F_time[s]:0.003905, H2H_time:0.002995, sync_time:0.000910
iteration:50, F2F_time[s]:0.004029, H2H_time:0.003081, sync_time:0.000948
