XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo4c
alveo4b
alveo3b
alveo2b
alveo1a
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start All-reduce test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:131072, num_elements:32768, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:131072, num_elements:32768, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:131072, num_elements:32768, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.003316, H2H_time:0.002709, sync_time:0.000607
iteration:1, F2F_time[s]:0.002198, H2H_time:0.001792, sync_time:0.000406
iteration:2, F2F_time[s]:0.002380, H2H_time:0.001911, sync_time:0.000469
iteration:3, F2F_time[s]:0.002348, H2H_time:0.001925, sync_time:0.000423
iteration:4, F2F_time[s]:0.002152, H2H_time:0.001718, sync_time:0.000434
iteration:5, F2F_time[s]:0.001930, H2H_time:0.001564, sync_time:0.000367
iteration:6, F2F_time[s]:0.002095, H2H_time:0.001678, sync_time:0.000417
iteration:7, F2F_time[s]:0.001728, H2H_time:0.001323, sync_time:0.000405
iteration:8, F2F_time[s]:0.001699, H2H_time:0.001356, sync_time:0.000342
iteration:9, F2F_time[s]:0.001621, H2H_time:0.001304, sync_time:0.000317
iteration:10, F2F_time[s]:0.001979, H2H_time:0.001615, sync_time:0.000364
iteration:11, F2F_time[s]:0.001653, H2H_time:0.001274, sync_time:0.000380
iteration:12, F2F_time[s]:0.001585, H2H_time:0.001246, sync_time:0.000339
iteration:13, F2F_time[s]:0.001723, H2H_time:0.001296, sync_time:0.000426
iteration:14, F2F_time[s]:0.001784, H2H_time:0.001382, sync_time:0.000402
iteration:15, F2F_time[s]:0.001865, H2H_time:0.001431, sync_time:0.000434
iteration:16, F2F_time[s]:0.001773, H2H_time:0.001333, sync_time:0.000440
iteration:17, F2F_time[s]:0.001660, H2H_time:0.001262, sync_time:0.000398
iteration:18, F2F_time[s]:0.001603, H2H_time:0.001253, sync_time:0.000350
iteration:19, F2F_time[s]:0.001628, H2H_time:0.001291, sync_time:0.000338
iteration:20, F2F_time[s]:0.001602, H2H_time:0.001285, sync_time:0.000317
iteration:21, F2F_time[s]:0.001603, H2H_time:0.001261, sync_time:0.000342
iteration:22, F2F_time[s]:0.001628, H2H_time:0.001274, sync_time:0.000354
iteration:23, F2F_time[s]:0.001609, H2H_time:0.001275, sync_time:0.000334
iteration:24, F2F_time[s]:0.001625, H2H_time:0.001255, sync_time:0.000370
iteration:25, F2F_time[s]:0.001615, H2H_time:0.001200, sync_time:0.000414
iteration:26, F2F_time[s]:0.001568, H2H_time:0.001211, sync_time:0.000357
iteration:27, F2F_time[s]:0.001567, H2H_time:0.001195, sync_time:0.000372
iteration:28, F2F_time[s]:0.001610, H2H_time:0.001203, sync_time:0.000407
iteration:29, F2F_time[s]:0.001768, H2H_time:0.001365, sync_time:0.000403
iteration:30, F2F_time[s]:0.001443, H2H_time:0.001117, sync_time:0.000327
iteration:31, F2F_time[s]:0.001622, H2H_time:0.001255, sync_time:0.000366
iteration:32, F2F_time[s]:0.001599, H2H_time:0.001244, sync_time:0.000355
iteration:33, F2F_time[s]:0.001585, H2H_time:0.001241, sync_time:0.000344
iteration:34, F2F_time[s]:0.001642, H2H_time:0.001276, sync_time:0.000367
iteration:35, F2F_time[s]:0.001579, H2H_time:0.001238, sync_time:0.000341
iteration:36, F2F_time[s]:0.001632, H2H_time:0.001266, sync_time:0.000366
iteration:37, F2F_time[s]:0.001608, H2H_time:0.001260, sync_time:0.000348
iteration:38, F2F_time[s]:0.001584, H2H_time:0.001243, sync_time:0.000342
iteration:39, F2F_time[s]:0.001453, H2H_time:0.001117, sync_time:0.000336
iteration:40, F2F_time[s]:0.001591, H2H_time:0.001234, sync_time:0.000358
iteration:41, F2F_time[s]:0.001577, H2H_time:0.001233, sync_time:0.000343
iteration:42, F2F_time[s]:0.001559, H2H_time:0.001216, sync_time:0.000344
iteration:43, F2F_time[s]:0.001541, H2H_time:0.001206, sync_time:0.000335
iteration:44, F2F_time[s]:0.001452, H2H_time:0.001115, sync_time:0.000337
iteration:45, F2F_time[s]:0.001588, H2H_time:0.001230, sync_time:0.000359
iteration:46, F2F_time[s]:0.001632, H2H_time:0.001261, sync_time:0.000370
iteration:47, F2F_time[s]:0.001608, H2H_time:0.001289, sync_time:0.000319
iteration:48, F2F_time[s]:0.001591, H2H_time:0.001231, sync_time:0.000360
iteration:49, F2F_time[s]:0.001457, H2H_time:0.001125, sync_time:0.000333
iteration:50, F2F_time[s]:0.001438, H2H_time:0.001120, sync_time:0.000318
iteration:51, F2F_time[s]:0.001468, H2H_time:0.001132, sync_time:0.000336
iteration:52, F2F_time[s]:0.001392, H2H_time:0.001041, sync_time:0.000351
iteration:53, F2F_time[s]:0.001362, H2H_time:0.001047, sync_time:0.000315
iteration:54, F2F_time[s]:0.001522, H2H_time:0.001183, sync_time:0.000339
iteration:55, F2F_time[s]:0.001556, H2H_time:0.001192, sync_time:0.000363
iteration:56, F2F_time[s]:0.001572, H2H_time:0.001219, sync_time:0.000353
iteration:57, F2F_time[s]:0.001612, H2H_time:0.001191, sync_time:0.000421
iteration:58, F2F_time[s]:0.001577, H2H_time:0.001221, sync_time:0.000356
iteration:59, F2F_time[s]:0.001561, H2H_time:0.001243, sync_time:0.000318
iteration:60, F2F_time[s]:0.001538, H2H_time:0.001210, sync_time:0.000328
iteration:61, F2F_time[s]:0.001567, H2H_time:0.001240, sync_time:0.000327
iteration:62, F2F_time[s]:0.001445, H2H_time:0.001122, sync_time:0.000324
iteration:63, F2F_time[s]:0.001505, H2H_time:0.001151, sync_time:0.000354
iteration:64, F2F_time[s]:0.001438, H2H_time:0.001099, sync_time:0.000339
iteration:65, F2F_time[s]:0.001435, H2H_time:0.001108, sync_time:0.000327
iteration:66, F2F_time[s]:0.001595, H2H_time:0.001256, sync_time:0.000339
iteration:67, F2F_time[s]:0.001570, H2H_time:0.001181, sync_time:0.000389
iteration:68, F2F_time[s]:0.001463, H2H_time:0.001125, sync_time:0.000339
iteration:69, F2F_time[s]:0.001421, H2H_time:0.001080, sync_time:0.000341
iteration:70, F2F_time[s]:0.001444, H2H_time:0.001097, sync_time:0.000347
iteration:71, F2F_time[s]:0.001458, H2H_time:0.001120, sync_time:0.000338
iteration:72, F2F_time[s]:0.001290, H2H_time:0.000961, sync_time:0.000329
iteration:73, F2F_time[s]:0.001234, H2H_time:0.000939, sync_time:0.000295
iteration:74, F2F_time[s]:0.001187, H2H_time:0.000893, sync_time:0.000295
iteration:75, F2F_time[s]:0.001208, H2H_time:0.000908, sync_time:0.000299
iteration:76, F2F_time[s]:0.001203, H2H_time:0.000924, sync_time:0.000279
iteration:77, F2F_time[s]:0.001352, H2H_time:0.001025, sync_time:0.000327
