XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2b
alveo3c
alveo3b
alveo4c
alveo1a
alveo2a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16384, num_elements:4096, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16384, num_elements:4096, num_trials:200
Start All-reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16384, num_elements:4096, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16384, num_elements:4096, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16384, num_elements:4096, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16384, num_elements:4096, num_trials:200
iteration:0, F2F_time[s]:0.001460, H2H_time:0.000897, sync_time:0.000562
iteration:1, F2F_time[s]:0.000827, H2H_time:0.000401, sync_time:0.000426
iteration:2, F2F_time[s]:0.000631, H2H_time:0.000330, sync_time:0.000301
iteration:3, F2F_time[s]:0.000604, H2H_time:0.000291, sync_time:0.000313
iteration:4, F2F_time[s]:0.000520, H2H_time:0.000304, sync_time:0.000216
iteration:5, F2F_time[s]:0.000539, H2H_time:0.000306, sync_time:0.000232
iteration:6, F2F_time[s]:0.000523, H2H_time:0.000308, sync_time:0.000215
iteration:7, F2F_time[s]:0.000486, H2H_time:0.000299, sync_time:0.000187
iteration:8, F2F_time[s]:0.000529, H2H_time:0.000303, sync_time:0.000226
iteration:9, F2F_time[s]:0.000536, H2H_time:0.000312, sync_time:0.000224
iteration:10, F2F_time[s]:0.000550, H2H_time:0.000319, sync_time:0.000231
iteration:11, F2F_time[s]:0.000601, H2H_time:0.000388, sync_time:0.000214
iteration:12, F2F_time[s]:0.000541, H2H_time:0.000333, sync_time:0.000208
iteration:13, F2F_time[s]:0.000558, H2H_time:0.000338, sync_time:0.000220
iteration:14, F2F_time[s]:0.000493, H2H_time:0.000310, sync_time:0.000184
iteration:15, F2F_time[s]:0.000468, H2H_time:0.000289, sync_time:0.000178
iteration:16, F2F_time[s]:0.000475, H2H_time:0.000291, sync_time:0.000185
iteration:17, F2F_time[s]:0.000585, H2H_time:0.000298, sync_time:0.000287
iteration:18, F2F_time[s]:0.000594, H2H_time:0.000296, sync_time:0.000298
iteration:19, F2F_time[s]:0.000599, H2H_time:0.000374, sync_time:0.000225
iteration:20, F2F_time[s]:0.000639, H2H_time:0.000345, sync_time:0.000294
iteration:21, F2F_time[s]:0.000589, H2H_time:0.000300, sync_time:0.000289
iteration:22, F2F_time[s]:0.000623, H2H_time:0.000332, sync_time:0.000291
iteration:23, F2F_time[s]:0.000612, H2H_time:0.000327, sync_time:0.000285
iteration:24, F2F_time[s]:0.000613, H2H_time:0.000319, sync_time:0.000294
iteration:25, F2F_time[s]:0.000612, H2H_time:0.000325, sync_time:0.000287
iteration:26, F2F_time[s]:0.000665, H2H_time:0.000430, sync_time:0.000235
iteration:27, F2F_time[s]:0.000628, H2H_time:0.000342, sync_time:0.000286
iteration:28, F2F_time[s]:0.000597, H2H_time:0.000308, sync_time:0.000289
iteration:29, F2F_time[s]:0.000594, H2H_time:0.000312, sync_time:0.000282
iteration:30, F2F_time[s]:0.000598, H2H_time:0.000304, sync_time:0.000295
iteration:31, F2F_time[s]:0.000622, H2H_time:0.000334, sync_time:0.000288
iteration:32, F2F_time[s]:0.000633, H2H_time:0.000343, sync_time:0.000290
iteration:33, F2F_time[s]:0.000625, H2H_time:0.000345, sync_time:0.000281
iteration:34, F2F_time[s]:0.000596, H2H_time:0.000310, sync_time:0.000286
iteration:35, F2F_time[s]:0.000610, H2H_time:0.000325, sync_time:0.000285
iteration:36, F2F_time[s]:0.000641, H2H_time:0.000351, sync_time:0.000291
iteration:37, F2F_time[s]:0.000623, H2H_time:0.000333, sync_time:0.000290
iteration:38, F2F_time[s]:0.000647, H2H_time:0.000363, sync_time:0.000284
iteration:39, F2F_time[s]:0.000598, H2H_time:0.000319, sync_time:0.000279
iteration:40, F2F_time[s]:0.000633, H2H_time:0.000344, sync_time:0.000288
iteration:41, F2F_time[s]:0.000594, H2H_time:0.000312, sync_time:0.000282
iteration:42, F2F_time[s]:0.000594, H2H_time:0.000304, sync_time:0.000289
iteration:43, F2F_time[s]:0.000698, H2H_time:0.000413, sync_time:0.000285
iteration:44, F2F_time[s]:0.000625, H2H_time:0.000330, sync_time:0.000295
iteration:45, F2F_time[s]:0.000640, H2H_time:0.000418, sync_time:0.000222
iteration:46, F2F_time[s]:0.000667, H2H_time:0.000440, sync_time:0.000227
iteration:47, F2F_time[s]:0.000626, H2H_time:0.000338, sync_time:0.000288
iteration:48, F2F_time[s]:0.000608, H2H_time:0.000313, sync_time:0.000295
iteration:49, F2F_time[s]:0.000662, H2H_time:0.000370, sync_time:0.000292
iteration:50, F2F_time[s]:0.000639, H2H_time:0.000410, sync_time:0.000229
iteration:51, F2F_time[s]:0.000637, H2H_time:0.000352, sync_time:0.000286
iteration:52, F2F_time[s]:0.000633, H2H_time:0.000349, sync_time:0.000285
iteration:53, F2F_time[s]:0.000635, H2H_time:0.000345, sync_time:0.000291
iteration:54, F2F_time[s]:0.000629, H2H_time:0.000340, sync_time:0.000290
iteration:55, F2F_time[s]:0.000637, H2H_time:0.000353, sync_time:0.000284
iteration:56, F2F_time[s]:0.000612, H2H_time:0.000323, sync_time:0.000289
iteration:57, F2F_time[s]:0.000661, H2H_time:0.000431, sync_time:0.000229
iteration:58, F2F_time[s]:0.000611, H2H_time:0.000324, sync_time:0.000288
iteration:59, F2F_time[s]:0.000602, H2H_time:0.000320, sync_time:0.000282
iteration:60, F2F_time[s]:0.000636, H2H_time:0.000350, sync_time:0.000287
iteration:61, F2F_time[s]:0.000623, H2H_time:0.000337, sync_time:0.000286
iteration:62, F2F_time[s]:0.000713, H2H_time:0.000436, sync_time:0.000277
iteration:63, F2F_time[s]:0.000633, H2H_time:0.000347, sync_time:0.000286
iteration:64, F2F_time[s]:0.000609, H2H_time:0.000325, sync_time:0.000284
iteration:65, F2F_time[s]:0.000617, H2H_time:0.000329, sync_time:0.000288
iteration:66, F2F_time[s]:0.000629, H2H_time:0.000337, sync_time:0.000292
iteration:67, F2F_time[s]:0.000661, H2H_time:0.000361, sync_time:0.000300
iteration:68, F2F_time[s]:0.000618, H2H_time:0.000335, sync_time:0.000283
iteration:69, F2F_time[s]:0.000644, H2H_time:0.000355, sync_time:0.000289
iteration:70, F2F_time[s]:0.000682, H2H_time:0.000410, sync_time:0.000272
iteration:71, F2F_time[s]:0.000602, H2H_time:0.000311, sync_time:0.000291
iteration:72, F2F_time[s]:0.000599, H2H_time:0.000319, sync_time:0.000280
iteration:73, F2F_time[s]:0.000619, H2H_time:0.000326, sync_time:0.000293
iteration:74, F2F_time[s]:0.000603, H2H_time:0.000322, sync_time:0.000281
iteration:75, F2F_time[s]:0.000638, H2H_time:0.000349, sync_time:0.000289
iteration:76, F2F_time[s]:0.000595, H2H_time:0.000310, sync_time:0.000285
iteration:77, F2F_time[s]:0.000640, H2H_time:0.000354, sync_time:0.000286
iteration:78, F2F_time[s]:0.000704, H2H_time:0.000432, sync_time:0.000272
iteration:79, F2F_time[s]:0.000582, H2H_time:0.000306, sync_time:0.000276
iteration:80, F2F_time[s]:0.000633, H2H_time:0.000344, sync_time:0.000289
