XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2a
alveo4c
alveo3b
alveo4b
alveo3c
alveo2b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:2097152, num_elements:524288, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
Start All-reduce test:
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:2097152, num_elements:524288, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
iteration:0, F2F_time[s]:0.013237, H2H_time:0.011738, sync_time:0.001499
iteration:1, F2F_time[s]:0.008666, H2H_time:0.007305, sync_time:0.001361
iteration:2, F2F_time[s]:0.007409, H2H_time:0.005985, sync_time:0.001423
iteration:3, F2F_time[s]:0.006725, H2H_time:0.005294, sync_time:0.001431
iteration:4, F2F_time[s]:0.006784, H2H_time:0.005384, sync_time:0.001400
iteration:5, F2F_time[s]:0.006742, H2H_time:0.005205, sync_time:0.001537
iteration:6, F2F_time[s]:0.006434, H2H_time:0.004969, sync_time:0.001466
iteration:7, F2F_time[s]:0.006303, H2H_time:0.004885, sync_time:0.001417
iteration:8, F2F_time[s]:0.005853, H2H_time:0.004364, sync_time:0.001489
iteration:9, F2F_time[s]:0.006484, H2H_time:0.004895, sync_time:0.001589
iteration:10, F2F_time[s]:0.006236, H2H_time:0.004800, sync_time:0.001436
iteration:11, F2F_time[s]:0.006204, H2H_time:0.004765, sync_time:0.001439
iteration:12, F2F_time[s]:0.005644, H2H_time:0.004179, sync_time:0.001465
iteration:13, F2F_time[s]:0.006208, H2H_time:0.004813, sync_time:0.001395
iteration:14, F2F_time[s]:0.006098, H2H_time:0.004520, sync_time:0.001578
iteration:15, F2F_time[s]:0.006344, H2H_time:0.004961, sync_time:0.001383
iteration:16, F2F_time[s]:0.005946, H2H_time:0.004486, sync_time:0.001460
iteration:17, F2F_time[s]:0.005417, H2H_time:0.003977, sync_time:0.001440
iteration:18, F2F_time[s]:0.005872, H2H_time:0.004394, sync_time:0.001478
iteration:19, F2F_time[s]:0.005773, H2H_time:0.004307, sync_time:0.001465
iteration:20, F2F_time[s]:0.005763, H2H_time:0.004356, sync_time:0.001407
iteration:21, F2F_time[s]:0.005986, H2H_time:0.004528, sync_time:0.001457
iteration:22, F2F_time[s]:0.005787, H2H_time:0.004417, sync_time:0.001370
iteration:23, F2F_time[s]:0.006150, H2H_time:0.004749, sync_time:0.001402
iteration:24, F2F_time[s]:0.005945, H2H_time:0.004521, sync_time:0.001424
iteration:25, F2F_time[s]:0.005795, H2H_time:0.004256, sync_time:0.001538
iteration:26, F2F_time[s]:0.006130, H2H_time:0.004570, sync_time:0.001560
iteration:27, F2F_time[s]:0.005935, H2H_time:0.004484, sync_time:0.001450
iteration:28, F2F_time[s]:0.006037, H2H_time:0.004615, sync_time:0.001423
iteration:29, F2F_time[s]:0.005938, H2H_time:0.004545, sync_time:0.001393
iteration:30, F2F_time[s]:0.005886, H2H_time:0.004463, sync_time:0.001423
iteration:31, F2F_time[s]:0.005766, H2H_time:0.004364, sync_time:0.001402
iteration:32, F2F_time[s]:0.005922, H2H_time:0.004531, sync_time:0.001391
iteration:33, F2F_time[s]:0.006016, H2H_time:0.004624, sync_time:0.001391
iteration:34, F2F_time[s]:0.006356, H2H_time:0.004874, sync_time:0.001482
iteration:35, F2F_time[s]:0.006223, H2H_time:0.004825, sync_time:0.001398
iteration:36, F2F_time[s]:0.005962, H2H_time:0.004525, sync_time:0.001438
iteration:37, F2F_time[s]:0.005715, H2H_time:0.004215, sync_time:0.001500
iteration:38, F2F_time[s]:0.019958, H2H_time:0.018376, sync_time:0.001582
iteration:39, F2F_time[s]:0.006049, H2H_time:0.004533, sync_time:0.001516
iteration:40, F2F_time[s]:0.006005, H2H_time:0.004473, sync_time:0.001532
iteration:41, F2F_time[s]:0.006183, H2H_time:0.004767, sync_time:0.001416
iteration:42, F2F_time[s]:0.021163, H2H_time:0.019599, sync_time:0.001564
iteration:43, F2F_time[s]:0.006324, H2H_time:0.004908, sync_time:0.001416
iteration:44, F2F_time[s]:0.006243, H2H_time:0.004672, sync_time:0.001571
iteration:45, F2F_time[s]:0.006422, H2H_time:0.004815, sync_time:0.001607
iteration:46, F2F_time[s]:0.005936, H2H_time:0.004453, sync_time:0.001483
iteration:47, F2F_time[s]:0.019416, H2H_time:0.017875, sync_time:0.001540
iteration:48, F2F_time[s]:0.006335, H2H_time:0.004913, sync_time:0.001422
iteration:49, F2F_time[s]:0.006373, H2H_time:0.004940, sync_time:0.001433
iteration:50, F2F_time[s]:0.006274, H2H_time:0.004877, sync_time:0.001398
iteration:51, F2F_time[s]:0.006202, H2H_time:0.004749, sync_time:0.001453
iteration:52, F2F_time[s]:0.006916, H2H_time:0.005354, sync_time:0.001561
iteration:53, F2F_time[s]:0.006629, H2H_time:0.005180, sync_time:0.001449
iteration:54, F2F_time[s]:0.006659, H2H_time:0.005192, sync_time:0.001467
iteration:55, F2F_time[s]:0.006150, H2H_time:0.004647, sync_time:0.001503
iteration:56, F2F_time[s]:0.006291, H2H_time:0.004863, sync_time:0.001428
