XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo1a
alveo4c
alveo3b
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.003575, H2H_time:0.002922, sync_time:0.000653
iteration:1, F2F_time[s]:0.002844, H2H_time:0.002242, sync_time:0.000602
iteration:2, F2F_time[s]:0.002500, H2H_time:0.001937, sync_time:0.000563
iteration:3, F2F_time[s]:0.002196, H2H_time:0.001672, sync_time:0.000524
iteration:4, F2F_time[s]:0.002045, H2H_time:0.001482, sync_time:0.000563
iteration:5, F2F_time[s]:0.002205, H2H_time:0.001652, sync_time:0.000553
iteration:6, F2F_time[s]:0.002219, H2H_time:0.001652, sync_time:0.000567
iteration:7, F2F_time[s]:0.002108, H2H_time:0.001624, sync_time:0.000484
iteration:8, F2F_time[s]:0.001928, H2H_time:0.001443, sync_time:0.000485
iteration:9, F2F_time[s]:0.002140, H2H_time:0.001640, sync_time:0.000500
iteration:10, F2F_time[s]:0.002075, H2H_time:0.001555, sync_time:0.000520
iteration:11, F2F_time[s]:0.001858, H2H_time:0.001381, sync_time:0.000477
iteration:12, F2F_time[s]:0.001971, H2H_time:0.001537, sync_time:0.000434
iteration:13, F2F_time[s]:0.001981, H2H_time:0.001492, sync_time:0.000488
iteration:14, F2F_time[s]:0.002154, H2H_time:0.001612, sync_time:0.000541
iteration:15, F2F_time[s]:0.002326, H2H_time:0.001789, sync_time:0.000537
iteration:16, F2F_time[s]:0.002012, H2H_time:0.001530, sync_time:0.000482
iteration:17, F2F_time[s]:0.002108, H2H_time:0.001580, sync_time:0.000528
iteration:18, F2F_time[s]:0.002141, H2H_time:0.001606, sync_time:0.000535
iteration:19, F2F_time[s]:0.002174, H2H_time:0.001643, sync_time:0.000531
iteration:20, F2F_time[s]:0.001980, H2H_time:0.001489, sync_time:0.000490
iteration:21, F2F_time[s]:0.001966, H2H_time:0.001480, sync_time:0.000486
iteration:22, F2F_time[s]:0.002147, H2H_time:0.001615, sync_time:0.000532
iteration:23, F2F_time[s]:0.001901, H2H_time:0.001391, sync_time:0.000509
iteration:24, F2F_time[s]:0.001794, H2H_time:0.001334, sync_time:0.000460
iteration:25, F2F_time[s]:0.002140, H2H_time:0.001628, sync_time:0.000512
iteration:26, F2F_time[s]:0.001950, H2H_time:0.001475, sync_time:0.000475
iteration:27, F2F_time[s]:0.002348, H2H_time:0.001419, sync_time:0.000928
iteration:28, F2F_time[s]:0.001893, H2H_time:0.001336, sync_time:0.000556
iteration:29, F2F_time[s]:0.001840, H2H_time:0.001360, sync_time:0.000480
iteration:30, F2F_time[s]:0.002058, H2H_time:0.001546, sync_time:0.000513
iteration:31, F2F_time[s]:0.002127, H2H_time:0.001594, sync_time:0.000533
iteration:32, F2F_time[s]:0.002143, H2H_time:0.001585, sync_time:0.000558
iteration:33, F2F_time[s]:0.002391, H2H_time:0.001897, sync_time:0.000494
iteration:34, F2F_time[s]:0.002016, H2H_time:0.001531, sync_time:0.000485
iteration:35, F2F_time[s]:0.002061, H2H_time:0.001540, sync_time:0.000521
iteration:36, F2F_time[s]:0.001793, H2H_time:0.001323, sync_time:0.000470
iteration:37, F2F_time[s]:0.001871, H2H_time:0.001332, sync_time:0.000539
iteration:38, F2F_time[s]:0.001707, H2H_time:0.001254, sync_time:0.000453
iteration:39, F2F_time[s]:0.001758, H2H_time:0.001283, sync_time:0.000475
iteration:40, F2F_time[s]:0.001743, H2H_time:0.001285, sync_time:0.000458
iteration:41, F2F_time[s]:0.001781, H2H_time:0.001304, sync_time:0.000477
iteration:42, F2F_time[s]:0.001833, H2H_time:0.001312, sync_time:0.000521
iteration:43, F2F_time[s]:0.001716, H2H_time:0.001245, sync_time:0.000470
iteration:44, F2F_time[s]:0.001821, H2H_time:0.001293, sync_time:0.000529
iteration:45, F2F_time[s]:0.001747, H2H_time:0.001208, sync_time:0.000540
