XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4c
alveo2b
alveo2a
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.003501, H2H_time:0.002898, sync_time:0.000603
iteration:1, F2F_time[s]:0.002303, H2H_time:0.001679, sync_time:0.000625
iteration:2, F2F_time[s]:0.002240, H2H_time:0.001659, sync_time:0.000581
iteration:3, F2F_time[s]:0.002280, H2H_time:0.001690, sync_time:0.000589
iteration:4, F2F_time[s]:0.002359, H2H_time:0.001606, sync_time:0.000753
iteration:5, F2F_time[s]:0.002104, H2H_time:0.001433, sync_time:0.000671
iteration:6, F2F_time[s]:0.002017, H2H_time:0.001416, sync_time:0.000601
iteration:7, F2F_time[s]:0.002118, H2H_time:0.001504, sync_time:0.000614
iteration:8, F2F_time[s]:0.001917, H2H_time:0.001363, sync_time:0.000554
iteration:9, F2F_time[s]:0.001921, H2H_time:0.001360, sync_time:0.000560
iteration:10, F2F_time[s]:0.002067, H2H_time:0.001462, sync_time:0.000605
iteration:11, F2F_time[s]:0.002110, H2H_time:0.001476, sync_time:0.000634
iteration:12, F2F_time[s]:0.002158, H2H_time:0.001549, sync_time:0.000609
iteration:13, F2F_time[s]:0.002095, H2H_time:0.001496, sync_time:0.000599
iteration:14, F2F_time[s]:0.001967, H2H_time:0.001448, sync_time:0.000519
iteration:15, F2F_time[s]:0.001869, H2H_time:0.001376, sync_time:0.000493
iteration:16, F2F_time[s]:0.001983, H2H_time:0.001476, sync_time:0.000507
iteration:17, F2F_time[s]:0.001924, H2H_time:0.001338, sync_time:0.000586
iteration:18, F2F_time[s]:0.001781, H2H_time:0.001293, sync_time:0.000488
iteration:19, F2F_time[s]:0.001675, H2H_time:0.001142, sync_time:0.000534
iteration:20, F2F_time[s]:0.001810, H2H_time:0.001317, sync_time:0.000493
iteration:21, F2F_time[s]:0.001876, H2H_time:0.001380, sync_time:0.000496
iteration:22, F2F_time[s]:0.001758, H2H_time:0.001276, sync_time:0.000482
iteration:23, F2F_time[s]:0.001819, H2H_time:0.001343, sync_time:0.000476
iteration:24, F2F_time[s]:0.001519, H2H_time:0.001071, sync_time:0.000449
iteration:25, F2F_time[s]:0.001632, H2H_time:0.001135, sync_time:0.000497
iteration:26, F2F_time[s]:0.001674, H2H_time:0.001213, sync_time:0.000461
iteration:27, F2F_time[s]:0.001809, H2H_time:0.001294, sync_time:0.000515
iteration:28, F2F_time[s]:0.001629, H2H_time:0.001143, sync_time:0.000486
iteration:29, F2F_time[s]:0.001989, H2H_time:0.001424, sync_time:0.000565
iteration:30, F2F_time[s]:0.001762, H2H_time:0.001249, sync_time:0.000513
iteration:31, F2F_time[s]:0.001890, H2H_time:0.001334, sync_time:0.000557
iteration:32, F2F_time[s]:0.001914, H2H_time:0.001441, sync_time:0.000473
iteration:33, F2F_time[s]:0.001968, H2H_time:0.001446, sync_time:0.000521
iteration:34, F2F_time[s]:0.001893, H2H_time:0.001425, sync_time:0.000468
iteration:35, F2F_time[s]:0.001930, H2H_time:0.001433, sync_time:0.000497
iteration:36, F2F_time[s]:0.002007, H2H_time:0.001525, sync_time:0.000482
iteration:37, F2F_time[s]:0.002165, H2H_time:0.001672, sync_time:0.000492
iteration:38, F2F_time[s]:0.002096, H2H_time:0.001500, sync_time:0.000596
iteration:39, F2F_time[s]:0.001938, H2H_time:0.001454, sync_time:0.000484
iteration:40, F2F_time[s]:0.002036, H2H_time:0.001505, sync_time:0.000531
iteration:41, F2F_time[s]:0.001973, H2H_time:0.001507, sync_time:0.000466
iteration:42, F2F_time[s]:0.001983, H2H_time:0.001458, sync_time:0.000525
iteration:43, F2F_time[s]:0.001870, H2H_time:0.001348, sync_time:0.000522
iteration:44, F2F_time[s]:0.001966, H2H_time:0.001419, sync_time:0.000547
iteration:45, F2F_time[s]:0.002036, H2H_time:0.001500, sync_time:0.000536
iteration:46, F2F_time[s]:0.001758, H2H_time:0.001251, sync_time:0.000507
iteration:47, F2F_time[s]:0.001871, H2H_time:0.001368, sync_time:0.000503
iteration:48, F2F_time[s]:0.001986, H2H_time:0.001511, sync_time:0.000475
iteration:49, F2F_time[s]:0.001801, H2H_time:0.001298, sync_time:0.000503
iteration:50, F2F_time[s]:0.001920, H2H_time:0.001416, sync_time:0.000503
iteration:51, F2F_time[s]:0.002057, H2H_time:0.001494, sync_time:0.000564
