XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo2b
alveo2a
alveo1a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start All-reduce test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
iteration:0, F2F_time[s]:0.001241, H2H_time:0.000693, sync_time:0.000548
iteration:1, F2F_time[s]:0.000518, H2H_time:0.000246, sync_time:0.000273
iteration:2, F2F_time[s]:0.000471, H2H_time:0.000272, sync_time:0.000199
iteration:3, F2F_time[s]:0.000441, H2H_time:0.000256, sync_time:0.000186
iteration:4, F2F_time[s]:0.000422, H2H_time:0.000250, sync_time:0.000172
iteration:5, F2F_time[s]:0.000486, H2H_time:0.000308, sync_time:0.000178
iteration:6, F2F_time[s]:0.000509, H2H_time:0.000318, sync_time:0.000190
iteration:7, F2F_time[s]:0.000376, H2H_time:0.000202, sync_time:0.000174
iteration:8, F2F_time[s]:0.000376, H2H_time:0.000206, sync_time:0.000170
iteration:9, F2F_time[s]:0.000485, H2H_time:0.000309, sync_time:0.000177
iteration:10, F2F_time[s]:0.000386, H2H_time:0.000212, sync_time:0.000175
iteration:11, F2F_time[s]:0.000378, H2H_time:0.000202, sync_time:0.000176
iteration:12, F2F_time[s]:0.000523, H2H_time:0.000348, sync_time:0.000176
iteration:13, F2F_time[s]:0.000529, H2H_time:0.000322, sync_time:0.000207
iteration:14, F2F_time[s]:0.000571, H2H_time:0.000350, sync_time:0.000221
iteration:15, F2F_time[s]:0.000495, H2H_time:0.000320, sync_time:0.000175
iteration:16, F2F_time[s]:0.000516, H2H_time:0.000339, sync_time:0.000177
iteration:17, F2F_time[s]:0.000506, H2H_time:0.000328, sync_time:0.000177
iteration:18, F2F_time[s]:0.000549, H2H_time:0.000356, sync_time:0.000193
iteration:19, F2F_time[s]:0.000513, H2H_time:0.000326, sync_time:0.000186
iteration:20, F2F_time[s]:0.000531, H2H_time:0.000323, sync_time:0.000209
iteration:21, F2F_time[s]:0.000533, H2H_time:0.000313, sync_time:0.000220
iteration:22, F2F_time[s]:0.000515, H2H_time:0.000337, sync_time:0.000178
iteration:23, F2F_time[s]:0.000483, H2H_time:0.000306, sync_time:0.000178
iteration:24, F2F_time[s]:0.000492, H2H_time:0.000309, sync_time:0.000183
iteration:25, F2F_time[s]:0.000476, H2H_time:0.000298, sync_time:0.000177
iteration:26, F2F_time[s]:0.000450, H2H_time:0.000276, sync_time:0.000173
iteration:27, F2F_time[s]:0.000363, H2H_time:0.000183, sync_time:0.000180
iteration:28, F2F_time[s]:0.000465, H2H_time:0.000295, sync_time:0.000170
iteration:29, F2F_time[s]:0.000390, H2H_time:0.000196, sync_time:0.000194
iteration:30, F2F_time[s]:0.000456, H2H_time:0.000290, sync_time:0.000166
iteration:31, F2F_time[s]:0.000436, H2H_time:0.000264, sync_time:0.000172
iteration:32, F2F_time[s]:0.000505, H2H_time:0.000309, sync_time:0.000196
iteration:33, F2F_time[s]:0.000522, H2H_time:0.000331, sync_time:0.000191
iteration:34, F2F_time[s]:0.000469, H2H_time:0.000291, sync_time:0.000177
iteration:35, F2F_time[s]:0.000501, H2H_time:0.000317, sync_time:0.000184
iteration:36, F2F_time[s]:0.000470, H2H_time:0.000290, sync_time:0.000180
iteration:37, F2F_time[s]:0.000367, H2H_time:0.000183, sync_time:0.000184
iteration:38, F2F_time[s]:0.000369, H2H_time:0.000193, sync_time:0.000176
iteration:39, F2F_time[s]:0.000350, H2H_time:0.000169, sync_time:0.000180
