XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4c
alveo2a
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:524288, num_elements:131072, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.005450, H2H_time:0.004583, sync_time:0.000867
iteration:1, F2F_time[s]:0.003959, H2H_time:0.003186, sync_time:0.000772
iteration:2, F2F_time[s]:0.003907, H2H_time:0.003065, sync_time:0.000842
iteration:3, F2F_time[s]:0.003381, H2H_time:0.002637, sync_time:0.000744
iteration:4, F2F_time[s]:0.003231, H2H_time:0.002443, sync_time:0.000787
iteration:5, F2F_time[s]:0.003203, H2H_time:0.002415, sync_time:0.000788
iteration:6, F2F_time[s]:0.002925, H2H_time:0.002223, sync_time:0.000703
iteration:7, F2F_time[s]:0.003059, H2H_time:0.002268, sync_time:0.000791
iteration:8, F2F_time[s]:0.002925, H2H_time:0.002226, sync_time:0.000699
iteration:9, F2F_time[s]:0.002995, H2H_time:0.002217, sync_time:0.000778
iteration:10, F2F_time[s]:0.002856, H2H_time:0.002085, sync_time:0.000771
iteration:11, F2F_time[s]:0.002757, H2H_time:0.002013, sync_time:0.000744
iteration:12, F2F_time[s]:0.002778, H2H_time:0.002070, sync_time:0.000708
iteration:13, F2F_time[s]:0.002583, H2H_time:0.001862, sync_time:0.000721
iteration:14, F2F_time[s]:0.002791, H2H_time:0.002070, sync_time:0.000721
iteration:15, F2F_time[s]:0.002579, H2H_time:0.001786, sync_time:0.000793
iteration:16, F2F_time[s]:0.002868, H2H_time:0.002071, sync_time:0.000796
iteration:17, F2F_time[s]:0.002552, H2H_time:0.001768, sync_time:0.000783
iteration:18, F2F_time[s]:0.002951, H2H_time:0.002239, sync_time:0.000712
iteration:19, F2F_time[s]:0.002495, H2H_time:0.001829, sync_time:0.000666
iteration:20, F2F_time[s]:0.002815, H2H_time:0.002075, sync_time:0.000740
iteration:21, F2F_time[s]:0.002649, H2H_time:0.001860, sync_time:0.000789
iteration:22, F2F_time[s]:0.002954, H2H_time:0.002148, sync_time:0.000806
iteration:23, F2F_time[s]:0.002590, H2H_time:0.001799, sync_time:0.000791
iteration:24, F2F_time[s]:0.003034, H2H_time:0.002262, sync_time:0.000771
iteration:25, F2F_time[s]:0.002460, H2H_time:0.001759, sync_time:0.000701
iteration:26, F2F_time[s]:0.002823, H2H_time:0.002174, sync_time:0.000649
iteration:27, F2F_time[s]:0.002400, H2H_time:0.001727, sync_time:0.000673
iteration:28, F2F_time[s]:0.002846, H2H_time:0.002064, sync_time:0.000782
iteration:29, F2F_time[s]:0.002457, H2H_time:0.001755, sync_time:0.000701
iteration:30, F2F_time[s]:0.002551, H2H_time:0.001832, sync_time:0.000719
iteration:31, F2F_time[s]:0.002536, H2H_time:0.001775, sync_time:0.000761
iteration:32, F2F_time[s]:0.002886, H2H_time:0.002218, sync_time:0.000667
iteration:33, F2F_time[s]:0.002462, H2H_time:0.001759, sync_time:0.000703
iteration:34, F2F_time[s]:0.002744, H2H_time:0.002033, sync_time:0.000711
iteration:35, F2F_time[s]:0.002672, H2H_time:0.001887, sync_time:0.000785
iteration:36, F2F_time[s]:0.002733, H2H_time:0.001997, sync_time:0.000735
iteration:37, F2F_time[s]:0.002751, H2H_time:0.002116, sync_time:0.000635
iteration:38, F2F_time[s]:0.002747, H2H_time:0.002065, sync_time:0.000682
iteration:39, F2F_time[s]:0.002599, H2H_time:0.001822, sync_time:0.000777
iteration:40, F2F_time[s]:0.002686, H2H_time:0.001996, sync_time:0.000690
iteration:41, F2F_time[s]:0.002330, H2H_time:0.001682, sync_time:0.000648
iteration:42, F2F_time[s]:0.002680, H2H_time:0.002014, sync_time:0.000666
iteration:43, F2F_time[s]:0.002324, H2H_time:0.001666, sync_time:0.000658
iteration:44, F2F_time[s]:0.002653, H2H_time:0.001986, sync_time:0.000667
iteration:45, F2F_time[s]:0.002794, H2H_time:0.002065, sync_time:0.000729
iteration:46, F2F_time[s]:0.002635, H2H_time:0.001965, sync_time:0.000670
iteration:47, F2F_time[s]:0.002323, H2H_time:0.001626, sync_time:0.000696
iteration:48, F2F_time[s]:0.002772, H2H_time:0.001998, sync_time:0.000775
iteration:49, F2F_time[s]:0.002456, H2H_time:0.001688, sync_time:0.000768
iteration:50, F2F_time[s]:0.002639, H2H_time:0.001939, sync_time:0.000700
iteration:51, F2F_time[s]:0.002447, H2H_time:0.001769, sync_time:0.000678
