XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo1a
alveo3b
alveo3c
alveo4c
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:65536, num_elements:16384, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:65536, num_elements:16384, num_trials:200
Start All-reduce test:
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:65536, num_elements:16384, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:65536, num_elements:16384, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:65536, num_elements:16384, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:65536, num_elements:16384, num_trials:200
iteration:0, F2F_time[s]:0.002112, H2H_time:0.001479, sync_time:0.000634
iteration:1, F2F_time[s]:0.001290, H2H_time:0.000932, sync_time:0.000358
iteration:2, F2F_time[s]:0.001352, H2H_time:0.000926, sync_time:0.000426
iteration:3, F2F_time[s]:0.001302, H2H_time:0.000962, sync_time:0.000339
iteration:4, F2F_time[s]:0.001463, H2H_time:0.001025, sync_time:0.000438
iteration:5, F2F_time[s]:0.001381, H2H_time:0.000964, sync_time:0.000416
iteration:6, F2F_time[s]:0.001358, H2H_time:0.000919, sync_time:0.000439
iteration:7, F2F_time[s]:0.001405, H2H_time:0.000968, sync_time:0.000437
iteration:8, F2F_time[s]:0.001541, H2H_time:0.001055, sync_time:0.000486
iteration:9, F2F_time[s]:0.001384, H2H_time:0.000969, sync_time:0.000415
iteration:10, F2F_time[s]:0.001259, H2H_time:0.000836, sync_time:0.000423
iteration:11, F2F_time[s]:0.001164, H2H_time:0.000742, sync_time:0.000422
iteration:12, F2F_time[s]:0.001326, H2H_time:0.000960, sync_time:0.000366
iteration:13, F2F_time[s]:0.001233, H2H_time:0.000807, sync_time:0.000426
iteration:14, F2F_time[s]:0.001205, H2H_time:0.000813, sync_time:0.000392
iteration:15, F2F_time[s]:0.001167, H2H_time:0.000729, sync_time:0.000438
iteration:16, F2F_time[s]:0.001126, H2H_time:0.000718, sync_time:0.000408
iteration:17, F2F_time[s]:0.001048, H2H_time:0.000669, sync_time:0.000380
iteration:18, F2F_time[s]:0.001086, H2H_time:0.000667, sync_time:0.000419
iteration:19, F2F_time[s]:0.001059, H2H_time:0.000647, sync_time:0.000411
iteration:20, F2F_time[s]:0.000886, H2H_time:0.000521, sync_time:0.000365
iteration:21, F2F_time[s]:0.001156, H2H_time:0.000766, sync_time:0.000391
iteration:22, F2F_time[s]:0.001162, H2H_time:0.000695, sync_time:0.000466
iteration:23, F2F_time[s]:0.001058, H2H_time:0.000636, sync_time:0.000422
iteration:24, F2F_time[s]:0.001203, H2H_time:0.000750, sync_time:0.000453
iteration:25, F2F_time[s]:0.001132, H2H_time:0.000671, sync_time:0.000461
iteration:26, F2F_time[s]:0.001040, H2H_time:0.000627, sync_time:0.000413
iteration:27, F2F_time[s]:0.001057, H2H_time:0.000661, sync_time:0.000396
iteration:28, F2F_time[s]:0.001133, H2H_time:0.000711, sync_time:0.000422
iteration:29, F2F_time[s]:0.001084, H2H_time:0.000672, sync_time:0.000412
iteration:30, F2F_time[s]:0.001063, H2H_time:0.000664, sync_time:0.000399
iteration:31, F2F_time[s]:0.000870, H2H_time:0.000539, sync_time:0.000331
iteration:32, F2F_time[s]:0.000979, H2H_time:0.000580, sync_time:0.000400
iteration:33, F2F_time[s]:0.000785, H2H_time:0.000505, sync_time:0.000280
iteration:34, F2F_time[s]:0.000806, H2H_time:0.000517, sync_time:0.000289
iteration:35, F2F_time[s]:0.000779, H2H_time:0.000463, sync_time:0.000316
iteration:36, F2F_time[s]:0.000792, H2H_time:0.000475, sync_time:0.000317
iteration:37, F2F_time[s]:0.000808, H2H_time:0.000486, sync_time:0.000322
iteration:38, F2F_time[s]:0.000854, H2H_time:0.000519, sync_time:0.000335
iteration:39, F2F_time[s]:0.000780, H2H_time:0.000454, sync_time:0.000326
iteration:40, F2F_time[s]:0.000820, H2H_time:0.000500, sync_time:0.000320
iteration:41, F2F_time[s]:0.000788, H2H_time:0.000464, sync_time:0.000324
iteration:42, F2F_time[s]:0.000789, H2H_time:0.000507, sync_time:0.000282
iteration:43, F2F_time[s]:0.000777, H2H_time:0.000548, sync_time:0.000229
iteration:44, F2F_time[s]:0.000744, H2H_time:0.000517, sync_time:0.000226
iteration:45, F2F_time[s]:0.000698, H2H_time:0.000477, sync_time:0.000221
iteration:46, F2F_time[s]:0.000699, H2H_time:0.000478, sync_time:0.000221
iteration:47, F2F_time[s]:0.000669, H2H_time:0.000450, sync_time:0.000219
iteration:48, F2F_time[s]:0.000820, H2H_time:0.000600, sync_time:0.000219
iteration:49, F2F_time[s]:0.000837, H2H_time:0.000628, sync_time:0.000208
iteration:50, F2F_time[s]:0.000797, H2H_time:0.000587, sync_time:0.000210
iteration:51, F2F_time[s]:0.000734, H2H_time:0.000522, sync_time:0.000212
