XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3b
alveo3c
alveo4b
alveo2a
alveo1a
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:65536, num_elements:16384, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:65536, num_elements:16384, num_trials:200
Start All-reduce test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:65536, num_elements:16384, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:65536, num_elements:16384, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:65536, num_elements:16384, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:65536, num_elements:16384, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:65536, num_elements:16384, num_trials:200
iteration:0, F2F_time[s]:0.001773, H2H_time:0.001223, sync_time:0.000550
iteration:1, F2F_time[s]:0.000966, H2H_time:0.000646, sync_time:0.000320
iteration:2, F2F_time[s]:0.000815, H2H_time:0.000531, sync_time:0.000284
iteration:3, F2F_time[s]:0.000792, H2H_time:0.000532, sync_time:0.000260
iteration:4, F2F_time[s]:0.000824, H2H_time:0.000564, sync_time:0.000259
iteration:5, F2F_time[s]:0.000746, H2H_time:0.000493, sync_time:0.000252
iteration:6, F2F_time[s]:0.000780, H2H_time:0.000512, sync_time:0.000268
iteration:7, F2F_time[s]:0.000751, H2H_time:0.000501, sync_time:0.000250
iteration:8, F2F_time[s]:0.000821, H2H_time:0.000566, sync_time:0.000255
iteration:9, F2F_time[s]:0.000890, H2H_time:0.000624, sync_time:0.000266
iteration:10, F2F_time[s]:0.000932, H2H_time:0.000677, sync_time:0.000255
iteration:11, F2F_time[s]:0.000856, H2H_time:0.000603, sync_time:0.000253
iteration:12, F2F_time[s]:0.000956, H2H_time:0.000698, sync_time:0.000257
iteration:13, F2F_time[s]:0.000804, H2H_time:0.000537, sync_time:0.000267
iteration:14, F2F_time[s]:0.000760, H2H_time:0.000550, sync_time:0.000209
iteration:15, F2F_time[s]:0.000733, H2H_time:0.000475, sync_time:0.000258
iteration:16, F2F_time[s]:0.000741, H2H_time:0.000471, sync_time:0.000270
iteration:17, F2F_time[s]:0.000793, H2H_time:0.000561, sync_time:0.000232
iteration:18, F2F_time[s]:0.000678, H2H_time:0.000495, sync_time:0.000184
iteration:19, F2F_time[s]:0.000793, H2H_time:0.000590, sync_time:0.000203
iteration:20, F2F_time[s]:0.000717, H2H_time:0.000531, sync_time:0.000186
iteration:21, F2F_time[s]:0.000757, H2H_time:0.000566, sync_time:0.000191
iteration:22, F2F_time[s]:0.000814, H2H_time:0.000624, sync_time:0.000190
iteration:23, F2F_time[s]:0.000766, H2H_time:0.000543, sync_time:0.000224
iteration:24, F2F_time[s]:0.000868, H2H_time:0.000671, sync_time:0.000197
iteration:25, F2F_time[s]:0.000848, H2H_time:0.000664, sync_time:0.000184
iteration:26, F2F_time[s]:0.000730, H2H_time:0.000528, sync_time:0.000202
iteration:27, F2F_time[s]:0.000727, H2H_time:0.000524, sync_time:0.000203
iteration:28, F2F_time[s]:0.000745, H2H_time:0.000553, sync_time:0.000192
iteration:29, F2F_time[s]:0.000722, H2H_time:0.000534, sync_time:0.000188
iteration:30, F2F_time[s]:0.000788, H2H_time:0.000602, sync_time:0.000185
iteration:31, F2F_time[s]:0.000756, H2H_time:0.000551, sync_time:0.000204
iteration:32, F2F_time[s]:0.000759, H2H_time:0.000572, sync_time:0.000187
iteration:33, F2F_time[s]:0.000747, H2H_time:0.000565, sync_time:0.000182
iteration:34, F2F_time[s]:0.000750, H2H_time:0.000563, sync_time:0.000187
iteration:35, F2F_time[s]:0.000795, H2H_time:0.000604, sync_time:0.000192
iteration:36, F2F_time[s]:0.000722, H2H_time:0.000537, sync_time:0.000185
iteration:37, F2F_time[s]:0.000712, H2H_time:0.000529, sync_time:0.000183
iteration:38, F2F_time[s]:0.000716, H2H_time:0.000539, sync_time:0.000177
iteration:39, F2F_time[s]:0.000753, H2H_time:0.000553, sync_time:0.000200
iteration:40, F2F_time[s]:0.000799, H2H_time:0.000611, sync_time:0.000188
iteration:41, F2F_time[s]:0.000732, H2H_time:0.000546, sync_time:0.000186
iteration:42, F2F_time[s]:0.000734, H2H_time:0.000550, sync_time:0.000184
iteration:43, F2F_time[s]:0.000723, H2H_time:0.000536, sync_time:0.000187
iteration:44, F2F_time[s]:0.000880, H2H_time:0.000685, sync_time:0.000196
iteration:45, F2F_time[s]:0.000733, H2H_time:0.000544, sync_time:0.000190
iteration:46, F2F_time[s]:0.000757, H2H_time:0.000568, sync_time:0.000189
iteration:47, F2F_time[s]:0.000707, H2H_time:0.000519, sync_time:0.000188
iteration:48, F2F_time[s]:0.000723, H2H_time:0.000539, sync_time:0.000184
iteration:49, F2F_time[s]:0.000731, H2H_time:0.000547, sync_time:0.000184
iteration:50, F2F_time[s]:0.000775, H2H_time:0.000587, sync_time:0.000188
iteration:51, F2F_time[s]:0.000725, H2H_time:0.000539, sync_time:0.000186
iteration:52, F2F_time[s]:0.000741, H2H_time:0.000556, sync_time:0.000186
iteration:53, F2F_time[s]:0.000723, H2H_time:0.000537, sync_time:0.000186
iteration:54, F2F_time[s]:0.000779, H2H_time:0.000592, sync_time:0.000187
iteration:55, F2F_time[s]:0.000796, H2H_time:0.000585, sync_time:0.000211
iteration:56, F2F_time[s]:0.000713, H2H_time:0.000523, sync_time:0.000190
