XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo1a
alveo4c
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start All-reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8192, num_elements:2048, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
iteration:0, F2F_time[s]:0.001236, H2H_time:0.000656, sync_time:0.000580
iteration:1, F2F_time[s]:0.000494, H2H_time:0.000215, sync_time:0.000280
iteration:2, F2F_time[s]:0.000388, H2H_time:0.000196, sync_time:0.000193
iteration:3, F2F_time[s]:0.000415, H2H_time:0.000220, sync_time:0.000194
iteration:4, F2F_time[s]:0.000395, H2H_time:0.000188, sync_time:0.000208
iteration:5, F2F_time[s]:0.000340, H2H_time:0.000151, sync_time:0.000189
iteration:6, F2F_time[s]:0.000381, H2H_time:0.000182, sync_time:0.000199
iteration:7, F2F_time[s]:0.000352, H2H_time:0.000159, sync_time:0.000192
iteration:8, F2F_time[s]:0.000357, H2H_time:0.000158, sync_time:0.000199
iteration:9, F2F_time[s]:0.000394, H2H_time:0.000206, sync_time:0.000187
iteration:10, F2F_time[s]:0.000409, H2H_time:0.000227, sync_time:0.000181
iteration:11, F2F_time[s]:0.000379, H2H_time:0.000189, sync_time:0.000190
iteration:12, F2F_time[s]:0.000388, H2H_time:0.000211, sync_time:0.000177
iteration:13, F2F_time[s]:0.000387, H2H_time:0.000196, sync_time:0.000191
iteration:14, F2F_time[s]:0.000335, H2H_time:0.000157, sync_time:0.000178
iteration:15, F2F_time[s]:0.000359, H2H_time:0.000164, sync_time:0.000195
iteration:16, F2F_time[s]:0.000354, H2H_time:0.000179, sync_time:0.000174
iteration:17, F2F_time[s]:0.000339, H2H_time:0.000166, sync_time:0.000174
iteration:18, F2F_time[s]:0.000377, H2H_time:0.000204, sync_time:0.000173
iteration:19, F2F_time[s]:0.000342, H2H_time:0.000159, sync_time:0.000183
iteration:20, F2F_time[s]:0.000394, H2H_time:0.000218, sync_time:0.000175
iteration:21, F2F_time[s]:0.000371, H2H_time:0.000195, sync_time:0.000177
iteration:22, F2F_time[s]:0.000462, H2H_time:0.000283, sync_time:0.000179
iteration:23, F2F_time[s]:0.000468, H2H_time:0.000289, sync_time:0.000179
iteration:24, F2F_time[s]:0.000456, H2H_time:0.000284, sync_time:0.000173
iteration:25, F2F_time[s]:0.000432, H2H_time:0.000267, sync_time:0.000165
iteration:26, F2F_time[s]:0.000428, H2H_time:0.000257, sync_time:0.000171
iteration:27, F2F_time[s]:0.000453, H2H_time:0.000289, sync_time:0.000164
iteration:28, F2F_time[s]:0.000460, H2H_time:0.000285, sync_time:0.000175
iteration:29, F2F_time[s]:0.000452, H2H_time:0.000283, sync_time:0.000169
iteration:30, F2F_time[s]:0.000421, H2H_time:0.000248, sync_time:0.000173
iteration:31, F2F_time[s]:0.000348, H2H_time:0.000177, sync_time:0.000171
iteration:32, F2F_time[s]:0.000414, H2H_time:0.000248, sync_time:0.000166
iteration:33, F2F_time[s]:0.000383, H2H_time:0.000185, sync_time:0.000199
iteration:34, F2F_time[s]:0.000379, H2H_time:0.000172, sync_time:0.000207
iteration:35, F2F_time[s]:0.000395, H2H_time:0.000225, sync_time:0.000170
iteration:36, F2F_time[s]:0.000426, H2H_time:0.000248, sync_time:0.000178
iteration:37, F2F_time[s]:0.000450, H2H_time:0.000274, sync_time:0.000176
iteration:38, F2F_time[s]:0.000419, H2H_time:0.000208, sync_time:0.000211
iteration:39, F2F_time[s]:0.000463, H2H_time:0.000249, sync_time:0.000214
iteration:40, F2F_time[s]:0.000408, H2H_time:0.000236, sync_time:0.000173
iteration:41, F2F_time[s]:0.000479, H2H_time:0.000250, sync_time:0.000229
iteration:42, F2F_time[s]:0.000520, H2H_time:0.000224, sync_time:0.000296
iteration:43, F2F_time[s]:0.000503, H2H_time:0.000204, sync_time:0.000300
iteration:44, F2F_time[s]:0.000500, H2H_time:0.000269, sync_time:0.000231
iteration:45, F2F_time[s]:0.000485, H2H_time:0.000242, sync_time:0.000243
iteration:46, F2F_time[s]:0.000615, H2H_time:0.000314, sync_time:0.000300
iteration:47, F2F_time[s]:0.000531, H2H_time:0.000359, sync_time:0.000172
iteration:48, F2F_time[s]:0.000614, H2H_time:0.000310, sync_time:0.000304
iteration:49, F2F_time[s]:0.000553, H2H_time:0.000253, sync_time:0.000301
iteration:50, F2F_time[s]:0.000604, H2H_time:0.000367, sync_time:0.000236
iteration:51, F2F_time[s]:0.000527, H2H_time:0.000223, sync_time:0.000304
iteration:52, F2F_time[s]:0.000545, H2H_time:0.000245, sync_time:0.000299
iteration:53, F2F_time[s]:0.000567, H2H_time:0.000275, sync_time:0.000292
iteration:54, F2F_time[s]:0.000583, H2H_time:0.000291, sync_time:0.000292
iteration:55, F2F_time[s]:0.000533, H2H_time:0.000307, sync_time:0.000226
iteration:56, F2F_time[s]:0.000551, H2H_time:0.000257, sync_time:0.000294
iteration:57, F2F_time[s]:0.000426, H2H_time:0.000227, sync_time:0.000199
iteration:58, F2F_time[s]:0.000368, H2H_time:0.000203, sync_time:0.000165
iteration:59, F2F_time[s]:0.000443, H2H_time:0.000267, sync_time:0.000176
iteration:60, F2F_time[s]:0.000459, H2H_time:0.000266, sync_time:0.000192
iteration:61, F2F_time[s]:0.000491, H2H_time:0.000264, sync_time:0.000227
iteration:62, F2F_time[s]:0.000522, H2H_time:0.000236, sync_time:0.000285
iteration:63, F2F_time[s]:0.000573, H2H_time:0.000269, sync_time:0.000303
iteration:64, F2F_time[s]:0.000559, H2H_time:0.000264, sync_time:0.000295
iteration:65, F2F_time[s]:0.000523, H2H_time:0.000226, sync_time:0.000296
iteration:66, F2F_time[s]:0.000625, H2H_time:0.000384, sync_time:0.000241
iteration:67, F2F_time[s]:0.000600, H2H_time:0.000361, sync_time:0.000238
iteration:68, F2F_time[s]:0.000576, H2H_time:0.000291, sync_time:0.000284
iteration:69, F2F_time[s]:0.000555, H2H_time:0.000335, sync_time:0.000220
iteration:70, F2F_time[s]:0.000481, H2H_time:0.000316, sync_time:0.000165
iteration:71, F2F_time[s]:0.000494, H2H_time:0.000327, sync_time:0.000167
iteration:72, F2F_time[s]:0.000455, H2H_time:0.000290, sync_time:0.000165
iteration:73, F2F_time[s]:0.000506, H2H_time:0.000331, sync_time:0.000176
iteration:74, F2F_time[s]:0.000496, H2H_time:0.000323, sync_time:0.000173
iteration:75, F2F_time[s]:0.000470, H2H_time:0.000290, sync_time:0.000181
iteration:76, F2F_time[s]:0.000531, H2H_time:0.000287, sync_time:0.000244
iteration:77, F2F_time[s]:0.000569, H2H_time:0.000275, sync_time:0.000295
iteration:78, F2F_time[s]:0.000588, H2H_time:0.000288, sync_time:0.000300
iteration:79, F2F_time[s]:0.000566, H2H_time:0.000286, sync_time:0.000280
iteration:80, F2F_time[s]:0.000524, H2H_time:0.000240, sync_time:0.000284
iteration:81, F2F_time[s]:0.000514, H2H_time:0.000280, sync_time:0.000233
iteration:82, F2F_time[s]:0.000474, H2H_time:0.000228, sync_time:0.000246
iteration:83, F2F_time[s]:0.000554, H2H_time:0.000270, sync_time:0.000284
iteration:84, F2F_time[s]:0.000511, H2H_time:0.000266, sync_time:0.000245
iteration:85, F2F_time[s]:0.000629, H2H_time:0.000392, sync_time:0.000237
iteration:86, F2F_time[s]:0.000528, H2H_time:0.000318, sync_time:0.000210
iteration:87, F2F_time[s]:0.000509, H2H_time:0.000258, sync_time:0.000251
iteration:88, F2F_time[s]:0.000571, H2H_time:0.000337, sync_time:0.000234
iteration:89, F2F_time[s]:0.000553, H2H_time:0.000310, sync_time:0.000243
iteration:90, F2F_time[s]:0.000508, H2H_time:0.000329, sync_time:0.000179
iteration:91, F2F_time[s]:0.000524, H2H_time:0.000349, sync_time:0.000175
iteration:92, F2F_time[s]:0.000491, H2H_time:0.000252, sync_time:0.000238
iteration:93, F2F_time[s]:0.000590, H2H_time:0.000284, sync_time:0.000305
iteration:94, F2F_time[s]:0.000546, H2H_time:0.000274, sync_time:0.000272
iteration:95, F2F_time[s]:0.000595, H2H_time:0.000291, sync_time:0.000304
iteration:96, F2F_time[s]:0.000565, H2H_time:0.000272, sync_time:0.000293
iteration:97, F2F_time[s]:0.000558, H2H_time:0.000272, sync_time:0.000287
iteration:98, F2F_time[s]:0.000566, H2H_time:0.000245, sync_time:0.000320
iteration:99, F2F_time[s]:0.000550, H2H_time:0.000272, sync_time:0.000278
iteration:100, F2F_time[s]:0.000501, H2H_time:0.000264, sync_time:0.000237
iteration:101, F2F_time[s]:0.000485, H2H_time:0.000248, sync_time:0.000237
iteration:102, F2F_time[s]:0.000541, H2H_time:0.000295, sync_time:0.000246
iteration:103, F2F_time[s]:0.000459, H2H_time:0.000283, sync_time:0.000176
iteration:104, F2F_time[s]:0.000615, H2H_time:0.000339, sync_time:0.000277
iteration:105, F2F_time[s]:0.000651, H2H_time:0.000359, sync_time:0.000292
iteration:106, F2F_time[s]:0.000481, H2H_time:0.000234, sync_time:0.000247
iteration:107, F2F_time[s]:0.000500, H2H_time:0.000257, sync_time:0.000244
iteration:108, F2F_time[s]:0.000528, H2H_time:0.000238, sync_time:0.000291
iteration:109, F2F_time[s]:0.000604, H2H_time:0.000363, sync_time:0.000241
iteration:110, F2F_time[s]:0.000610, H2H_time:0.000372, sync_time:0.000238
iteration:111, F2F_time[s]:0.000609, H2H_time:0.000360, sync_time:0.000249
iteration:112, F2F_time[s]:0.000585, H2H_time:0.000281, sync_time:0.000303
iteration:113, F2F_time[s]:0.000552, H2H_time:0.000228, sync_time:0.000323
iteration:114, F2F_time[s]:0.000590, H2H_time:0.000347, sync_time:0.000242
iteration:115, F2F_time[s]:0.000607, H2H_time:0.000359, sync_time:0.000248
